,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
0,1,11:38.0,,A. Roberson misses 2-pt jump shot from 4 ft (block by G. Dieng),0,0
1,1,11:36.0,,Offensive rebound by D. Sabonis,0,0
2,1,11:33.0,,S. Adams makes 2-pt layup from 2 ft (assist by D. Sabonis),0,2
3,1,11:13.0,K. Towns makes 2-pt hook shot from 4 ft,,2,2
4,1,10:55.0,,D. Sabonis makes 2-pt hook shot from 3 ft,2,4
5,1,10:43.0,Turnover by G. Dieng (traveling),,2,4
6,1,10:29.0,,S. Adams makes 2-pt hook shot from 2 ft,2,6
7,1,10:12.0,K. Towns makes 2-pt layup from 1 ft,,4,6
8,1,9:46.0,,D. Sabonis misses 3-pt jump shot from 23 ft,4,6
9,1,9:45.0,Defensive rebound by Z. LaVine,,4,6
10,1,9:34.0,K. Towns misses 2-pt jump shot from 5 ft,,4,6
11,1,9:33.0,Offensive rebound by G. Dieng,,4,6
12,1,9:33.0,G. Dieng misses 2-pt layup from 2 ft,,4,6
13,1,9:32.0,Offensive rebound by K. Towns,,4,6
14,1,9:30.0,K. Towns makes 2-pt layup from 2 ft,,6,6
15,1,9:19.0,,R. Westbrook makes 2-pt jump shot from 9 ft,6,8
16,1,9:03.0,Z. LaVine misses 2-pt jump shot from 21 ft,,6,8
17,1,9:02.0,,Defensive rebound by R. Westbrook,6,8
18,1,8:52.0,,A. Roberson misses 3-pt jump shot from 24 ft,6,8
19,1,8:51.0,Defensive rebound by G. Dieng,,6,8
20,1,8:43.0,A. Wiggins makes 2-pt jump shot from 14 ft,,8,8
21,1,8:33.0,,Personal foul by K. Dunn (drawn by R. Westbrook),8,8
22,1,8:18.0,,A. Roberson makes 3-pt jump shot from 24 ft (assist by D. Sabonis),8,11
23,1,8:03.0,A. Wiggins misses 2-pt jump shot from 9 ft,,8,11
24,1,8:02.0,,Defensive rebound by R. Westbrook,8,11
25,1,7:58.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by R. Westbrook),8,13
26,1,7:42.0,G. Dieng makes 2-pt jump shot from 17 ft,,10,13
27,1,7:23.0,,Shooting block foul by G. Dieng (drawn by V. Oladipo),10,13
28,1,7:23.0,,V. Oladipo misses free throw 1 of 2,10,13
29,1,7:23.0,,Offensive rebound by Team,10,13
30,1,7:23.0,,V. Oladipo misses free throw 2 of 2,10,13
31,1,7:22.0,Defensive rebound by A. Wiggins,,10,13
32,1,7:06.0,Z. LaVine misses 3-pt jump shot from 25 ft,,10,13
33,1,7:06.0,,Defensive rebound by R. Westbrook,10,13
34,1,6:54.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),10,15
35,1,6:43.0,Shooting foul by A. Roberson (drawn by A. Wiggins),,10,15
36,1,6:43.0,A. Wiggins misses free throw 1 of 2,,10,15
37,1,6:43.0,Offensive rebound by Team,,10,15
38,1,6:43.0,A. Wiggins makes free throw 2 of 2,,11,15
39,1,6:24.0,,V. Oladipo makes 2-pt dunk at rim (assist by R. Westbrook),11,17
40,1,6:09.0,K. Towns makes 3-pt jump shot from 24 ft,,14,17
41,1,5:54.0,,Shooting foul by A. Wiggins (drawn by R. Westbrook),14,17
42,1,5:54.0,,Oklahoma City full timeout,14,17
43,1,5:54.0,Violation by Team (delay of game),,14,17
44,1,5:54.0,,R. Westbrook makes free throw 1 of 2,14,18
45,1,5:54.0,,R. Westbrook makes free throw 2 of 2,14,19
46,1,5:36.0,K. Dunn misses 2-pt layup from 2 ft,,14,19
47,1,5:36.0,,Defensive rebound by V. Oladipo,14,19
48,1,5:19.0,,Turnover by R. Westbrook (bad pass; steal by A. Wiggins),14,19
49,1,5:15.0,A. Wiggins misses 2-pt layup from 1 ft (block by A. Roberson),,14,19
50,1,5:14.0,,Defensive rebound by V. Oladipo,14,19
51,1,5:03.0,,R. Westbrook makes 2-pt jump shot from 14 ft,14,21
52,1,4:48.0,G. Dieng misses 2-pt jump shot from 17 ft,,14,21
53,1,4:48.0,,Defensive rebound by R. Westbrook,14,21
54,1,4:41.0,,D. Sabonis misses 3-pt jump shot from 22 ft,14,21
55,1,4:40.0,,Offensive rebound by S. Adams,14,21
56,1,4:35.0,,D. Sabonis makes 2-pt layup at rim (assist by S. Adams),14,23
57,1,4:22.0,Personal foul by A. Roberson (drawn by A. Wiggins),,14,23
58,1,4:22.0,,E. Freedom enters the game for D. Sabonis,14,23
59,1,4:13.0,K. Towns makes 2-pt dunk at rim (assist by A. Wiggins),,16,23
60,1,3:50.0,,Á. Abrines enters the game for V. Oladipo,16,23
61,1,3:50.0,,Oklahoma City full timeout,16,23
62,1,3:44.0,,A. Roberson misses 2-pt jump shot from 17 ft (block by A. Wiggins),16,23
63,1,3:43.0,Defensive rebound by K. Dunn,,16,23
64,1,3:42.0,Turnover by A. Wiggins (lost ball; steal by Á. Abrines),,16,23
65,1,3:26.0,,S. Adams makes 2-pt jump shot from 5 ft (assist by R. Westbrook),16,25
66,1,3:18.0,,Violation by A. Roberson (kicked ball),16,25
67,1,3:10.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by K. Dunn),,19,25
68,1,2:54.0,,E. Freedom makes 2-pt layup from 2 ft (assist by R. Westbrook),19,27
69,1,2:34.0,G. Dieng makes 2-pt jump shot from 8 ft (assist by Z. LaVine),,21,27
70,1,2:20.0,,E. Freedom misses 2-pt layup from 2 ft (block by G. Dieng),21,27
71,1,2:19.0,Defensive rebound by A. Wiggins,,21,27
72,1,2:01.0,K. Towns misses 2-pt jump shot from 4 ft (block by E. Freedom),,21,27
73,1,2:01.0,,Defensive rebound by S. Adams,21,27
74,1,1:54.0,,E. Freedom makes 2-pt layup from 1 ft (assist by R. Westbrook),21,29
75,1,1:46.0,Minnesota full timeout,,21,29
