,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
0,1,11:42.0,Turnover by S. Ibaka (bad pass),,0,0
1,1,11:29.0,,K. Towns misses 2-pt jump shot from 16 ft,0,0
2,1,11:27.0,Defensive rebound by E. Payton,,0,0
3,1,11:22.0,S. Ibaka misses 3-pt jump shot from 25 ft,,0,0
4,1,11:21.0,Offensive rebound by A. Gordon,,0,0
5,1,11:19.0,A. Gordon misses 2-pt jump shot from 9 ft,,0,0
6,1,11:18.0,,Defensive rebound by G. Dieng,0,0
7,1,10:58.0,,K. Towns misses 3-pt jump shot from 25 ft,0,0
8,1,10:57.0,Defensive rebound by N. Vučević,,0,0
9,1,10:50.0,E. Payton makes 2-pt jump shot from 6 ft,,2,0
10,1,10:32.0,,A. Wiggins misses 2-pt layup from 2 ft,2,0
11,1,10:31.0,,Offensive rebound by K. Towns,2,0
12,1,10:31.0,,K. Towns makes 2-pt layup from 1 ft,2,2
13,1,10:19.0,A. Gordon makes 3-pt jump shot from 24 ft,,5,2
14,1,9:59.0,,A. Wiggins makes 2-pt layup from 1 ft,5,4
15,1,9:46.0,C. Watson makes 2-pt layup from 1 ft (assist by E. Payton),,7,4
16,1,9:26.0,,Turnover by K. Towns (bad pass; steal by E. Payton),7,4
17,1,9:05.0,A. Gordon misses 3-pt jump shot from 25 ft,,7,4
18,1,9:04.0,,Defensive rebound by G. Dieng,7,4
19,1,8:54.0,,K. Towns makes 3-pt jump shot from 24 ft (assist by R. Rubio),7,7
20,1,8:27.0,N. Vučević misses 2-pt jump shot from 20 ft,,7,7
21,1,8:26.0,,Defensive rebound by K. Towns,7,7
22,1,8:19.0,,G. Dieng misses 2-pt jump shot from 4 ft (block by N. Vučević),7,7
23,1,8:18.0,Defensive rebound by Team,,7,7
24,1,8:09.0,C. Watson misses 3-pt jump shot from 25 ft,,7,7
25,1,8:08.0,,Defensive rebound by K. Towns,7,7
26,1,8:04.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by R. Rubio),7,9
27,1,7:54.0,Turnover by E. Payton (lost ball),,7,9
28,1,7:41.0,,Z. LaVine misses 3-pt jump shot from 23 ft,7,9
29,1,7:41.0,,Offensive rebound by Team,7,9
30,1,7:41.0,Loose ball foul by A. Gordon (drawn by K. Towns),,7,9
31,1,7:31.0,,A. Wiggins makes 2-pt jump shot from 9 ft,7,11
32,1,7:31.0,Orlando full timeout,,7,11
33,1,7:20.0,N. Vučević misses 2-pt hook shot from 11 ft,,7,11
34,1,7:19.0,,Defensive rebound by R. Rubio,7,11
35,1,7:05.0,,K. Towns makes 2-pt jump shot from 21 ft (assist by A. Wiggins),7,13
36,1,6:47.0,S. Ibaka misses 2-pt jump shot from 19 ft,,7,13
37,1,6:46.0,,Defensive rebound by G. Dieng,7,13
38,1,6:36.0,,R. Rubio misses 2-pt jump shot from 21 ft,7,13
39,1,6:35.0,Defensive rebound by N. Vučević,,7,13
40,1,6:19.0,E. Payton makes 2-pt jump shot from 9 ft,,9,13
41,1,5:58.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by G. Dieng),9,16
42,1,5:48.0,Personal foul by G. Dieng (drawn by N. Vučević),,9,16
43,1,5:41.0,C. Watson makes 2-pt jump shot from 20 ft (assist by N. Vučević),,11,16
44,1,5:24.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Towns),11,18
