,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BROOKLYN_ACTION,MILWAUKEE_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,Turnover by R. Foye (bad pass; steal by M. Beasley),0,0
1,1,11:39.0,Shooting foul by R. Foye (drawn by M. Dellavedova),,0,0
2,1,11:39.0,M. Dellavedova misses free throw 1 of 2,,0,0
3,1,11:39.0,Offensive rebound by Team,,0,0
4,1,11:39.0,M. Dellavedova makes free throw 2 of 2,,1,0
5,1,11:19.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,1,0
6,1,11:18.0,Defensive rebound by G. Antetokounmpo,,1,0
7,1,11:05.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft,,1,0
8,1,11:04.0,,Defensive rebound by S. Dinwiddie,1,0
9,1,10:59.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by S. Dinwiddie),1,2
10,1,10:59.0,,Shooting foul by G. Antetokounmpo (drawn by B. Bogdanović),1,2
11,1,10:59.0,,B. Bogdanović makes free throw 1 of 1,1,3
12,1,10:43.0,T. Snell misses 3-pt jump shot from 24 ft,,1,3
13,1,10:42.0,,Defensive rebound by R. Hollis-Jefferson,1,3
14,1,10:31.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by R. Foye),1,5
15,1,10:17.0,T. Snell makes 2-pt layup from 2 ft (assist by T. Maker),,3,5
16,1,9:51.0,,B. Lopez makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),3,8
17,1,9:41.0,G. Antetokounmpo makes 2-pt dunk at rim,,5,8
18,1,9:29.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),5,11
19,1,9:19.0,G. Antetokounmpo misses 2-pt jump shot from 13 ft (block by B. Lopez),,5,11
20,1,9:18.0,,Defensive rebound by R. Foye,5,11
21,1,9:12.0,,R. Foye misses 2-pt layup from 3 ft (block by T. Snell),5,11
22,1,9:11.0,Defensive rebound by M. Beasley,,5,11
23,1,9:07.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,5,11
24,1,9:07.0,G. Antetokounmpo makes free throw 1 of 2,,6,11
25,1,9:07.0,G. Antetokounmpo misses free throw 2 of 2,,6,11
26,1,9:07.0,Offensive rebound by M. Beasley,,6,11
27,1,9:04.0,M. Beasley makes 2-pt jump shot from 8 ft,,8,11
28,1,8:53.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,8,11
29,1,8:52.0,Defensive rebound by T. Snell,,8,11
30,1,8:37.0,M. Beasley makes 2-pt layup from 3 ft,,10,11
31,1,8:16.0,,B. Bogdanović misses 2-pt layup from 3 ft (block by M. Beasley),10,11
32,1,8:14.0,Defensive rebound by T. Maker,,10,11
33,1,8:08.0,T. Snell makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,13,11
34,1,7:50.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),13,14
35,1,7:40.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,13,14
36,1,7:39.0,,Defensive rebound by R. Hollis-Jefferson,13,14
37,1,7:29.0,,B. Bogdanović misses 2-pt layup from 3 ft,13,14
38,1,7:28.0,,Offensive rebound by B. Bogdanović,13,14
39,1,7:27.0,,B. Bogdanović makes 2-pt layup from 2 ft,13,16
40,1,7:12.0,T. Maker makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),,16,16
41,1,6:54.0,,B. Lopez misses 3-pt jump shot from 25 ft,16,16
42,1,6:53.0,Defensive rebound by T. Maker,,16,16
43,1,6:45.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by M. Dellavedova),,18,16
44,1,6:45.0,,Brooklyn full timeout,18,16
45,1,6:45.0,G. Monroe enters the game for T. Maker,,18,16
46,1,6:45.0,,S. Kilpatrick enters the game for R. Foye,18,16
47,1,6:45.0,K. Middleton enters the game for G. Antetokounmpo,,18,16
48,1,6:23.0,,S. Dinwiddie makes 2-pt jump shot from 9 ft (assist by S. Kilpatrick),18,18
49,1,6:04.0,M. Beasley misses 2-pt jump shot from 6 ft,,18,18
50,1,6:03.0,,Defensive rebound by B. Bogdanović,18,18
51,1,5:49.0,,Turnover by B. Bogdanović (lost ball; steal by K. Middleton),18,18
52,1,5:45.0,G. Monroe makes 2-pt layup from 2 ft (assist by M. Dellavedova),,20,18
53,1,5:31.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,20,18
54,1,5:30.0,Defensive rebound by G. Monroe,,20,18
55,1,5:20.0,G. Monroe makes 2-pt dunk at rim (assist by K. Middleton),,22,18
56,1,5:08.0,,B. Lopez makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),22,20
57,1,4:50.0,M. Beasley makes 2-pt jump shot from 19 ft,,24,20
58,1,4:38.0,,S. Kilpatrick misses 3-pt jump shot from 24 ft,24,20
59,1,4:36.0,Defensive rebound by K. Middleton,,24,20
60,1,4:25.0,M. Beasley misses 2-pt jump shot from 5 ft,,24,20
61,1,4:24.0,,Defensive rebound by S. Dinwiddie,24,20
62,1,4:11.0,,Shooting foul by G. Monroe (drawn by B. Lopez),24,20
63,1,4:11.0,,B. Lopez misses free throw 1 of 2,24,20
64,1,4:11.0,,Offensive rebound by Team,24,20
65,1,4:11.0,,T. Booker enters the game for R. Hollis-Jefferson,24,20
66,1,4:11.0,,I. Whitehead enters the game for S. Dinwiddie,24,20
67,1,4:11.0,M. Brogdon enters the game for M. Dellavedova,,24,20
68,1,4:11.0,,B. Lopez makes free throw 2 of 2,24,21
69,1,4:00.0,Turnover by G. Monroe (bad pass),,24,21
70,1,4:00.0,,J. Hamilton enters the game for B. Lopez,24,21
71,1,3:44.0,,J. Hamilton makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),24,24
72,1,3:30.0,G. Monroe makes 2-pt hook shot from 6 ft,,26,24
73,1,3:13.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Hamilton),26,27
74,1,2:55.0,Turnover by G. Monroe (lost ball; steal by J. Hamilton),,26,27
75,1,2:46.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,26,27
76,1,2:45.0,Defensive rebound by T. Snell,,26,27
77,1,2:38.0,Personal foul by B. Bogdanović (drawn by G. Monroe),,26,27
78,1,2:38.0,Milwaukee full timeout,,26,27
79,1,2:38.0,,C. LeVert enters the game for B. Bogdanović,26,27
80,1,2:38.0,G. Antetokounmpo enters the game for M. Beasley,,26,27
81,1,2:38.0,R. Vaughn enters the game for T. Snell,,26,27
82,1,2:31.0,K. Middleton makes 2-pt jump shot from 19 ft (assist by G. Monroe),,28,27
83,1,2:21.0,,I. Whitehead misses 3-pt jump shot from 26 ft,28,27
84,1,2:18.0,Defensive rebound by G. Antetokounmpo,,28,27
85,1,2:10.0,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),,30,27
86,1,1:59.0,,T. Booker makes 2-pt dunk at rim (assist by I. Whitehead),30,29
87,1,1:38.0,Shooting foul by S. Kilpatrick (drawn by M. Brogdon),,30,29
88,1,1:38.0,M. Brogdon makes free throw 1 of 2,,31,29
89,1,1:38.0,M. Brogdon makes free throw 2 of 2,,32,29
90,1,1:22.0,,I. Whitehead makes 2-pt layup from 2 ft (assist by C. LeVert),32,31
91,1,1:08.0,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),,34,31
92,1,0:54.0,,S. Kilpatrick misses 2-pt layup from 2 ft,34,31
93,1,0:53.0,Defensive rebound by G. Antetokounmpo,,34,31
