,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:45.0,Turnover by M. Morris (lost ball; steal by J. Teague),,0,0
1,1,11:40.0,,Turnover by M. Turner (bad pass; steal by J. Wall),0,0
2,1,11:26.0,B. Beal makes 2-pt jump shot from 9 ft,,2,0
3,1,11:08.0,,M. Turner misses 2-pt jump shot from 19 ft,2,0
4,1,11:07.0,Defensive rebound by M. Gortat,,2,0
5,1,10:59.0,B. Beal makes 3-pt jump shot from 28 ft (assist by J. Wall),,5,0
6,1,10:43.0,,T. Young misses 2-pt jump shot from 21 ft,5,0
7,1,10:43.0,Defensive rebound by M. Gortat,,5,0
8,1,10:30.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,8,0
9,1,10:24.0,,Shooting foul by B. Beal (drawn by P. George),8,0
10,1,10:24.0,,P. George makes free throw 1 of 2,8,1
11,1,10:24.0,,P. George misses free throw 2 of 2,8,1
12,1,10:23.0,Defensive rebound by O. Porter,,8,1
13,1,10:07.0,J. Wall makes 2-pt jump shot from 22 ft,,10,1
14,1,9:46.0,,J. Teague misses 2-pt jump shot from 13 ft,10,1
15,1,9:46.0,Defensive rebound by O. Porter,,10,1
16,1,9:38.0,B. Beal misses 3-pt jump shot from 27 ft,,10,1
17,1,9:37.0,Offensive rebound by Team,,10,1
18,1,9:37.0,,Loose ball foul by T. Young (drawn by O. Porter),10,1
19,1,9:23.0,O. Porter makes 2-pt jump shot from 21 ft (assist by M. Gortat),,12,1
20,1,9:18.0,,Indiana full timeout,12,1
21,1,9:10.0,,P. George makes 2-pt layup from 3 ft,12,3
22,1,9:10.0,,Shooting foul by M. Morris (drawn by P. George),12,3
23,1,9:10.0,,P. George makes free throw 1 of 1,12,4
24,1,8:59.0,J. Wall misses 2-pt jump shot from 17 ft,,12,4
25,1,8:59.0,,Defensive rebound by T. Young,12,4
26,1,8:47.0,,J. Teague misses 2-pt jump shot from 5 ft,12,4
27,1,8:46.0,,Offensive rebound by J. Teague,12,4
28,1,8:44.0,,J. Teague misses 2-pt layup from 1 ft (block by O. Porter),12,4
29,1,8:43.0,Defensive rebound by O. Porter,,12,4
30,1,8:37.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,14,4
31,1,8:22.0,,P. George misses 2-pt jump shot from 21 ft,14,4
32,1,8:22.0,Defensive rebound by M. Morris,,14,4
33,1,8:13.0,Turnover by J. Wall (lost ball; steal by J. Teague),,14,4
34,1,8:08.0,,T. Young makes 2-pt layup from 1 ft,14,6
35,1,7:52.0,M. Morris misses 2-pt layup from 3 ft (block by M. Turner),,14,6
36,1,7:51.0,,Defensive rebound by T. Young,14,6
37,1,7:43.0,,G. Robinson misses 3-pt jump shot from 24 ft,14,6
38,1,7:42.0,Defensive rebound by Team,,14,6
39,1,7:26.0,O. Porter misses 2-pt jump shot from 20 ft,,14,6
40,1,7:26.0,,Defensive rebound by P. George,14,6
41,1,7:08.0,,P. George makes 2-pt layup from 3 ft (assist by J. Teague),14,8
42,1,6:51.0,M. Gortat makes 2-pt dunk at rim (assist by B. Beal),,16,8
43,1,6:38.0,,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),16,10
44,1,6:27.0,B. Beal makes 3-pt jump shot from 23 ft,,19,10
45,1,6:20.0,,M. Turner makes 2-pt hook shot from 3 ft (assist by J. Teague),19,12
46,1,6:20.0,,Shooting foul by M. Morris (drawn by M. Turner),19,12
47,1,6:20.0,,M. Turner misses free throw 1 of 1,19,12
48,1,6:20.0,J. Smith enters the game for M. Morris,,19,12
49,1,6:18.0,Defensive rebound by B. Beal,,19,12
50,1,6:01.0,J. Smith makes 2-pt jump shot from 20 ft (assist by B. Beal),,21,12
51,1,5:46.0,,M. Turner makes 2-pt jump shot from 5 ft (assist by J. Teague),21,14
52,1,5:30.0,Turnover by O. Porter (bad pass),,21,14
53,1,5:30.0,,C. Miles enters the game for G. Robinson,21,14
54,1,5:18.0,,M. Turner misses 2-pt jump shot from 4 ft,21,14
55,1,5:15.0,,Offensive rebound by M. Turner,21,14
56,1,5:03.0,,Shooting foul by J. Smith (drawn by M. Turner),21,14
57,1,5:03.0,,M. Turner makes free throw 1 of 2,21,15
58,1,5:03.0,,M. Turner makes free throw 2 of 2,21,16
59,1,4:41.0,O. Porter misses 2-pt jump shot from 7 ft,,21,16
60,1,4:39.0,Offensive rebound by B. Beal,,21,16
61,1,4:36.0,B. Beal makes 2-pt layup from 1 ft,,23,16
62,1,4:25.0,,J. Teague misses 2-pt jump shot from 3 ft,23,16
63,1,4:25.0,Defensive rebound by J. Smith,,23,16
64,1,4:20.0,Turnover by B. Beal (lost ball; steal by J. Teague),,23,16
65,1,4:13.0,,C. Miles misses 3-pt jump shot from 28 ft,23,16
66,1,4:12.0,,Offensive rebound by T. Young,23,16
67,1,4:01.0,,P. George makes 2-pt jump shot from 8 ft,23,18
68,1,3:55.0,Washington full timeout,,23,18
69,1,3:55.0,,A. Jefferson enters the game for M. Turner,23,18
70,1,3:55.0,K. Oubre enters the game for O. Porter,,23,18
71,1,3:47.0,B. Beal misses 2-pt jump shot from 11 ft,,23,18
72,1,3:46.0,Offensive rebound by J. Smith,,23,18
73,1,3:42.0,J. Wall misses 3-pt jump shot from 26 ft,,23,18
74,1,3:42.0,,Defensive rebound by J. Teague,23,18
75,1,3:42.0,Loose ball foul by J. Wall (drawn by J. Teague),,23,18
76,1,3:42.0,,J. Teague makes free throw 1 of 2,23,19
77,1,3:42.0,,J. Teague makes free throw 2 of 2,23,20
78,1,3:29.0,J. Smith makes 2-pt jump shot from 21 ft (assist by B. Beal),,25,20
79,1,3:09.0,,P. George misses 2-pt jump shot from 5 ft (block by K. Oubre),25,20
80,1,3:09.0,,Offensive rebound by Team,25,20
81,1,3:09.0,,L. Allen enters the game for T. Young,25,20
82,1,3:09.0,M. Thornton enters the game for B. Beal,,25,20
83,1,3:05.0,,C. Miles misses 3-pt jump shot from 25 ft,25,20
84,1,3:05.0,Defensive rebound by J. Wall,,25,20
85,1,2:56.0,Def 3 sec tech foul by A. Jefferson,,25,20
86,1,2:56.0,J. Wall makes technical free throw,,26,20
87,1,2:56.0,,G. Robinson enters the game for P. George,26,20
88,1,2:41.0,J. Wall makes 2-pt jump shot from 18 ft,,28,20
89,1,2:34.0,,J. Teague misses 2-pt jump shot from 4 ft,28,20
90,1,2:33.0,Defensive rebound by J. Smith,,28,20
91,1,2:28.0,Shooting foul by G. Robinson (drawn by J. Wall),,28,20
92,1,2:28.0,J. Wall makes free throw 1 of 2,,29,20
93,1,2:28.0,J. Wall makes free throw 2 of 2,,30,20
94,1,2:09.0,,A. Jefferson misses 2-pt jump shot from 11 ft,30,20
95,1,2:08.0,,Offensive rebound by C. Miles,30,20
96,1,2:08.0,,C. Miles makes 2-pt jump shot from 6 ft,30,22
97,1,2:08.0,,Shooting foul by J. Smith (drawn by C. Miles),30,22
98,1,2:08.0,,C. Miles makes free throw 1 of 1,30,23
99,1,1:57.0,Shooting block foul by A. Jefferson (drawn by J. Wall),,30,23
