,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,K. Koufos misses 2-pt dunk from 2 ft (block by N. Batum),0,0
1,1,11:40.0,Defensive rebound by F. Kaminsky,,0,0
2,1,11:29.0,Shooting foul by B. McLemore (drawn by M. Kidd-Gilchrist),,0,0
3,1,11:29.0,M. Kidd-Gilchrist makes free throw 1 of 2,,1,0
4,1,11:29.0,M. Kidd-Gilchrist makes free throw 2 of 2,,2,0
5,1,11:11.0,,Turnover by A. Tolliver (lost ball; steal by F. Kaminsky),2,0
6,1,11:01.0,K. Walker misses 3-pt jump shot from 25 ft,,2,0
7,1,11:00.0,,Defensive rebound by T. Evans,2,0
8,1,10:49.0,,A. Tolliver misses 3-pt jump shot from 25 ft,2,0
9,1,10:48.0,Defensive rebound by N. Batum,,2,0
10,1,10:35.0,M. Williams makes 2-pt layup from 4 ft (assist by F. Kaminsky),,4,0
11,1,10:20.0,,D. Collison misses 2-pt jump shot from 6 ft (block by M. Kidd-Gilchrist),4,0
12,1,10:16.0,Defensive rebound by K. Walker,,4,0
13,1,10:11.0,M. Williams makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),,7,0
14,1,9:56.0,,T. Evans misses 2-pt layup from 1 ft,7,0
15,1,9:55.0,Defensive rebound by N. Batum,,7,0
16,1,9:48.0,M. Kidd-Gilchrist misses 2-pt jump shot from 3 ft (block by T. Evans),,7,0
17,1,9:46.0,Offensive rebound by M. Kidd-Gilchrist,,7,0
18,1,9:44.0,F. Kaminsky misses 3-pt jump shot from 24 ft,,7,0
19,1,9:43.0,,Defensive rebound by T. Evans,7,0
20,1,9:29.0,,K. Koufos misses 2-pt jump shot from 6 ft,7,0
21,1,9:28.0,Defensive rebound by N. Batum,,7,0
22,1,9:23.0,N. Batum misses 2-pt jump shot from 6 ft (block by K. Koufos),,7,0
23,1,9:22.0,,Defensive rebound by A. Tolliver,7,0
24,1,9:15.0,,D. Collison misses 2-pt jump shot from 20 ft,7,0
25,1,9:14.0,Defensive rebound by F. Kaminsky,,7,0
26,1,8:58.0,N. Batum makes 2-pt jump shot from 6 ft,,9,0
27,1,8:40.0,,T. Evans misses 2-pt layup from 5 ft (block by M. Williams),9,0
28,1,8:38.0,Defensive rebound by M. Kidd-Gilchrist,,9,0
29,1,8:32.0,N. Batum makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,12,0
30,1,8:32.0,,Sacramento full timeout,12,0
31,1,8:16.0,,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Collison),12,3
32,1,7:54.0,M. Williams misses 3-pt jump shot from 26 ft,,12,3
33,1,7:54.0,,Defensive rebound by K. Koufos,12,3
34,1,7:44.0,Violation by F. Kaminsky (kicked ball),,12,3
35,1,7:26.0,,D. Collison makes 3-pt jump shot from 27 ft (assist by T. Evans),12,6
36,1,7:12.0,N. Batum misses 3-pt jump shot from 26 ft,,12,6
37,1,7:12.0,,Defensive rebound by K. Koufos,12,6
38,1,7:03.0,,Shooting foul by F. Kaminsky (drawn by A. Tolliver),12,6
39,1,7:03.0,,A. Tolliver makes free throw 1 of 2,12,7
40,1,7:03.0,C. Wood enters the game for F. Kaminsky,,12,7
41,1,7:03.0,,A. Tolliver makes free throw 2 of 2,12,8
42,1,6:48.0,N. Batum misses 3-pt jump shot from 25 ft,,12,8
43,1,6:47.0,,Defensive rebound by A. Tolliver,12,8
44,1,6:38.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by T. Evans),12,11
45,1,6:22.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,12,11
46,1,6:22.0,,Defensive rebound by T. Evans,12,11
47,1,6:09.0,,T. Evans misses 3-pt jump shot from 25 ft,12,11
48,1,6:09.0,Defensive rebound by C. Wood,,12,11
49,1,6:00.0,N. Batum misses 2-pt layup from 3 ft,,12,11
50,1,5:59.0,Offensive rebound by C. Wood,,12,11
51,1,5:58.0,Turnover by C. Wood (lost ball),,12,11
