,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:38.0,,Shooting foul by A. Gordon (drawn by C. Anthony),0,0
1,1,11:38.0,,C. Anthony makes free throw 1 of 2,0,1
2,1,11:38.0,,C. Anthony makes free throw 2 of 2,0,2
3,1,11:15.0,S. Ibaka misses 3-pt jump shot from 25 ft,,0,2
4,1,11:14.0,Offensive rebound by B. Biyombo,,0,2
5,1,11:12.0,B. Biyombo misses 2-pt hook shot from 5 ft,,0,2
6,1,11:11.0,,Defensive rebound by Team,0,2
7,1,10:49.0,,Turnover by J. Noah (lost ball; steal by B. Biyombo),0,2
8,1,10:43.0,A. Gordon makes 2-pt dunk at rim (assist by D. Augustin),,2,2
9,1,10:31.0,,Shooting foul by S. Ibaka (drawn by J. Noah),2,2
10,1,10:31.0,,J. Noah makes free throw 1 of 2,2,3
11,1,10:31.0,,J. Noah makes free throw 2 of 2,2,4
12,1,10:23.0,Turnover by S. Ibaka (traveling),,2,4
13,1,10:12.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by D. Rose),2,6
14,1,9:58.0,S. Ibaka makes 2-pt jump shot from 15 ft,,4,6
15,1,9:47.0,,D. Rose makes 2-pt jump shot from 7 ft,4,8
16,1,9:34.0,E. Fournier makes 2-pt jump shot from 16 ft,,6,8
17,1,9:21.0,,C. Anthony misses 2-pt jump shot from 19 ft,6,8
18,1,9:20.0,Defensive rebound by S. Ibaka,,6,8
19,1,9:12.0,A. Gordon misses 3-pt jump shot from 24 ft,,6,8
20,1,9:11.0,,Defensive rebound by J. Noah,6,8
21,1,9:00.0,,C. Lee misses 2-pt jump shot from 16 ft,6,8
22,1,8:59.0,Defensive rebound by S. Ibaka,,6,8
23,1,8:47.0,D. Augustin misses 2-pt layup from 2 ft (block by K. Porziņģis),,6,8
24,1,8:46.0,,Defensive rebound by K. Porziņģis,6,8
25,1,8:37.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by C. Anthony),6,11
26,1,8:17.0,E. Fournier makes 2-pt layup from 2 ft,,8,11
27,1,8:09.0,,Turnover by J. Noah (bad pass),8,11
28,1,7:55.0,S. Ibaka misses 3-pt jump shot from 24 ft,,8,11
29,1,7:54.0,,Defensive rebound by C. Lee,8,11
30,1,7:37.0,,C. Anthony misses 2-pt jump shot from 19 ft,8,11
31,1,7:36.0,Defensive rebound by S. Ibaka,,8,11
32,1,7:22.0,A. Gordon makes 2-pt dunk at rim (assist by D. Augustin),,10,11
33,1,7:00.0,,D. Rose misses 2-pt layup from 2 ft (block by B. Biyombo),10,11
34,1,6:59.0,Defensive rebound by S. Ibaka,,10,11
35,1,6:53.0,D. Augustin misses 3-pt jump shot from 24 ft,,10,11
36,1,6:52.0,Offensive rebound by Team,,10,11
37,1,6:52.0,,Loose ball foul by K. Porziņģis (drawn by B. Biyombo),10,11
38,1,6:42.0,S. Ibaka misses 3-pt jump shot from 24 ft,,10,11
39,1,6:41.0,,Defensive rebound by D. Rose,10,11
40,1,6:35.0,,D. Rose misses 2-pt jump shot from 9 ft (block by B. Biyombo),10,11
41,1,6:34.0,Defensive rebound by Team,,10,11
42,1,6:34.0,,Loose ball foul by D. Rose (drawn by S. Ibaka),10,11
43,1,6:13.0,D. Augustin makes 2-pt jump shot from 10 ft,,12,11
44,1,6:07.0,,New York full timeout,12,11
45,1,5:55.0,,C. Anthony misses 2-pt jump shot from 11 ft,12,11
46,1,5:54.0,,Offensive rebound by C. Anthony,12,11
47,1,5:54.0,,C. Anthony makes 2-pt layup from 2 ft,12,13
48,1,5:31.0,A. Gordon misses 2-pt jump shot from 17 ft,,12,13
49,1,5:30.0,,Defensive rebound by C. Anthony,12,13
50,1,5:26.0,,J. Noah makes 2-pt layup from 1 ft (assist by C. Anthony),12,15
51,1,5:23.0,Turnover by S. Ibaka (bad pass; steal by C. Lee),,12,15
52,1,5:21.0,,C. Lee makes 2-pt jump shot from 7 ft,12,17
53,1,5:20.0,Orlando full timeout,,12,17
54,1,5:03.0,S. Ibaka misses 2-pt jump shot from 19 ft,,12,17
55,1,5:02.0,,Defensive rebound by J. Noah,12,17
56,1,4:44.0,,C. Anthony misses 3-pt jump shot from 24 ft,12,17
57,1,4:43.0,,Offensive rebound by J. Noah,12,17
58,1,4:34.0,,D. Rose misses 2-pt layup from 1 ft (block by B. Biyombo),12,17
59,1,4:33.0,Defensive rebound by D. Augustin,,12,17
60,1,4:29.0,E. Fournier misses 3-pt jump shot from 24 ft,,12,17
61,1,4:28.0,,Defensive rebound by Team,12,17
62,1,4:28.0,,K. O'Quinn enters the game for J. Noah,12,17
63,1,4:28.0,E. Payton enters the game for B. Biyombo,,12,17
64,1,4:28.0,N. Vučević enters the game for D. Augustin,,12,17
65,1,4:13.0,,Turnover by C. Lee (traveling),12,17
66,1,4:13.0,,W. Hernangómez enters the game for K. Porziņģis,12,17
67,1,4:04.0,Turnover by A. Gordon (lost ball),,12,17
68,1,3:54.0,,Turnover by C. Anthony (bad pass; steal by N. Vučević),12,17
69,1,3:50.0,Shooting foul by D. Rose (drawn by E. Fournier),,12,17
70,1,3:50.0,E. Fournier makes 2-pt layup from 1 ft (assist by E. Payton),,14,17
71,1,3:50.0,,B. Jennings enters the game for D. Rose,14,17
72,1,3:50.0,E. Fournier makes free throw 1 of 1,,15,17
73,1,3:32.0,,C. Anthony misses 2-pt jump shot from 17 ft,15,17
74,1,3:31.0,,Offensive rebound by K. O'Quinn,15,17
75,1,3:23.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by B. Jennings),15,20
76,1,3:18.0,Turnover by E. Payton (lost ball),,15,20
77,1,3:18.0,J. Green enters the game for A. Gordon,,15,20
78,1,3:01.0,,K. O'Quinn misses 2-pt jump shot from 21 ft,15,20
79,1,3:00.0,,Offensive rebound by W. Hernangómez,15,20
80,1,2:58.0,,W. Hernangómez misses 2-pt layup from 1 ft,15,20
81,1,2:57.0,Defensive rebound by S. Ibaka,,15,20
82,1,2:53.0,Turnover by E. Payton (lost ball; steal by B. Jennings),,15,20
83,1,2:49.0,,C. Anthony misses 2-pt layup from 2 ft (block by E. Fournier),15,20
84,1,2:48.0,Defensive rebound by Team,,15,20
85,1,2:30.0,S. Ibaka misses 2-pt jump shot from 18 ft,,15,20
86,1,2:29.0,,Defensive rebound by C. Anthony,15,20
87,1,2:19.0,,K. O'Quinn makes 2-pt jump shot from 16 ft (assist by B. Jennings),15,22
88,1,2:08.0,Personal foul by B. Jennings (drawn by E. Payton),,15,22
89,1,2:08.0,C. Watson enters the game for S. Ibaka,,15,22
90,1,2:03.0,E. Fournier misses 2-pt jump shot from 16 ft (block by C. Lee),,15,22
91,1,2:02.0,,Defensive rebound by W. Hernangómez,15,22
92,1,1:57.0,,Turnover by W. Hernangómez (bad pass; steal by J. Green),15,22
93,1,1:52.0,Shooting foul by W. Hernangómez (drawn by J. Green),,15,22
94,1,1:52.0,J. Green makes free throw 1 of 2,,16,22
95,1,1:52.0,J. Green makes free throw 2 of 2,,17,22
96,1,1:31.0,,W. Hernangómez makes 3-pt jump shot from 24 ft (assist by B. Jennings),17,25
97,1,1:17.0,E. Payton misses 2-pt layup from 2 ft (block by K. O'Quinn),,17,25
98,1,1:16.0,,Defensive rebound by C. Anthony,17,25
99,1,1:04.0,,C. Lee makes 2-pt jump shot from 14 ft (assist by B. Jennings),17,27
100,1,0:50.0,,M. Kuzminskas enters the game for C. Anthony,17,27
101,1,0:48.0,J. Green makes 2-pt layup from 3 ft (assist by C. Watson),,19,27
102,1,0:29.0,,C. Lee misses 3-pt jump shot from 24 ft,19,27
103,1,0:28.0,Defensive rebound by E. Fournier,,19,27
104,1,0:08.0,J. Green misses 2-pt jump shot from 22 ft,,19,27
105,1,0:07.0,,Defensive rebound by K. O'Quinn,19,27
106,1,0:01.0,,B. Jennings misses 2-pt jump shot from 5 ft,19,27
107,1,0:00.0,,Offensive rebound by Team,19,27
108,2,11:43.0,C. Watson makes 2-pt jump shot from 15 ft,,21,27
109,2,11:22.0,,Personal foul by B. Biyombo (drawn by W. Hernangómez),21,27
110,2,11:16.0,,M. Kuzminskas makes 3-pt jump shot from 26 ft (assist by B. Jennings),21,30
111,2,10:53.0,E. Payton misses 3-pt jump shot from 26 ft,,21,30
112,2,10:52.0,,Defensive rebound by K. O'Quinn,21,30
113,2,10:36.0,,W. Hernangómez misses 3-pt jump shot from 25 ft,21,30
114,2,10:35.0,Defensive rebound by N. Vučević,,21,30
115,2,10:28.0,B. Biyombo makes 2-pt dunk at rim (assist by C. Watson),,23,30
116,2,10:08.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by B. Jennings),23,32
117,2,9:54.0,C. Watson misses 3-pt jump shot from 23 ft,,23,32
118,2,9:53.0,,Defensive rebound by M. Kuzminskas,23,32
119,2,9:40.0,,M. Kuzminskas misses 3-pt jump shot from 24 ft,23,32
120,2,9:39.0,Defensive rebound by B. Biyombo,,23,32
121,2,9:31.0,Turnover by E. Payton (bad pass),,23,32
122,2,9:31.0,,K. Porziņģis enters the game for W. Hernangómez,23,32
123,2,9:18.0,,J. Holiday misses 2-pt layup from 3 ft,23,32
124,2,9:17.0,,Offensive rebound by K. Porziņģis,23,32
125,2,9:17.0,,K. Porziņģis makes 2-pt layup from 1 ft,23,34
126,2,9:01.0,N. Vučević misses 2-pt jump shot from 11 ft,,23,34
127,2,9:00.0,,Defensive rebound by K. O'Quinn,23,34
128,2,8:56.0,,M. Kuzminskas makes 2-pt layup from 3 ft (assist by B. Jennings),23,36
129,2,8:55.0,Orlando full timeout,,23,36
130,2,8:36.0,J. Green makes 2-pt layup from 1 ft,,25,36
131,2,8:13.0,,K. O'Quinn misses 2-pt layup from 1 ft,25,36
132,2,8:12.0,,Offensive rebound by K. Porziņģis,25,36
133,2,8:12.0,,K. Porziņģis misses 2-pt dunk at rim,25,36
134,2,8:11.0,,Offensive rebound by K. O'Quinn,25,36
135,2,8:10.0,,K. O'Quinn makes 2-pt dunk at rim,25,38
136,2,7:55.0,E. Payton misses 2-pt jump shot from 7 ft,,25,38
137,2,7:54.0,,Defensive rebound by K. O'Quinn,25,38
138,2,7:44.0,,Turnover by K. O'Quinn (bad pass; steal by J. Green),25,38
139,2,7:35.0,C. Watson makes 2-pt jump shot from 4 ft,,27,38
140,2,7:24.0,,Shooting foul by C. Watson (drawn by K. O'Quinn),27,38
141,2,7:24.0,,K. O'Quinn makes free throw 1 of 2,27,39
142,2,7:24.0,,K. O'Quinn makes free throw 2 of 2,27,40
143,2,7:12.0,Turnover by E. Payton (bad pass; steal by K. Porziņģis),,27,40
144,2,6:51.0,,B. Jennings misses 2-pt jump shot from 14 ft,27,40
145,2,6:50.0,,Offensive rebound by Team,27,40
146,2,6:50.0,Loose ball foul by E. Payton (drawn by K. Porziņģis),,27,40
147,2,6:50.0,,J. Noah enters the game for K. O'Quinn,27,40
148,2,6:39.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,27,40
149,2,6:38.0,,Offensive rebound by Team,27,40
150,2,6:34.0,,J. Holiday makes 2-pt layup from 2 ft (assist by M. Kuzminskas),27,42
151,2,6:16.0,Shooting foul by M. Kuzminskas (drawn by B. Biyombo),,27,42
152,2,6:16.0,B. Biyombo misses free throw 1 of 2,,27,42
153,2,6:16.0,Offensive rebound by Team,,27,42
154,2,6:16.0,B. Biyombo makes free throw 2 of 2,,28,42
155,2,6:00.0,,K. Porziņģis makes 2-pt layup from 1 ft (assist by B. Jennings),28,44
156,2,5:45.0,J. Green misses 3-pt jump shot from 25 ft,,28,44
157,2,5:44.0,,Defensive rebound by M. Kuzminskas,28,44
158,2,5:40.0,,Turnover by B. Jennings (bad pass; steal by J. Green),28,44
159,2,5:36.0,C. Watson misses 3-pt jump shot from 25 ft,,28,44
160,2,5:35.0,,Defensive rebound by Team,28,44
161,2,5:35.0,Loose ball foul by B. Biyombo (drawn by J. Noah),,28,44
162,2,5:35.0,Official timeout,,28,44
163,2,5:35.0,,C. Anthony enters the game for M. Kuzminskas,28,44
164,2,5:18.0,,J. Holiday misses 2-pt layup from 3 ft,28,44
165,2,5:17.0,Defensive rebound by E. Payton,,28,44
166,2,5:10.0,N. Vučević misses 2-pt jump shot from 20 ft,,28,44
167,2,5:09.0,,Defensive rebound by C. Anthony,28,44
168,2,4:56.0,,Turnover by B. Jennings (bad pass; steal by E. Payton),28,44
169,2,4:50.0,E. Payton makes 2-pt layup from 2 ft (assist by N. Vučević),,30,44
170,2,4:40.0,,Shooting foul by N. Vučević (drawn by B. Jennings),30,44
171,2,4:40.0,,B. Jennings misses free throw 1 of 2,30,44
172,2,4:40.0,,Offensive rebound by Team,30,44
