,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
0,1,11:39.0,Personal foul by C. Joseph (drawn by S. Adams),,0,0
1,1,11:32.0,Turnover by R. Westbrook (bad pass; steal by D. Carroll),,0,0
2,1,11:11.0,,Turnover by D. Carroll (bad pass),0,0
3,1,10:51.0,S. Adams makes 2-pt hook shot from 5 ft,,2,0
4,1,10:40.0,,Turnover by J. Valančiūnas (lost ball; steal by S. Adams),2,0
5,1,10:29.0,S. Adams misses 2-pt jump shot from 2 ft (block by J. Valančiūnas),,2,0
6,1,10:26.0,,Defensive rebound by C. Joseph,2,0
7,1,10:13.0,,S. Ibaka misses 3-pt jump shot from 27 ft,2,0
8,1,10:13.0,Defensive rebound by A. Roberson,,2,0
9,1,9:53.0,R. Westbrook misses 3-pt jump shot from 27 ft,,2,0
10,1,9:53.0,,Defensive rebound by J. Valančiūnas,2,0
11,1,9:46.0,,C. Joseph makes 2-pt jump shot from 18 ft,2,2
12,1,9:32.0,A. Roberson makes 2-pt layup from 1 ft (assist by V. Oladipo),,4,2
13,1,9:18.0,,S. Ibaka misses 3-pt jump shot from 26 ft,4,2
14,1,9:18.0,Defensive rebound by A. Roberson,,4,2
15,1,9:12.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,6,2
16,1,8:46.0,,C. Joseph misses 2-pt jump shot from 16 ft,6,2
17,1,8:45.0,Defensive rebound by A. Roberson,,6,2
18,1,8:40.0,R. Westbrook makes 2-pt layup from 2 ft,,8,2
19,1,8:26.0,,D. DeRozan misses 2-pt jump shot from 4 ft (block by S. Adams),8,2
20,1,8:25.0,Defensive rebound by R. Westbrook,,8,2
21,1,8:22.0,A. Roberson misses 2-pt layup from 2 ft (block by S. Ibaka),,8,2
22,1,8:22.0,Offensive rebound by Team,,8,2
23,1,8:17.0,V. Oladipo misses 2-pt jump shot from 15 ft,,8,2
24,1,8:17.0,Offensive rebound by S. Adams,,8,2
25,1,8:12.0,S. Adams misses 2-pt layup from 3 ft,,8,2
26,1,8:12.0,,Defensive rebound by J. Valančiūnas,8,2
27,1,7:56.0,,J. Valančiūnas makes 2-pt layup from 3 ft (assist by D. DeRozan),8,4
28,1,7:56.0,,Shooting foul by R. Westbrook (drawn by J. Valančiūnas),8,4
29,1,7:56.0,,J. Valančiūnas makes free throw 1 of 1,8,5
30,1,7:45.0,T. Gibson misses 2-pt jump shot from 16 ft,,8,5
31,1,7:45.0,Offensive rebound by Team,,8,5
32,1,7:45.0,,Loose ball foul by J. Valančiūnas (drawn by S. Adams),8,5
33,1,7:39.0,Turnover by V. Oladipo (lost ball; steal by C. Joseph),,8,5
34,1,7:31.0,,D. Carroll makes 2-pt layup from 2 ft (assist by C. Joseph),8,7
35,1,7:17.0,Shooting foul by S. Ibaka (drawn by T. Gibson),,8,7
36,1,7:17.0,T. Gibson misses free throw 1 of 2,,8,7
