,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
0,1,11:49.0,,Turnover by L. James (bad pass; steal by N. Batum),0,0
1,1,11:38.0,M. Kidd-Gilchrist misses 2-pt jump shot from 21 ft,,0,0
2,1,11:35.0,,Defensive rebound by M. Dunleavy,0,0
3,1,11:29.0,,L. James misses 2-pt jump shot from 20 ft,0,0
4,1,11:28.0,Defensive rebound by Team,,0,0
5,1,11:18.0,C. Zeller misses 2-pt layup from 3 ft (block by T. Thompson),,0,0
6,1,11:17.0,Offensive rebound by Team,,0,0
7,1,11:05.0,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,,0,0
8,1,11:04.0,,Defensive rebound by T. Thompson,0,0
9,1,10:56.0,,K. Love makes 2-pt dunk at rim (assist by K. Irving),0,2
10,1,10:39.0,C. Zeller misses 2-pt jump shot from 9 ft,,0,2
11,1,10:36.0,,Defensive rebound by L. James,0,2
12,1,10:32.0,,K. Love misses 2-pt layup from 2 ft (block by N. Batum),0,2
13,1,10:31.0,Defensive rebound by C. Zeller,,0,2
14,1,10:29.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),,2,2
15,1,10:29.0,Shooting foul by K. Irving (drawn by M. Kidd-Gilchrist),,2,2
16,1,10:29.0,M. Kidd-Gilchrist makes free throw 1 of 1,,3,2
17,1,10:12.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),3,5
18,1,9:50.0,K. Walker misses 2-pt jump shot from 13 ft,,3,5
19,1,9:49.0,,Defensive rebound by K. Love,3,5
20,1,9:46.0,,Turnover by K. Love (bad pass; steal by N. Batum),3,5
21,1,9:36.0,K. Walker makes 3-pt jump shot from 26 ft (assist by N. Batum),,6,5
22,1,9:14.0,,L. James makes 2-pt layup from 1 ft (assist by K. Love),6,7
23,1,8:59.0,M. Williams misses 3-pt jump shot from 25 ft,,6,7
24,1,8:59.0,,Defensive rebound by K. Love,6,7
25,1,8:44.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,6,7
26,1,8:43.0,,Offensive rebound by K. Love,6,7
27,1,8:42.0,,Shooting foul by C. Zeller (drawn by K. Love),6,7
28,1,8:42.0,,K. Love makes free throw 1 of 2,6,8
29,1,8:42.0,,K. Love makes free throw 2 of 2,6,9
30,1,8:31.0,K. Walker makes 2-pt jump shot from 21 ft,,8,9
31,1,8:12.0,,K. Love makes 2-pt jump shot from 4 ft (assist by K. Irving),8,11
32,1,7:51.0,K. Walker misses 2-pt hook shot from 5 ft,,8,11
33,1,7:48.0,,Defensive rebound by K. Love,8,11
