,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PORTLAND_ACTION,NEW YORK_SCORE,PORTLAND_SCORE
0,1,11:42.0,,N. Vonleh misses 2-pt jump shot from 21 ft,0,0
1,1,11:41.0,,Offensive rebound by J. Nurkić,0,0
2,1,11:41.0,,Turnover by J. Nurkić (lost ball),0,0
3,1,11:29.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,0,0
4,1,11:28.0,,Defensive rebound by J. Nurkić,0,0
5,1,11:18.0,,D. Lillard makes 2-pt jump shot from 18 ft,0,2
6,1,11:05.0,Turnover by M. Kuzminskas (bad pass),,0,2
7,1,10:49.0,,C. McCollum makes 2-pt jump shot from 18 ft,0,4
8,1,10:34.0,W. Hernangómez makes 2-pt layup from 1 ft (assist by R. Baker),,2,4
9,1,10:20.0,,Turnover by M. Harkless (traveling),2,4
10,1,10:05.0,K. Porziņģis misses 2-pt jump shot from 17 ft,,2,4
11,1,10:04.0,,Defensive rebound by Team,2,4
12,1,9:55.0,,D. Lillard misses 2-pt jump shot from 11 ft,2,4
13,1,9:55.0,Defensive rebound by R. Baker,,2,4
14,1,9:44.0,C. Lee misses 2-pt jump shot from 10 ft,,2,4
15,1,9:42.0,Offensive rebound by W. Hernangómez,,2,4
16,1,9:40.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,2,4
17,1,9:39.0,,Defensive rebound by C. McCollum,2,4
18,1,9:33.0,,C. McCollum makes 2-pt jump shot from 3 ft,2,6
19,1,9:19.0,M. Kuzminskas misses 3-pt jump shot from 24 ft,,2,6
20,1,9:18.0,,Defensive rebound by N. Vonleh,2,6
21,1,9:06.0,,J. Nurkić makes 2-pt dunk at rim (assist by M. Harkless),2,8
22,1,8:51.0,C. Lee makes 2-pt jump shot from 19 ft (assist by M. Kuzminskas),,4,8
23,1,8:36.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),4,10
24,1,8:35.0,New York full timeout,,4,10
25,1,8:16.0,M. Kuzminskas misses 2-pt layup from 2 ft,,4,10
26,1,8:15.0,Offensive rebound by W. Hernangómez,,4,10
27,1,8:15.0,W. Hernangómez misses 2-pt layup at rim,,4,10
28,1,8:15.0,Offensive rebound by W. Hernangómez,,4,10
29,1,8:15.0,W. Hernangómez misses 2-pt layup at rim,,4,10
30,1,8:14.0,,Defensive rebound by N. Vonleh,4,10
31,1,8:06.0,,Shooting foul by R. Baker (drawn by D. Lillard),4,10
32,1,8:06.0,,D. Lillard makes free throw 1 of 2,4,11
33,1,8:06.0,,D. Lillard makes free throw 2 of 2,4,12
34,1,7:51.0,Turnover by C. Lee (bad pass; steal by D. Lillard),,4,12
35,1,7:44.0,,M. Harkless misses 2-pt layup from 1 ft,4,12
36,1,7:44.0,Defensive rebound by M. Kuzminskas,,4,12
37,1,7:32.0,C. Lee misses 2-pt jump shot from 12 ft,,4,12
38,1,7:31.0,,Defensive rebound by J. Nurkić,4,12
39,1,7:21.0,,C. McCollum misses 2-pt layup from 2 ft,4,12
40,1,7:20.0,Defensive rebound by K. Porziņģis,,4,12
