,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,HOUSTON_ACTION,MILWAUKEE_SCORE,HOUSTON_SCORE
0,1,11:34.0,M. Brogdon misses 2-pt jump shot from 19 ft,,0,0
1,1,11:33.0,Offensive rebound by M. Brogdon,,0,0
2,1,11:31.0,M. Brogdon makes 2-pt layup from 1 ft,,2,0
3,1,11:10.0,,M. Harrell misses 2-pt jump shot from 8 ft (block by J. Henson),2,0
4,1,11:09.0,,Offensive rebound by M. Harrell,2,0
5,1,11:07.0,,C. Brewer misses 2-pt jump shot from 4 ft (block by G. Antetokounmpo),2,0
6,1,11:05.0,Defensive rebound by T. Snell,,2,0
7,1,10:53.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by T. Snell),,4,0
8,1,10:38.0,,C. Brewer misses 3-pt jump shot from 24 ft,4,0
9,1,10:37.0,Defensive rebound by J. Henson,,4,0
10,1,10:22.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft (block by C. Brewer),,4,0
11,1,10:20.0,,Defensive rebound by C. Brewer,4,0
12,1,10:16.0,,J. Harden misses 2-pt layup from 1 ft,4,0
13,1,10:15.0,Defensive rebound by J. Henson,,4,0
14,1,10:10.0,Personal foul by C. Brewer (drawn by G. Antetokounmpo),,4,0
15,1,10:06.0,T. Snell makes 2-pt layup from 2 ft (assist by J. Parker),,6,0
16,1,9:52.0,,M. Harrell makes 2-pt dunk at rim (assist by P. Beverley),6,2
17,1,9:29.0,T. Snell misses 2-pt layup from 3 ft (block by M. Harrell),,6,2
18,1,9:28.0,,Defensive rebound by J. Harden,6,2
19,1,9:09.0,,M. Harrell makes 2-pt layup at rim (assist by T. Ariza),6,4
20,1,8:54.0,J. Parker misses 3-pt jump shot from 24 ft,,6,4
21,1,8:51.0,Offensive rebound by M. Brogdon,,6,4
22,1,8:51.0,Personal foul by C. Brewer (drawn by M. Brogdon),,6,4
23,1,8:46.0,J. Parker misses 2-pt jump shot from 3 ft (block by J. Harden),,6,4
24,1,8:44.0,Offensive rebound by J. Parker,,6,4
25,1,8:44.0,J. Parker misses 2-pt layup from 2 ft (block by M. Harrell),,6,4
26,1,8:42.0,Offensive rebound by Team,,6,4
27,1,8:42.0,Turnover by T. Snell (bad pass; steal by C. Brewer),,6,4
28,1,8:35.0,,Turnover by P. Beverley (lost ball; steal by J. Henson),6,4
29,1,8:28.0,T. Snell misses 2-pt jump shot from 17 ft,,6,4
30,1,8:26.0,,Defensive rebound by T. Ariza,6,4
31,1,8:20.0,,J. Harden misses 3-pt jump shot from 26 ft,6,4
32,1,8:18.0,Defensive rebound by J. Henson,,6,4
33,1,8:02.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,8,4
34,1,7:46.0,,T. Ariza misses 3-pt jump shot from 25 ft,8,4
35,1,7:45.0,Defensive rebound by G. Antetokounmpo,,8,4
36,1,7:21.0,J. Henson makes 2-pt hook shot from 6 ft (assist by M. Brogdon),,10,4
37,1,6:59.0,,C. Brewer misses 2-pt layup from 1 ft,10,4
38,1,6:57.0,Defensive rebound by M. Brogdon,,10,4
39,1,6:51.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft (assist by M. Brogdon),,12,4
40,1,6:49.0,,Houston full timeout,12,4
41,1,6:49.0,,E. Gordon enters the game for C. Brewer,12,4
42,1,6:36.0,,J. Harden makes 2-pt dunk at rim (assist by M. Harrell),12,6
43,1,6:15.0,M. Brogdon misses 2-pt hook shot from 7 ft,,12,6
44,1,6:13.0,,Defensive rebound by J. Harden,12,6
45,1,6:02.0,,E. Gordon misses 3-pt jump shot from 24 ft,12,6
46,1,6:01.0,Defensive rebound by G. Antetokounmpo,,12,6
47,1,5:54.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,12,6
48,1,5:54.0,Offensive rebound by Team,,12,6
49,1,5:54.0,,Loose ball foul by J. Harden (drawn by J. Henson),12,6
50,1,5:45.0,J. Henson makes 2-pt layup from 2 ft (assist by J. Parker),,14,6
51,1,5:34.0,,T. Ariza misses 3-pt jump shot from 26 ft,14,6
52,1,5:32.0,,Offensive rebound by M. Harrell,14,6
53,1,5:25.0,,Shooting foul by J. Henson (drawn by J. Harden),14,6
54,1,5:25.0,,J. Harden makes free throw 1 of 2,14,7
55,1,5:25.0,M. Beasley enters the game for G. Antetokounmpo,,14,7
56,1,5:25.0,G. Monroe enters the game for J. Henson,,14,7
57,1,5:25.0,,N. Hilário enters the game for M. Harrell,14,7
58,1,5:25.0,,S. Dekker enters the game for P. Beverley,14,7
59,1,5:25.0,,J. Harden makes free throw 2 of 2,14,8
60,1,5:13.0,Turnover by J. Parker (bad pass),,14,8
61,1,5:05.0,,J. Harden makes 2-pt layup from 1 ft,14,10
62,1,4:44.0,Turnover by G. Monroe (lost ball; steal by N. Hilário),,14,10
63,1,4:42.0,,Shooting foul by T. Snell (drawn by S. Dekker),14,10
64,1,4:42.0,,S. Dekker makes free throw 1 of 2,14,11
65,1,4:42.0,,S. Dekker misses free throw 2 of 2,14,11
66,1,4:42.0,M. Dellavedova enters the game for M. Brogdon,,14,11
67,1,4:41.0,,Offensive rebound by Team,14,11
68,1,4:34.0,,Shooting foul by M. Beasley (drawn by N. Hilário),14,11
69,1,4:34.0,,N. Hilário makes free throw 1 of 2,14,12
70,1,4:34.0,,N. Hilário misses free throw 2 of 2,14,12
71,1,4:31.0,,Offensive rebound by S. Dekker,14,12
72,1,4:26.0,,E. Gordon misses 3-pt jump shot from 25 ft,14,12
73,1,4:24.0,Defensive rebound by M. Beasley,,14,12
74,1,4:06.0,M. Dellavedova makes 3-pt jump shot from 24 ft (assist by G. Monroe),,17,12
75,1,3:48.0,,N. Hilário makes 2-pt jump shot from 19 ft (assist by S. Dekker),17,14
76,1,3:32.0,J. Parker misses 2-pt jump shot from 12 ft,,17,14
77,1,3:31.0,,Defensive rebound by S. Dekker,17,14
78,1,3:23.0,,J. Harden misses 2-pt layup from 3 ft (block by M. Beasley),17,14
79,1,3:23.0,,Offensive rebound by Team,17,14
80,1,3:20.0,,S. Dekker makes 2-pt layup from 2 ft (assist by T. Ariza),17,16
81,1,3:04.0,M. Beasley misses 2-pt jump shot from 18 ft,,17,16
82,1,3:02.0,Offensive rebound by G. Monroe,,17,16
83,1,2:59.0,M. Beasley makes 2-pt layup from 2 ft (assist by G. Monroe),,19,16
84,1,2:47.0,,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),19,18
85,1,2:35.0,J. Parker makes 2-pt dunk at rim (assist by M. Dellavedova),,21,18
86,1,2:15.0,,E. Gordon makes 2-pt dunk at rim (assist by N. Hilário),21,20
87,1,2:15.0,Milwaukee full timeout,,21,20
88,1,2:15.0,G. Antetokounmpo enters the game for J. Parker,,21,20
89,1,2:02.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),,23,20
90,1,1:55.0,,Turnover by E. Gordon (lost ball),23,20
91,1,1:43.0,Turnover by G. Monroe (lost ball; steal by N. Hilário),,23,20
92,1,1:43.0,,Personal foul by G. Monroe (drawn by J. Harden),23,20
93,1,1:25.0,,E. Gordon misses 3-pt jump shot from 26 ft,23,20
94,1,1:23.0,,Offensive rebound by T. Ariza,23,20
95,1,1:14.0,,Turnover by S. Dekker (bad pass; steal by T. Snell),23,20
96,1,1:06.0,T. Snell misses 3-pt jump shot from 25 ft,,23,20
97,1,1:04.0,Offensive rebound by G. Antetokounmpo,,23,20
98,1,1:02.0,G. Antetokounmpo makes 2-pt dunk at rim,,25,20
99,1,0:55.0,,J. Harden makes 2-pt layup from 3 ft,25,22
100,1,0:35.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,25,22
101,1,0:33.0,,Defensive rebound by T. Ariza,25,22
102,1,0:27.0,,J. Harden misses 3-pt jump shot from 30 ft,25,22
103,1,0:26.0,Defensive rebound by G. Antetokounmpo,,25,22
104,1,0:20.0,G. Antetokounmpo makes 2-pt layup from 3 ft,,27,22
105,1,0:02.0,,N. Hilário misses 2-pt jump shot from 9 ft,27,22
106,1,0:00.0,Defensive rebound by G. Antetokounmpo,,27,22
107,2,11:36.0,,C. Brewer misses 3-pt jump shot from 26 ft,27,22
108,2,11:35.0,Defensive rebound by Team,,27,22
109,2,11:25.0,Turnover by G. Monroe (bad pass; steal by C. Brewer),,27,22
110,2,11:18.0,,P. Beverley misses 2-pt jump shot from 7 ft (block by G. Monroe),27,22
111,2,11:16.0,Defensive rebound by M. Beasley,,27,22
112,2,11:06.0,G. Monroe makes 2-pt layup from 3 ft,,29,22
113,2,10:42.0,,S. Dekker misses 3-pt jump shot from 26 ft,29,22
114,2,10:40.0,,Offensive rebound by C. Brewer,29,22
115,2,10:36.0,,E. Gordon misses 3-pt jump shot from 27 ft,29,22
116,2,10:35.0,,Offensive rebound by C. Capela,29,22
117,2,10:28.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by C. Brewer),29,25
118,2,10:08.0,Shooting foul by C. Brewer (drawn by G. Antetokounmpo),,29,25
119,2,10:08.0,G. Antetokounmpo misses free throw 1 of 2,,29,25
120,2,10:08.0,Offensive rebound by Team,,29,25
121,2,10:08.0,,T. Ariza enters the game for C. Brewer,29,25
122,2,10:08.0,G. Antetokounmpo makes free throw 2 of 2,,30,25
123,2,9:54.0,,C. Capela makes 2-pt layup from 3 ft (assist by P. Beverley),30,27
124,2,9:31.0,G. Monroe misses 2-pt layup from 2 ft,,30,27
125,2,9:30.0,,Defensive rebound by P. Beverley,30,27
126,2,9:22.0,,Turnover by P. Beverley (bad pass; steal by M. Dellavedova),30,27
127,2,9:16.0,Turnover by G. Antetokounmpo (lost ball; steal by P. Beverley),,30,27
128,2,9:01.0,,S. Dekker misses 2-pt layup from 3 ft,30,27
129,2,9:00.0,Defensive rebound by G. Antetokounmpo,,30,27
130,2,8:50.0,M. Beasley misses 3-pt jump shot from 24 ft,,30,27
131,2,8:48.0,,Defensive rebound by P. Beverley,30,27
132,2,8:41.0,,S. Dekker misses 2-pt dunk at rim,30,27
133,2,8:39.0,Defensive rebound by M. Beasley,,30,27
134,2,8:34.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,30,27
135,2,8:34.0,Offensive rebound by Team,,30,27
136,2,8:34.0,Official timeout,,30,27
137,2,8:34.0,M. Brogdon enters the game for G. Monroe,,30,27
138,2,8:34.0,J. Henson enters the game for M. Dellavedova,,30,27
139,2,8:24.0,M. Beasley misses 2-pt jump shot from 8 ft,,30,27
140,2,8:23.0,Offensive rebound by M. Beasley,,30,27
141,2,8:22.0,M. Beasley misses 2-pt jump shot from 9 ft (block by C. Capela),,30,27
142,2,8:22.0,Offensive rebound by Team,,30,27
143,2,8:08.0,Turnover by M. Beasley (lost ball; steal by P. Beverley),,30,27
144,2,8:02.0,,P. Beverley makes 2-pt layup from 3 ft,30,29
145,2,7:38.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,32,29
146,2,7:25.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Ariza),32,32
147,2,7:06.0,Turnover by M. Brogdon (bad pass; steal by T. Ariza),,32,32
148,2,6:53.0,,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),32,34
149,2,6:34.0,J. Terry misses 3-pt jump shot from 25 ft,,32,34
150,2,6:33.0,,Defensive rebound by P. Beverley,32,34
151,2,6:23.0,,S. Dekker misses 2-pt dunk at rim (block by G. Antetokounmpo),32,34
152,2,6:21.0,Defensive rebound by G. Antetokounmpo,,32,34
153,2,6:12.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,32,34
154,2,6:11.0,,Defensive rebound by S. Dekker,32,34
155,2,6:05.0,,E. Gordon misses 3-pt jump shot from 27 ft,32,34
156,2,6:03.0,Defensive rebound by G. Antetokounmpo,,32,34
157,2,5:59.0,M. Beasley misses 2-pt jump shot from 3 ft,,32,34
158,2,5:58.0,Offensive rebound by M. Beasley,,32,34
159,2,5:58.0,M. Beasley misses 2-pt layup from 1 ft,,32,34
160,2,5:57.0,,Defensive rebound by C. Capela,32,34
161,2,5:56.0,,Houston full timeout,32,34
162,2,5:56.0,T. Snell enters the game for G. Antetokounmpo,,32,34
163,2,5:56.0,J. Parker enters the game for M. Beasley,,32,34
164,2,5:56.0,,M. Harrell enters the game for S. Dekker,32,34
165,2,5:56.0,,J. Harden enters the game for C. Capela,32,34
166,2,5:39.0,,P. Beverley misses 2-pt jump shot from 4 ft,32,34
167,2,5:38.0,,Offensive rebound by P. Beverley,32,34
168,2,5:35.0,,P. Beverley makes 2-pt jump shot from 18 ft,32,36
169,2,5:19.0,J. Parker misses 2-pt jump shot from 17 ft,,32,36
170,2,5:18.0,Offensive rebound by Team,,32,36
171,2,5:18.0,,Loose ball foul by M. Harrell (drawn by J. Henson),32,36
172,2,4:59.0,J. Henson misses 2-pt jump shot from 17 ft,,32,36
173,2,4:57.0,,Defensive rebound by P. Beverley,32,36
174,2,4:52.0,,T. Ariza misses 3-pt jump shot from 25 ft,32,36
175,2,4:50.0,,Offensive rebound by P. Beverley,32,36
176,2,4:42.0,,E. Gordon misses 3-pt jump shot from 26 ft,32,36
177,2,4:41.0,Defensive rebound by J. Parker,,32,36
178,2,4:26.0,Personal foul by E. Gordon (drawn by J. Henson),,32,36
179,2,4:19.0,M. Brogdon misses 2-pt layup from 3 ft (block by P. Beverley),,32,36
180,2,4:17.0,Offensive rebound by M. Brogdon,,32,36
181,2,4:17.0,,Offensive charge foul by J. Henson (drawn by M. Harrell),32,36
182,2,4:17.0,Turnover by J. Henson (offensive foul),,32,36
183,2,4:03.0,,J. Harden makes 2-pt jump shot from 15 ft,32,38
184,2,3:52.0,M. Brogdon misses 2-pt jump shot from 11 ft,,32,38
185,2,3:50.0,Offensive rebound by M. Brogdon,,32,38
186,2,3:48.0,M. Brogdon misses 2-pt layup from 5 ft,,32,38
187,2,3:47.0,,Defensive rebound by M. Harrell,32,38
188,2,3:43.0,,E. Gordon makes 3-pt jump shot from 24 ft (assist by T. Ariza),32,41
189,2,3:43.0,Milwaukee full timeout,,32,41
190,2,3:43.0,M. Dellavedova enters the game for J. Henson,,32,41
191,2,3:43.0,G. Monroe enters the game for T. Snell,,32,41
192,2,3:43.0,G. Antetokounmpo enters the game for J. Terry,,32,41
193,2,3:32.0,Turnover by G. Antetokounmpo (bad pass),,32,41
194,2,3:19.0,,M. Harrell makes 2-pt jump shot from 8 ft (assist by J. Harden),32,43
195,2,3:03.0,M. Brogdon misses 3-pt jump shot from 26 ft,,32,43
196,2,3:01.0,Offensive rebound by G. Monroe,,32,43
197,2,2:44.0,G. Monroe misses 2-pt jump shot from 4 ft (block by M. Harrell),,32,43
198,2,2:42.0,,Defensive rebound by M. Harrell,32,43
199,2,2:38.0,,J. Harden makes 2-pt layup from 2 ft,32,45
200,2,2:21.0,Turnover by M. Dellavedova (lost ball; steal by P. Beverley),,32,45
201,2,2:12.0,,Turnover by M. Harrell (lost ball; steal by M. Brogdon),32,45
202,2,2:09.0,Turnover by J. Parker (back court),,32,45
203,2,2:09.0,,S. Dekker enters the game for E. Gordon,32,45
204,2,2:01.0,,J. Harden makes 2-pt layup from 3 ft,32,47
205,2,1:44.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,32,47
206,2,1:43.0,,Defensive rebound by J. Harden,32,47
207,2,1:35.0,,Turnover by M. Harrell (3 sec),32,47
208,2,1:27.0,Shooting block foul by M. Harrell (drawn by J. Parker),,32,47
209,2,1:27.0,J. Parker makes free throw 1 of 2,,33,47
210,2,1:27.0,J. Parker makes free throw 2 of 2,,34,47
211,2,1:09.0,,P. Beverley misses 3-pt jump shot from 24 ft,34,47
212,2,1:09.0,,Offensive rebound by Team,34,47
213,2,1:09.0,Loose ball foul by M. Dellavedova (drawn by S. Dekker),,34,47
214,2,1:04.0,,J. Harden misses 3-pt jump shot from 26 ft,34,47
215,2,1:03.0,Defensive rebound by G. Antetokounmpo,,34,47
216,2,0:55.0,J. Parker misses 2-pt layup from 3 ft (block by P. Beverley),,34,47
217,2,0:55.0,Offensive rebound by J. Parker,,34,47
218,2,0:55.0,J. Parker makes 2-pt layup from 3 ft,,36,47
219,2,0:35.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by M. Harrell),36,50
220,2,0:23.0,Turnover by G. Monroe (bad pass),,36,50
221,2,0:04.0,Violation by G. Monroe (def goaltending),,36,50
222,2,0:04.0,,J. Harden makes 2-pt layup from 2 ft,36,52
223,2,0:00.0,Shooting foul by T. Ariza (drawn by G. Antetokounmpo),,36,52
224,2,0:00.0,G. Antetokounmpo makes free throw 1 of 3,,37,52
225,2,0:00.0,G. Antetokounmpo makes free throw 2 of 3,,38,52
226,2,0:00.0,,Violation by J. Harden (lane),38,52
227,2,0:00.0,G. Antetokounmpo makes free throw 3 of 3,,39,52
228,3,11:44.0,,P. Beverley misses 3-pt jump shot from 25 ft,39,52
229,3,11:43.0,Defensive rebound by J. Henson,,39,52
230,3,11:22.0,Turnover by M. Brogdon (bad pass; steal by C. Brewer),,39,52
231,3,11:11.0,,C. Brewer makes 2-pt layup from 2 ft (assist by J. Harden),39,54
232,3,10:51.0,G. Antetokounmpo makes 2-pt jump shot from 16 ft,,41,54
233,3,10:34.0,,J. Harden makes 3-pt jump shot from 29 ft,41,57
234,3,10:10.0,G. Antetokounmpo misses 3-pt jump shot from 23 ft,,41,57
235,3,10:09.0,,Defensive rebound by T. Ariza,41,57
236,3,9:59.0,,Turnover by T. Ariza (bad pass; steal by G. Antetokounmpo),41,57
237,3,9:53.0,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),,43,57
238,3,9:44.0,,T. Ariza makes 2-pt layup from 2 ft (assist by J. Harden),43,59
239,3,9:30.0,J. Parker misses 2-pt jump shot from 20 ft,,43,59
240,3,9:28.0,,Defensive rebound by C. Brewer,43,59
241,3,9:22.0,,J. Harden misses 3-pt jump shot from 28 ft,43,59
242,3,9:21.0,Defensive rebound by J. Parker,,43,59
243,3,9:12.0,Shooting foul by J. Harden (drawn by J. Parker),,43,59
244,3,9:12.0,J. Parker misses free throw 1 of 2,,43,59
245,3,9:12.0,Offensive rebound by Team,,43,59
246,3,9:12.0,J. Parker makes free throw 2 of 2,,44,59
247,3,8:53.0,,J. Harden misses 2-pt layup from 3 ft,44,59
248,3,8:51.0,Defensive rebound by G. Antetokounmpo,,44,59
249,3,8:45.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Brogdon),,46,59
250,3,8:28.0,,Turnover by J. Harden (bad pass; steal by T. Snell),46,59
251,3,8:28.0,Personal foul by P. Beverley (drawn by M. Brogdon),,46,59
252,3,8:28.0,M. Teletović enters the game for J. Parker,,46,59
