,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:36.0,,S. Ibaka misses 2-pt layup from 1 ft (block by A. Horford),0,0
1,1,11:36.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,Shooting foul by M. Smart (drawn by D. Augustin),0,0
3,1,11:35.0,,D. Augustin misses free throw 1 of 3,0,0
4,1,11:35.0,,Offensive rebound by Team,0,0
5,1,11:35.0,,D. Augustin makes free throw 2 of 3,0,1
6,1,11:35.0,,D. Augustin makes free throw 3 of 3,0,2
7,1,11:13.0,M. Smart makes 2-pt jump shot from 18 ft (assist by A. Horford),,2,2
8,1,10:49.0,,E. Fournier makes 2-pt layup from 2 ft,2,4
9,1,10:25.0,A. Johnson makes 2-pt dunk at rim (assist by A. Horford),,4,4
10,1,10:06.0,,E. Fournier makes 2-pt jump shot from 21 ft (assist by D. Augustin),4,6
11,1,9:50.0,J. Crowder misses 2-pt jump shot from 12 ft,,4,6
12,1,9:49.0,,Defensive rebound by B. Biyombo,4,6
13,1,9:38.0,,A. Gordon misses 2-pt jump shot from 16 ft,4,6
14,1,9:36.0,,Offensive rebound by B. Biyombo,4,6
15,1,9:29.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by E. Fournier),4,9
16,1,9:04.0,A. Johnson makes 2-pt hook shot from 5 ft (assist by A. Bradley),,6,9
17,1,8:42.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by A. Gordon),6,12
18,1,8:27.0,M. Smart makes 3-pt jump shot from 28 ft (assist by J. Crowder),,9,12
19,1,8:15.0,,Personal foul by J. Crowder (drawn by E. Fournier),9,12
20,1,8:06.0,,Turnover by D. Augustin (lost ball),9,12
21,1,7:55.0,,Violation by B. Biyombo (kicked ball),9,12
22,1,7:47.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by A. Horford),,11,12
23,1,7:32.0,,E. Fournier misses 2-pt jump shot from 20 ft,11,12
24,1,7:31.0,Defensive rebound by A. Bradley,,11,12
25,1,7:23.0,A. Johnson misses 2-pt hook shot from 6 ft,,11,12
26,1,7:21.0,,Defensive rebound by S. Ibaka,11,12
27,1,7:06.0,,Shooting foul by A. Horford (drawn by E. Fournier),11,12
28,1,7:06.0,,E. Fournier makes free throw 1 of 2,11,13
29,1,7:06.0,,E. Fournier makes free throw 2 of 2,11,14
30,1,6:52.0,Personal foul by A. Gordon (drawn by A. Horford),,11,14
31,1,6:46.0,A. Bradley makes 2-pt jump shot from 17 ft (assist by A. Johnson),,13,14
32,1,6:31.0,,E. Fournier misses 2-pt jump shot from 20 ft,13,14
33,1,6:30.0,Defensive rebound by A. Johnson,,13,14
34,1,6:23.0,J. Crowder misses 3-pt jump shot from 27 ft,,13,14
35,1,6:22.0,,Defensive rebound by E. Fournier,13,14
36,1,6:16.0,,A. Gordon makes 2-pt layup from 1 ft (assist by E. Fournier),13,16
37,1,5:59.0,A. Horford misses 2-pt jump shot from 19 ft,,13,16
38,1,5:58.0,,Defensive rebound by S. Ibaka,13,16
39,1,5:44.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),13,19
40,1,5:27.0,A. Bradley misses 2-pt jump shot from 5 ft,,13,19
41,1,5:25.0,,Defensive rebound by D. Augustin,13,19
42,1,5:24.0,Technical foul by A. Bradley,,13,19
43,1,5:24.0,,Orlando full timeout,13,19
44,1,5:24.0,K. Olynyk enters the game for A. Johnson,,13,19
45,1,5:24.0,,N. Vučević enters the game for B. Biyombo,13,19
46,1,5:24.0,,E. Payton enters the game for D. Augustin,13,19
47,1,5:24.0,,E. Fournier makes technical free throw,13,20
48,1,5:06.0,,S. Ibaka misses 2-pt jump shot from 18 ft,13,20
49,1,5:05.0,Defensive rebound by M. Smart,,13,20
50,1,4:52.0,J. Crowder makes 2-pt jump shot from 20 ft (assist by K. Olynyk),,15,20
51,1,4:29.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),15,23
52,1,4:12.0,K. Olynyk misses 3-pt jump shot from 25 ft,,15,23
53,1,4:10.0,,Defensive rebound by N. Vučević,15,23
54,1,4:07.0,,Turnover by E. Payton (bad pass; steal by M. Smart),15,23
55,1,3:54.0,A. Horford makes 2-pt hook shot from 2 ft,,17,23
56,1,3:54.0,Shooting foul by E. Fournier (drawn by A. Horford),,17,23
57,1,3:54.0,J. Brown enters the game for J. Crowder,,17,23
58,1,3:54.0,A. Horford makes free throw 1 of 1,,18,23
59,1,3:43.0,,N. Vučević misses 2-pt jump shot from 19 ft,18,23
60,1,3:42.0,Defensive rebound by A. Bradley,,18,23
61,1,3:35.0,Shooting foul by A. Gordon (drawn by A. Bradley),,18,23
62,1,3:35.0,A. Bradley makes free throw 1 of 3,,19,23
63,1,3:35.0,A. Bradley makes free throw 2 of 3,,20,23
64,1,3:35.0,T. Rozier enters the game for M. Smart,,20,23
65,1,3:35.0,,J. Green enters the game for A. Gordon,20,23
66,1,3:35.0,A. Bradley makes free throw 3 of 3,,21,23
67,1,3:24.0,,Turnover by N. Vučević (3 sec),21,23
68,1,3:12.0,A. Horford makes 2-pt dunk at rim (assist by A. Bradley),,23,23
69,1,2:58.0,,Personal foul by A. Horford (drawn by N. Vučević),23,23
70,1,2:58.0,Boston full timeout,,23,23
71,1,2:58.0,J. Jerebko enters the game for A. Horford,,23,23
72,1,2:53.0,,Offensive foul by S. Ibaka (drawn by T. Rozier),23,23
73,1,2:53.0,,Turnover by S. Ibaka (offensive foul),23,23
