,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MIAMI_ACTION,MEMPHIS_SCORE,MIAMI_SCORE
0,1,11:42.0,,H. Whiteside misses 2-pt hook shot from 8 ft,0,0
1,1,11:41.0,Defensive rebound by T. Allen,,0,0
2,1,11:25.0,T. Williams misses 3-pt jump shot from 25 ft,,0,0
3,1,11:24.0,,Defensive rebound by J. Richardson,0,0
4,1,11:05.0,,D. Williams makes 2-pt layup from 1 ft (assist by D. Waiters),0,2
5,1,10:52.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),,2,2
6,1,10:28.0,,D. Williams makes 2-pt jump shot from 11 ft,2,4
7,1,10:16.0,M. Conley misses 2-pt jump shot from 19 ft,,2,4
8,1,10:15.0,,Defensive rebound by D. Williams,2,4
9,1,10:05.0,,D. Waiters makes 2-pt jump shot from 18 ft,2,6
10,1,9:48.0,T. Williams makes 2-pt layup from 2 ft,,4,6
11,1,9:30.0,,H. Whiteside makes 2-pt hook shot from 8 ft,4,8
12,1,9:18.0,M. Gasol misses 3-pt jump shot from 26 ft,,4,8
13,1,9:17.0,,Defensive rebound by D. Waiters,4,8
14,1,9:09.0,,H. Whiteside makes 2-pt jump shot from 19 ft,4,10
15,1,8:51.0,T. Allen misses 2-pt layup from 2 ft,,4,10
16,1,8:50.0,,Defensive rebound by H. Whiteside,4,10
17,1,8:41.0,,J. Richardson misses 2-pt jump shot from 20 ft,4,10
18,1,8:40.0,Defensive rebound by M. Gasol,,4,10
19,1,8:34.0,T. Allen makes 2-pt layup from 1 ft,,6,10
20,1,8:19.0,,D. Williams misses 3-pt jump shot from 25 ft,6,10
21,1,8:18.0,Defensive rebound by T. Allen,,6,10
22,1,8:10.0,T. Allen makes 2-pt layup from 1 ft,,8,10
23,1,7:55.0,,Shooting foul by T. Williams (drawn by D. Williams),8,10
24,1,7:55.0,,D. Williams makes free throw 1 of 2,8,11
25,1,7:55.0,,D. Williams makes free throw 2 of 2,8,12
26,1,7:43.0,M. Gasol makes 2-pt hook shot from 6 ft,,10,12
27,1,7:35.0,,D. Waiters makes 2-pt layup from 2 ft,10,14
28,1,7:35.0,,Shooting foul by T. Allen (drawn by D. Waiters),10,14
29,1,7:35.0,,D. Waiters makes free throw 1 of 1,10,15
30,1,7:21.0,T. Williams misses 2-pt layup from 2 ft (block by D. Williams),,10,15
31,1,7:20.0,,Defensive rebound by J. Richardson,10,15
32,1,7:15.0,,R. McGruder makes 2-pt dunk at rim (assist by J. Richardson),10,17
33,1,7:07.0,Memphis full timeout,,10,17
34,1,6:56.0,M. Gasol makes 2-pt jump shot from 19 ft,,12,17
