,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:51.0,,R. Jackson misses 2-pt layup from 1 ft,0,0
1,1,11:51.0,,Offensive rebound by A. Drummond,0,0
2,1,11:50.0,,A. Drummond misses 2-pt layup at rim,0,0
3,1,11:49.0,Defensive rebound by K. Love,,0,0
4,1,11:37.0,Personal foul by J. Leuer (drawn by K. Love),,0,0
5,1,11:28.0,K. Love misses 2-pt layup at rim,,0,0
6,1,11:26.0,,Defensive rebound by J. Leuer,0,0
7,1,11:11.0,,A. Drummond misses 2-pt jump shot from 6 ft,0,0
8,1,11:11.0,Defensive rebound by T. Thompson,,0,0
9,1,10:58.0,D. Liggins misses 3-pt jump shot from 24 ft,,0,0
10,1,10:58.0,Offensive rebound by K. Love,,0,0
11,1,10:56.0,K. Love misses 2-pt layup at rim (block by A. Drummond),,0,0
12,1,10:56.0,Offensive rebound by Team,,0,0
13,1,10:46.0,K. Irving misses 2-pt jump shot from 15 ft,,0,0
14,1,10:46.0,,Defensive rebound by A. Drummond,0,0
15,1,10:36.0,,J. Leuer makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,3
16,1,10:16.0,Turnover by R. Jefferson (bad pass; steal by J. Leuer),,0,3
17,1,10:10.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by A. Drummond),0,6
18,1,9:49.0,K. Irving misses 2-pt jump shot from 20 ft,,0,6
19,1,9:49.0,,Defensive rebound by M. Morris,0,6
20,1,9:42.0,,M. Morris misses 2-pt jump shot from 19 ft,0,6
21,1,9:41.0,Defensive rebound by K. Love,,0,6
22,1,9:34.0,D. Liggins misses 3-pt jump shot from 23 ft,,0,6
23,1,9:34.0,,Defensive rebound by J. Leuer,0,6
24,1,9:26.0,,R. Jackson misses 2-pt layup from 1 ft (block by T. Thompson),0,6
25,1,9:26.0,Defensive rebound by Team,,0,6
26,1,9:05.0,R. Jefferson misses 2-pt hook shot from 6 ft,,0,6
27,1,9:05.0,Offensive rebound by T. Thompson,,0,6
28,1,9:04.0,T. Thompson misses 2-pt layup from 2 ft,,0,6
29,1,9:03.0,,Defensive rebound by A. Drummond,0,6
30,1,8:58.0,,J. Leuer makes 2-pt dunk at rim (assist by A. Drummond),0,8
31,1,8:57.0,Cleveland full timeout,,0,8
32,1,8:45.0,K. Love makes 2-pt jump shot from 19 ft (assist by K. Irving),,2,8
33,1,8:30.0,,A. Drummond misses 2-pt dunk at rim,2,8
34,1,8:27.0,Defensive rebound by R. Jefferson,,2,8
35,1,8:10.0,K. Irving makes 2-pt layup from 1 ft,,4,8
36,1,7:53.0,,A. Drummond makes 2-pt hook shot from 6 ft,4,10
37,1,7:36.0,K. Love misses 2-pt layup at rim,,4,10
38,1,7:35.0,Offensive rebound by K. Love,,4,10
