,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:41.0,,A. Roberson misses 3-pt jump shot from 25 ft,0,0
1,1,11:41.0,Defensive rebound by E. Payton,,0,0
2,1,11:24.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by J. Green),,2,0
3,1,11:00.0,,S. Adams misses 2-pt dunk at rim,2,0
4,1,11:00.0,Defensive rebound by S. Ibaka,,2,0
5,1,10:52.0,E. Payton makes 2-pt layup from 1 ft,,4,0
6,1,10:30.0,,S. Adams makes 2-pt jump shot from 11 ft (assist by R. Westbrook),4,2
7,1,10:11.0,Shooting foul by D. Sabonis (drawn by E. Fournier),,4,2
8,1,10:11.0,E. Fournier makes free throw 1 of 2,,5,2
9,1,10:11.0,E. Fournier makes free throw 2 of 2,,6,2
10,1,10:00.0,,Turnover by S. Adams (bad pass),6,2
11,1,9:49.0,E. Payton makes 2-pt layup from 2 ft,,8,2
12,1,9:33.0,,V. Oladipo misses 2-pt jump shot from 18 ft,8,2
13,1,9:31.0,Defensive rebound by S. Ibaka,,8,2
14,1,9:16.0,E. Payton misses 3-pt jump shot from 26 ft,,8,2
15,1,9:15.0,Offensive rebound by N. Vučević,,8,2
16,1,9:08.0,N. Vučević makes 2-pt jump shot from 14 ft,,10,2
17,1,8:52.0,,A. Roberson misses 3-pt jump shot from 23 ft,10,2
18,1,8:51.0,,Offensive rebound by A. Roberson,10,2
19,1,8:41.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),10,4
20,1,8:27.0,E. Fournier misses 2-pt jump shot from 18 ft,,10,4
21,1,8:26.0,,Defensive rebound by S. Adams,10,4
22,1,8:18.0,,Personal foul by E. Payton (drawn by R. Westbrook),10,4
23,1,8:04.0,,D. Sabonis misses 2-pt jump shot from 5 ft (block by J. Green),10,4
24,1,8:04.0,,Offensive rebound by Team,10,4
25,1,8:04.0,Loose ball foul by N. Vučević (drawn by S. Adams),,10,4
26,1,7:50.0,,Turnover by Team (shot clock),10,4
27,1,7:26.0,E. Fournier misses 2-pt layup from 2 ft (block by S. Adams),,10,4
28,1,7:25.0,,Defensive rebound by D. Sabonis,10,4
29,1,7:22.0,,Turnover by R. Westbrook (bad pass; steal by E. Payton),10,4
30,1,7:14.0,Personal foul by A. Roberson (drawn by S. Ibaka),,10,4
31,1,7:07.0,N. Vučević misses 2-pt layup from 1 ft,,10,4
32,1,7:07.0,Offensive rebound by S. Ibaka,,10,4
33,1,7:06.0,S. Ibaka makes 2-pt layup from 2 ft,,12,4
34,1,7:00.0,,Oklahoma City full timeout,12,4
35,1,6:52.0,,S. Adams misses 2-pt dunk at rim (block by S. Ibaka),12,4
36,1,6:51.0,,Offensive rebound by S. Adams,12,4
37,1,6:50.0,,S. Adams misses 2-pt dunk at rim (block by S. Ibaka),12,4
38,1,6:47.0,Defensive rebound by N. Vučević,,12,4
39,1,6:28.0,N. Vučević misses 2-pt jump shot from 4 ft,,12,4
40,1,6:27.0,Offensive rebound by S. Ibaka,,12,4
41,1,6:27.0,Turnover by Team (shot clock),,12,4
