,QUARTER,TIME_REMAINING,DALLAS_ACTION,DENVER_ACTION,DALLAS_SCORE,DENVER_SCORE
0,1,11:41.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by W. Matthews),,2,0
1,1,11:19.0,,Turnover by N. Jokić (lost ball; steal by D. Nowitzki),2,0
2,1,11:08.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,2,0
3,1,11:07.0,,Defensive rebound by W. Chandler,2,0
4,1,11:01.0,,W. Barton misses 2-pt jump shot from 3 ft,2,0
5,1,10:59.0,,Offensive rebound by W. Barton,2,0
6,1,10:55.0,,G. Harris misses 2-pt dunk at rim,2,0
7,1,10:54.0,,Offensive rebound by G. Harris,2,0
8,1,10:43.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by W. Barton),2,2
9,1,10:27.0,Turnover by S. Curry (traveling),,2,2
10,1,10:27.0,Violation by Team (jump ball),,2,2
11,1,10:10.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Chandler),2,4
12,1,9:56.0,S. Curry misses 3-pt jump shot from 24 ft,,2,4
13,1,9:55.0,,Defensive rebound by N. Jokić,2,4
14,1,9:49.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),2,6
15,1,9:31.0,Y. Ferrell makes 2-pt layup from 3 ft (assist by H. Barnes),,4,6
16,1,9:31.0,Shooting foul by N. Jokić (drawn by Y. Ferrell),,4,6
17,1,9:31.0,Y. Ferrell makes free throw 1 of 1,,5,6
18,1,9:20.0,,Turnover by N. Jokić (bad pass),5,6
19,1,8:57.0,Turnover by W. Matthews (lost ball; steal by G. Harris),,5,6
20,1,8:55.0,,Shooting foul by D. Nowitzki (drawn by G. Harris),5,6
21,1,8:55.0,,G. Harris makes free throw 1 of 2,5,7
22,1,8:55.0,,G. Harris makes free throw 2 of 2,5,8
23,1,8:47.0,Turnover by Y. Ferrell (bad pass),,5,8
24,1,8:33.0,,W. Chandler misses 2-pt jump shot from 9 ft,5,8
25,1,8:33.0,Defensive rebound by W. Matthews,,5,8
26,1,8:24.0,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by W. Matthews),,7,8
27,1,8:16.0,,W. Barton makes 2-pt jump shot from 16 ft (assist by J. Nelson),7,10
28,1,8:07.0,Shooting foul by N. Jokić (drawn by D. Nowitzki),,7,10
29,1,8:07.0,D. Nowitzki misses free throw 1 of 2,,7,10
30,1,8:07.0,Offensive rebound by Team,,7,10
31,1,8:07.0,,D. Arthur enters the game for N. Jokić,7,10
32,1,8:07.0,D. Nowitzki makes free throw 2 of 2,,8,10
33,1,7:58.0,,Turnover by W. Barton (lost ball; steal by Y. Ferrell),8,10
34,1,7:52.0,S. Curry misses 3-pt jump shot from 25 ft,,8,10
35,1,7:50.0,,Defensive rebound by W. Chandler,8,10
36,1,7:36.0,,D. Arthur makes 2-pt jump shot from 18 ft (assist by W. Chandler),8,12
37,1,7:14.0,W. Matthews misses 2-pt jump shot from 19 ft,,8,12
38,1,7:13.0,,Defensive rebound by W. Chandler,8,12
39,1,7:00.0,,W. Barton makes 2-pt dunk at rim,8,14
40,1,7:00.0,Dallas full timeout,,8,14
41,1,7:00.0,D. Harris enters the game for D. Nowitzki,,8,14
42,1,7:00.0,S. Mejri enters the game for Y. Ferrell,,8,14
43,1,6:45.0,S. Curry makes 2-pt jump shot from 11 ft (assist by D. Harris),,10,14
44,1,6:32.0,,W. Barton misses 3-pt jump shot from 25 ft,10,14
45,1,6:31.0,Defensive rebound by S. Mejri,,10,14
46,1,6:19.0,Personal foul by W. Barton (drawn by S. Curry),,10,14
47,1,6:06.0,H. Barnes makes 2-pt jump shot from 6 ft,,12,14
48,1,5:43.0,,W. Barton makes 2-pt layup from 1 ft,12,16
49,1,5:27.0,S. Curry makes 2-pt jump shot from 18 ft,,14,16
50,1,5:17.0,,J. Nelson misses 3-pt jump shot from 25 ft,14,16
51,1,5:16.0,Defensive rebound by W. Matthews,,14,16
52,1,5:08.0,S. Curry misses 3-pt jump shot from 25 ft,,14,16
53,1,5:07.0,,Defensive rebound by W. Barton,14,16
54,1,4:58.0,,D. Arthur makes 3-pt jump shot from 26 ft (assist by W. Barton),14,19
55,1,4:40.0,H. Barnes misses 2-pt jump shot from 16 ft,,14,19
56,1,4:39.0,,Defensive rebound by W. Barton,14,19
57,1,4:33.0,,W. Barton misses 2-pt layup from 2 ft,14,19
58,1,4:31.0,Defensive rebound by H. Barnes,,14,19
59,1,4:23.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Harris),,17,19
60,1,4:23.0,,Denver full timeout,17,19
61,1,4:23.0,D. Powell enters the game for S. Mejri,,17,19
62,1,4:23.0,,J. Murray enters the game for G. Harris,17,19
63,1,3:56.0,,Turnover by J. Nelson (lost ball; steal by H. Barnes),17,19
64,1,3:40.0,D. Powell misses 2-pt layup from 3 ft,,17,19
65,1,3:39.0,,Defensive rebound by D. Arthur,17,19
66,1,3:25.0,,D. Arthur misses 2-pt jump shot from 21 ft,17,19
67,1,3:24.0,Defensive rebound by D. Harris,,17,19
68,1,3:18.0,S. Curry misses 2-pt jump shot from 12 ft (block by J. Murray),,17,19
69,1,3:17.0,,Defensive rebound by D. Arthur,17,19
70,1,3:11.0,,J. Murray makes 2-pt layup from 1 ft (assist by D. Arthur),17,21
71,1,2:58.0,Personal foul by W. Chandler (drawn by H. Barnes),,17,21
72,1,2:58.0,,J. Hernangómez enters the game for J. Nelson,17,21
73,1,2:44.0,H. Barnes makes 2-pt layup from 3 ft (assist by D. Harris),,19,21
74,1,2:27.0,,Personal foul by S. Curry (drawn by W. Barton),19,21
75,1,2:27.0,D. Nowitzki enters the game for H. Barnes,,19,21
76,1,2:27.0,Y. Ferrell enters the game for S. Curry,,19,21
77,1,2:27.0,D. Finney-Smith enters the game for W. Matthews,,19,21
78,1,2:15.0,,W. Barton misses 2-pt layup from 3 ft,19,21
79,1,2:15.0,Defensive rebound by D. Nowitzki,,19,21
80,1,2:09.0,D. Harris misses 2-pt layup from 3 ft (block by J. Murray),,19,21
81,1,2:07.0,,Defensive rebound by W. Chandler,19,21
82,1,1:54.0,,J. Murray makes 3-pt jump shot from 26 ft,19,24
83,1,1:39.0,D. Nowitzki misses 2-pt jump shot from 17 ft,,19,24
84,1,1:38.0,,Defensive rebound by W. Barton,19,24
85,1,1:26.0,,J. Murray misses 2-pt jump shot from 13 ft,19,24
86,1,1:25.0,Defensive rebound by Y. Ferrell,,19,24
87,1,1:24.0,Personal foul by D. Arthur (drawn by Y. Ferrell),,19,24
88,1,1:24.0,Y. Ferrell makes free throw 1 of 2,,20,24
89,1,1:24.0,W. Matthews enters the game for D. Harris,,20,24
90,1,1:24.0,,J. Nurkić enters the game for D. Arthur,20,24
91,1,1:24.0,Y. Ferrell makes free throw 2 of 2,,21,24
92,1,1:07.0,,W. Chandler misses 3-pt jump shot from 24 ft,21,24
93,1,1:06.0,Defensive rebound by W. Matthews,,21,24
94,1,0:47.0,W. Matthews makes 2-pt jump shot from 14 ft,,23,24
95,1,0:38.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),23,27
96,1,0:19.0,Shooting foul by J. Nurkić (drawn by D. Powell),,23,27
97,1,0:19.0,D. Powell misses free throw 1 of 2,,23,27
98,1,0:19.0,Offensive rebound by Team,,23,27
99,1,0:19.0,J. Anderson enters the game for D. Nowitzki,,23,27
100,1,0:19.0,D. Powell makes free throw 2 of 2,,24,27
101,1,0:08.0,,Personal take foul by J. Anderson (drawn by W. Chandler),24,27
102,1,0:00.0,,W. Barton makes 2-pt jump shot from 10 ft,24,29
103,2,11:39.0,,G. Harris misses 2-pt layup from 2 ft,24,29
104,2,11:38.0,,Offensive rebound by J. Nurkić,24,29
105,2,11:38.0,,Shooting foul by D. Nowitzki (drawn by J. Nurkić),24,29
106,2,11:38.0,,J. Nurkić makes free throw 1 of 2,24,30
107,2,11:38.0,,J. Nurkić misses free throw 2 of 2,24,30
108,2,11:38.0,S. Mejri enters the game for D. Powell,,24,30
109,2,11:37.0,,Offensive rebound by Team,24,30
110,2,11:21.0,,J. Murray misses 2-pt jump shot from 18 ft,24,30
111,2,11:18.0,,Offensive rebound by J. Hernangómez,24,30
112,2,11:18.0,,J. Hernangómez makes 2-pt layup from 3 ft,24,32
113,2,10:54.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,24,32
114,2,10:53.0,,Defensive rebound by D. Arthur,24,32
115,2,10:50.0,Offensive charge foul by G. Harris (drawn by D. Harris),,24,32
116,2,10:50.0,,Turnover by G. Harris (offensive foul),24,32
117,2,10:35.0,S. Mejri makes 2-pt layup from 2 ft (assist by D. Harris),,26,32
118,2,10:29.0,,J. Hernangómez makes 2-pt layup from 3 ft (assist by J. Murray),26,34
119,2,10:14.0,Turnover by Y. Ferrell (bad pass; steal by D. Arthur),,26,34
120,2,10:09.0,,D. Arthur makes 2-pt layup from 2 ft,26,36
121,2,10:09.0,Dallas full timeout,,26,36
122,2,9:56.0,Turnover by D. Finney-Smith (lost ball),,26,36
123,2,9:37.0,,J. Nurkić misses 2-pt layup from 2 ft,26,36
124,2,9:36.0,Defensive rebound by D. Nowitzki,,26,36
125,2,9:30.0,D. Harris misses 2-pt layup from 2 ft,,26,36
126,2,9:26.0,,Defensive rebound by J. Hernangómez,26,36
127,2,9:23.0,,J. Murray misses 2-pt layup from 2 ft (block by Y. Ferrell),26,36
128,2,9:23.0,,Offensive rebound by Team,26,36
129,2,9:23.0,J. Anderson enters the game for D. Finney-Smith,,26,36
130,2,9:14.0,,G. Harris misses 2-pt jump shot from 20 ft,26,36
131,2,9:14.0,Defensive rebound by D. Nowitzki,,26,36
132,2,9:06.0,J. Anderson misses 2-pt jump shot from 22 ft,,26,36
133,2,9:05.0,,Defensive rebound by J. Nurkić,26,36
134,2,9:00.0,,Personal foul by D. Harris (drawn by J. Murray),26,36
135,2,8:55.0,Violation by S. Mejri (kicked ball),,26,36
136,2,8:50.0,,Turnover by J. Murray (bad pass),26,36
137,2,8:39.0,,Violation by G. Harris (kicked ball),26,36
138,2,8:39.0,,N. Jokić enters the game for D. Arthur,26,36
139,2,8:31.0,Turnover by S. Mejri (bad pass; steal by J. Hernangómez),,26,36
140,2,8:23.0,,J. Nurkić makes 2-pt dunk at rim (assist by N. Jokić),26,38
141,2,8:08.0,Shooting foul by J. Murray (drawn by Y. Ferrell),,26,38
142,2,8:08.0,Y. Ferrell makes free throw 1 of 2,,27,38
143,2,8:08.0,S. Curry enters the game for D. Harris,,27,38
