,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHOENIX_ACTION,TORONTO_SCORE,PHOENIX_SCORE
0,1,11:41.0,Turnover by K. Lowry (bad pass; steal by E. Bledsoe),,0,0
1,1,11:21.0,,E. Bledsoe makes 2-pt jump shot from 20 ft,0,2
2,1,10:59.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,2
3,1,10:57.0,,Defensive rebound by T. Chandler,0,2
4,1,10:51.0,,Turnover by E. Bledsoe (lost ball; steal by P. Siakam),0,2
5,1,10:49.0,Personal foul by P. Tucker (drawn by J. Valančiūnas),,0,2
6,1,10:30.0,D. DeRozan misses 2-pt jump shot from 15 ft,,0,2
7,1,10:29.0,,Defensive rebound by T. Chandler,0,2
8,1,10:27.0,,Turnover by T. Chandler (bad pass; steal by K. Lowry),0,2
9,1,10:16.0,D. DeRozan misses 3-pt jump shot from 24 ft,,0,2
10,1,10:16.0,,Defensive rebound by E. Bledsoe,0,2
11,1,10:10.0,,Turnover by E. Bledsoe (bad pass; steal by P. Siakam),0,2
12,1,10:02.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,2
13,1,10:01.0,,Defensive rebound by T. Chandler,0,2
14,1,9:41.0,,M. Chriss misses 3-pt jump shot from 24 ft,0,2
15,1,9:41.0,Defensive rebound by D. Carroll,,0,2
16,1,9:30.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,2,2
17,1,9:04.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by D. Booker),2,5
18,1,8:43.0,D. Carroll misses 3-pt jump shot from 26 ft,,2,5
19,1,8:42.0,Offensive rebound by J. Valančiūnas,,2,5
20,1,8:39.0,Shooting foul by M. Chriss (drawn by J. Valančiūnas),,2,5
21,1,8:39.0,J. Valančiūnas makes free throw 1 of 2,,3,5
22,1,8:39.0,J. Valančiūnas makes free throw 2 of 2,,4,5
23,1,8:17.0,,Personal foul by D. DeRozan (drawn by P. Tucker),4,5
24,1,8:08.0,,M. Chriss misses 2-pt jump shot from 5 ft,4,5
25,1,8:07.0,Defensive rebound by J. Valančiūnas,,4,5
26,1,7:56.0,J. Valančiūnas misses 2-pt jump shot from 6 ft,,4,5
27,1,7:56.0,,Defensive rebound by T. Chandler,4,5
28,1,7:43.0,,D. Booker misses 2-pt jump shot from 4 ft,4,5
29,1,7:43.0,Defensive rebound by J. Valančiūnas,,4,5
30,1,7:37.0,Personal block foul by D. Booker (drawn by D. Carroll),,4,5
31,1,7:34.0,Turnover by D. Carroll (bad pass; steal by D. Booker),,4,5
32,1,7:28.0,,D. Booker misses 2-pt layup from 3 ft,4,5
33,1,7:27.0,,Offensive rebound by M. Chriss,4,5
34,1,7:27.0,,Shooting foul by J. Valančiūnas (drawn by M. Chriss),4,5
35,1,7:27.0,,M. Chriss makes free throw 1 of 2,4,6
36,1,7:27.0,,M. Chriss misses free throw 2 of 2,4,6
37,1,7:27.0,Defensive rebound by D. Carroll,,4,6
38,1,7:07.0,D. DeRozan misses 2-pt jump shot from 20 ft,,4,6
39,1,7:06.0,,Defensive rebound by E. Bledsoe,4,6
40,1,6:54.0,,T. Chandler makes 2-pt layup from 3 ft (assist by D. Booker),4,8
41,1,6:54.0,,Shooting foul by P. Siakam (drawn by T. Chandler),4,8
42,1,6:54.0,,T. Chandler misses free throw 1 of 1,4,8
43,1,6:54.0,,T. Warren enters the game for M. Chriss,4,8
44,1,6:53.0,Defensive rebound by J. Valančiūnas,,4,8
45,1,6:39.0,K. Lowry misses 3-pt jump shot from 26 ft,,4,8
46,1,6:38.0,,Defensive rebound by T. Warren,4,8
47,1,6:33.0,,T. Chandler makes 2-pt dunk at rim (assist by E. Bledsoe),4,10
48,1,6:26.0,Toronto full timeout,,4,10
49,1,6:26.0,T. Ross enters the game for D. Carroll,,4,10
50,1,6:26.0,P. Patterson enters the game for P. Siakam,,4,10
51,1,6:10.0,Turnover by J. Valančiūnas (bad pass; steal by E. Bledsoe),,4,10
52,1,6:05.0,,P. Tucker misses 2-pt layup from 2 ft,4,10
