,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
0,1,11:49.0,,Shooting foul by J. Okafor (drawn by G. Hayward),0,0
1,1,11:49.0,,G. Hayward makes free throw 1 of 2,0,1
2,1,11:49.0,,G. Hayward makes free throw 2 of 2,0,2
3,1,11:26.0,J. Okafor misses 2-pt hook shot from 4 ft,,0,2
4,1,11:26.0,,Defensive rebound by R. Gobert,0,2
5,1,11:16.0,,G. Hill makes 2-pt layup from 2 ft,0,4
6,1,10:55.0,E. İlyasova makes 2-pt jump shot from 19 ft,,2,4
7,1,10:34.0,,D. Favors misses 2-pt jump shot from 17 ft,2,4
8,1,10:33.0,Defensive rebound by E. İlyasova,,2,4
9,1,10:27.0,E. İlyasova misses 3-pt jump shot from 25 ft,,2,4
10,1,10:26.0,,Defensive rebound by G. Hayward,2,4
11,1,10:15.0,,Turnover by R. Hood (bad pass),2,4
12,1,10:07.0,Personal foul by R. Hood (drawn by N. Stauskas),,2,4
13,1,9:58.0,N. Stauskas misses 2-pt layup from 2 ft (block by R. Gobert),,2,4
14,1,9:57.0,Offensive rebound by J. Okafor,,2,4
15,1,9:52.0,J. Okafor misses 2-pt jump shot from 3 ft,,2,4
16,1,9:51.0,Offensive rebound by E. İlyasova,,2,4
17,1,9:50.0,E. İlyasova misses 2-pt layup from 2 ft,,2,4
18,1,9:48.0,,Defensive rebound by G. Hill,2,4
19,1,9:35.0,,Shooting foul by J. Okafor (drawn by R. Gobert),2,4
20,1,9:35.0,,R. Gobert makes free throw 1 of 2,2,5
21,1,9:35.0,,R. Gobert misses free throw 2 of 2,2,5
22,1,9:35.0,Defensive rebound by E. İlyasova,,2,5
23,1,9:35.0,N. Noel enters the game for J. Okafor,,2,5
24,1,9:15.0,S. Rodríguez misses 2-pt jump shot from 21 ft,,2,5
25,1,9:15.0,,Defensive rebound by D. Favors,2,5
26,1,9:07.0,,Turnover by G. Hill (lost ball; steal by N. Stauskas),2,5
27,1,8:47.0,Turnover by R. Covington (lost ball; steal by G. Hill),,2,5
28,1,8:26.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by G. Hill),2,8
29,1,8:08.0,Turnover by S. Rodríguez (lost ball),,2,8
30,1,7:52.0,,Turnover by D. Favors (lost ball; steal by N. Noel),2,8
