,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:37.0,,J. Butler misses 3-pt jump shot from 25 ft,0,0
1,1,11:37.0,Defensive rebound by Team,,0,0
2,1,11:23.0,D. DeRozan misses 2-pt jump shot from 11 ft,,0,0
3,1,11:22.0,,Defensive rebound by T. Gibson,0,0
4,1,11:16.0,,D. Wade misses 2-pt jump shot from 8 ft (block by D. DeRozan),0,0
5,1,11:16.0,,Offensive rebound by Team,0,0
6,1,11:11.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by T. Gibson),0,2
7,1,10:44.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,2
8,1,10:42.0,,Defensive rebound by M. Carter-Williams,0,2
9,1,10:34.0,,M. Carter-Williams misses 2-pt jump shot from 14 ft,0,2
10,1,10:33.0,Defensive rebound by L. Nogueira,,0,2
11,1,10:27.0,Shooting foul by M. Carter-Williams (drawn by D. DeRozan),,0,2
12,1,10:27.0,D. DeRozan makes free throw 1 of 2,,1,2
13,1,10:27.0,D. DeRozan makes free throw 2 of 2,,2,2
14,1,10:14.0,,T. Gibson makes 2-pt hook shot from 8 ft (assist by M. Carter-Williams),2,4
15,1,10:03.0,J. Valančiūnas misses 2-pt jump shot from 22 ft,,2,4
16,1,10:02.0,,Defensive rebound by M. Carter-Williams,2,4
17,1,9:46.0,,T. Gibson misses 2-pt jump shot from 18 ft,2,4
18,1,9:46.0,Defensive rebound by K. Lowry,,2,4
19,1,9:32.0,Turnover by D. DeRozan (bad pass; steal by J. Butler),,2,4
20,1,9:26.0,,D. Wade makes 2-pt jump shot from 12 ft (assist by J. Butler),2,6
21,1,9:03.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. Carroll),,5,6
22,1,8:38.0,,J. Butler misses 2-pt jump shot from 19 ft,5,6
23,1,8:37.0,Defensive rebound by L. Nogueira,,5,6
24,1,8:25.0,L. Nogueira misses 2-pt layup from 1 ft,,5,6
25,1,8:25.0,Offensive rebound by L. Nogueira,,5,6
26,1,8:25.0,L. Nogueira makes 2-pt layup from 1 ft,,7,6
27,1,8:25.0,Shooting foul by R. Lopez (drawn by L. Nogueira),,7,6
28,1,8:25.0,L. Nogueira misses free throw 1 of 1,,7,6
29,1,8:15.0,,Defensive rebound by R. Lopez,7,6
30,1,8:04.0,,D. Wade misses 2-pt jump shot from 13 ft,7,6
31,1,8:03.0,,Offensive rebound by T. Gibson,7,6
32,1,7:47.0,,T. Gibson misses 2-pt layup from 2 ft,7,6
33,1,7:46.0,Defensive rebound by K. Lowry,,7,6
34,1,7:38.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by K. Lowry),,10,6
35,1,7:16.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by M. Carter-Williams),10,8
36,1,6:58.0,J. Valančiūnas misses 2-pt layup from 1 ft,,10,8
37,1,6:56.0,,Defensive rebound by D. Wade,10,8
38,1,6:47.0,,D. Wade makes 2-pt jump shot from 14 ft,10,10
39,1,6:28.0,K. Lowry misses 3-pt jump shot from 26 ft,,10,10
40,1,6:27.0,,Defensive rebound by M. Carter-Williams,10,10
41,1,6:21.0,,J. Butler misses 2-pt jump shot from 19 ft,10,10
42,1,6:20.0,Defensive rebound by J. Valančiūnas,,10,10
43,1,6:08.0,D. DeRozan makes 2-pt jump shot from 5 ft (assist by K. Lowry),,12,10
44,1,5:52.0,,M. Carter-Williams makes 3-pt jump shot from 24 ft (assist by D. Wade),12,13
45,1,5:30.0,D. Carroll misses 3-pt jump shot from 27 ft,,12,13
46,1,5:29.0,,Defensive rebound by T. Gibson,12,13
47,1,5:17.0,,D. Wade makes 2-pt layup from 2 ft,12,15
48,1,5:10.0,Toronto full timeout,,12,15
49,1,5:10.0,,D. McDermott enters the game for D. Wade,12,15
50,1,5:01.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,14,15
51,1,5:00.0,Technical foul by J. Valančiūnas,,14,15
52,1,5:00.0,,J. Butler makes technical free throw,14,16
53,1,4:44.0,,Turnover by J. Butler (lost ball; steal by K. Lowry),14,16
54,1,4:32.0,L. Nogueira makes 2-pt layup from 1 ft (assist by K. Lowry),,16,16
55,1,4:20.0,,J. Butler makes 2-pt dunk at rim (assist by M. Carter-Williams),16,18
