,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
0,1,11:47.0,K. Porziņģis makes 2-pt dunk at rim (assist by J. Noah),,2,0
1,1,11:26.0,,Turnover by E. Bledsoe (bad pass; steal by C. Lee),2,0
2,1,11:18.0,D. Rose misses 2-pt layup from 1 ft,,2,0
3,1,11:15.0,,Defensive rebound by T. Chandler,2,0
4,1,11:01.0,,Shooting foul by J. Noah (drawn by E. Bledsoe),2,0
5,1,11:01.0,,E. Bledsoe makes free throw 1 of 2,2,1
6,1,11:01.0,,E. Bledsoe makes free throw 2 of 2,2,2
7,1,10:43.0,C. Anthony makes 2-pt jump shot from 21 ft (assist by C. Lee),,4,2
8,1,10:32.0,,D. Booker misses 2-pt jump shot from 12 ft,4,2
9,1,10:30.0,Defensive rebound by C. Anthony,,4,2
10,1,10:13.0,C. Anthony misses 3-pt jump shot from 26 ft,,4,2
11,1,10:11.0,,Defensive rebound by M. Chriss,4,2
12,1,10:06.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),4,5
13,1,9:55.0,K. Porziņģis makes 2-pt layup at rim,,6,5
14,1,9:46.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by E. Bledsoe),6,8
15,1,9:33.0,Turnover by K. Porziņģis (lost ball; steal by P. Tucker),,6,8
16,1,9:28.0,,P. Tucker makes 2-pt layup from 2 ft (assist by E. Bledsoe),6,10
17,1,9:15.0,D. Rose misses 2-pt jump shot from 9 ft,,6,10
18,1,9:12.0,,Defensive rebound by E. Bledsoe,6,10
19,1,9:11.0,,Shooting foul by C. Anthony (drawn by M. Chriss),6,10
20,1,9:11.0,,M. Chriss makes free throw 1 of 2,6,11
21,1,9:11.0,,M. Chriss makes free throw 2 of 2,6,12
22,1,8:53.0,D. Rose misses 3-pt jump shot from 24 ft,,6,12
23,1,8:51.0,,Defensive rebound by T. Chandler,6,12
24,1,8:37.0,,M. Chriss misses 2-pt jump shot from 20 ft,6,12
25,1,8:37.0,Defensive rebound by Team,,6,12
26,1,8:18.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,6,12
27,1,8:18.0,Offensive rebound by Team,,6,12
28,1,8:18.0,,Loose ball foul by D. Booker (drawn by J. Noah),6,12
29,1,8:13.0,Turnover by J. Noah (bad pass; steal by T. Chandler),,6,12
30,1,8:08.0,,D. Booker misses 2-pt layup from 1 ft,6,12
31,1,8:05.0,,Offensive rebound by M. Chriss,6,12
32,1,8:05.0,,M. Chriss makes 2-pt dunk at rim,6,14
33,1,7:51.0,D. Rose misses 2-pt jump shot from 18 ft,,6,14
34,1,7:49.0,Offensive rebound by J. Noah,,6,14
35,1,7:33.0,K. Porziņģis misses 2-pt jump shot from 14 ft (block by E. Bledsoe),,6,14
36,1,7:31.0,,Defensive rebound by E. Bledsoe,6,14
37,1,7:24.0,,Turnover by P. Tucker (bad pass),6,14
38,1,7:09.0,C. Lee misses 2-pt jump shot from 13 ft,,6,14
39,1,7:05.0,,Defensive rebound by T. Chandler,6,14
40,1,6:59.0,,M. Chriss makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),6,17
41,1,6:52.0,New York full timeout,,6,17
42,1,6:41.0,J. Noah makes 2-pt layup from 2 ft (assist by C. Lee),,8,17
43,1,6:25.0,,M. Chriss misses 3-pt jump shot from 25 ft,8,17
44,1,6:23.0,Defensive rebound by J. Noah,,8,17
45,1,6:18.0,D. Rose misses 2-pt jump shot from 6 ft,,8,17
46,1,6:14.0,Offensive rebound by J. Noah,,8,17
47,1,6:14.0,J. Noah makes 2-pt layup from 1 ft,,10,17
48,1,5:57.0,,D. Booker misses 3-pt jump shot from 25 ft,10,17
49,1,5:55.0,Defensive rebound by C. Anthony,,10,17
50,1,5:47.0,C. Anthony misses 2-pt jump shot from 19 ft,,10,17
51,1,5:44.0,,Defensive rebound by E. Bledsoe,10,17
52,1,5:33.0,,E. Bledsoe misses 2-pt jump shot from 14 ft,10,17
53,1,5:30.0,,Offensive rebound by M. Chriss,10,17
54,1,5:30.0,,M. Chriss makes 2-pt dunk at rim,10,19
55,1,5:12.0,D. Rose misses 2-pt jump shot from 8 ft,,10,19
56,1,5:12.0,Offensive rebound by Team,,10,19
57,1,5:12.0,Shooting foul by M. Chriss (drawn by J. Noah),,10,19
58,1,5:12.0,J. Noah makes free throw 1 of 2,,11,19
59,1,5:12.0,,B. Knight enters the game for D. Booker,11,19
60,1,5:12.0,J. Noah makes free throw 2 of 2,,12,19
61,1,5:00.0,,E. Bledsoe misses 3-pt jump shot from 25 ft,12,19
62,1,4:59.0,Defensive rebound by Team,,12,19
63,1,4:59.0,L. Thomas enters the game for K. Porziņģis,,12,19
64,1,4:47.0,Shooting foul by P. Tucker (drawn by C. Anthony),,12,19
65,1,4:47.0,C. Anthony makes free throw 1 of 2,,13,19
66,1,4:47.0,C. Anthony misses free throw 2 of 2,,13,19
67,1,4:45.0,,Defensive rebound by M. Chriss,13,19
68,1,4:31.0,,P. Tucker misses 3-pt jump shot from 25 ft,13,19
69,1,4:30.0,,Offensive rebound by Team,13,19
70,1,4:30.0,Loose ball foul by J. Noah (drawn by T. Chandler),,13,19
71,1,4:30.0,K. O'Quinn enters the game for J. Noah,,13,19
72,1,4:22.0,,B. Knight misses 3-pt jump shot from 25 ft,13,19
73,1,4:19.0,Defensive rebound by D. Rose,,13,19
74,1,4:11.0,L. Thomas misses 3-pt jump shot from 25 ft,,13,19
75,1,4:09.0,,Defensive rebound by T. Chandler,13,19
76,1,3:54.0,,Shooting foul by K. O'Quinn (drawn by E. Bledsoe),13,19
77,1,3:54.0,,E. Bledsoe makes free throw 1 of 2,13,20
78,1,3:54.0,,J. Dudley enters the game for M. Chriss,13,20
79,1,3:54.0,,E. Bledsoe makes free throw 2 of 2,13,21
80,1,3:33.0,C. Lee makes 2-pt jump shot from 19 ft,,15,21
81,1,3:15.0,,E. Bledsoe misses 2-pt layup from 3 ft,15,21
82,1,3:13.0,,Offensive rebound by T. Chandler,15,21
83,1,3:13.0,,T. Chandler misses 2-pt layup from 2 ft,15,21
84,1,3:10.0,Defensive rebound by K. O'Quinn,,15,21
85,1,3:08.0,Shooting foul by E. Bledsoe (drawn by D. Rose),,15,21
86,1,3:08.0,,Violation by Team (jump ball),15,21
87,1,3:08.0,D. Rose makes free throw 1 of 2,,16,21
88,1,3:08.0,D. Rose makes free throw 2 of 2,,17,21
89,1,2:54.0,,Personal foul by C. Lee (drawn by B. Knight),17,21
90,1,2:54.0,,Phoenix full timeout,17,21
91,1,2:54.0,,B. Knight misses free throw 1 of 2,17,21
92,1,2:54.0,,Offensive rebound by Team,17,21
93,1,2:54.0,,A. Williams enters the game for T. Chandler,17,21
94,1,2:54.0,,L. Barbosa enters the game for E. Bledsoe,17,21
95,1,2:54.0,J. Holiday enters the game for C. Lee,,17,21
96,1,2:54.0,,B. Knight makes free throw 2 of 2,17,22
97,1,2:32.0,K. O'Quinn misses 2-pt jump shot from 20 ft,,17,22
98,1,2:30.0,,Defensive rebound by B. Knight,17,22
99,1,2:27.0,,B. Knight makes 2-pt layup from 1 ft,17,24
100,1,2:06.0,K. O'Quinn misses 2-pt jump shot from 16 ft,,17,24
101,1,2:06.0,Offensive rebound by Team,,17,24
102,1,2:06.0,,Loose ball foul by P. Tucker (drawn by C. Anthony),17,24
103,1,2:06.0,C. Anthony makes free throw 1 of 2,,18,24
104,1,2:06.0,B. Jennings enters the game for D. Rose,,18,24
105,1,2:06.0,C. Anthony makes free throw 2 of 2,,19,24
106,1,1:53.0,,B. Knight misses 2-pt jump shot from 16 ft,19,24
107,1,1:51.0,Defensive rebound by C. Anthony,,19,24
108,1,1:46.0,Turnover by B. Jennings (bad pass; steal by P. Tucker),,19,24
109,1,1:42.0,,P. Tucker makes 2-pt dunk at rim,19,26
110,1,1:25.0,K. O'Quinn makes 2-pt jump shot from 14 ft,,21,26
111,1,1:10.0,,Shooting foul by K. O'Quinn (drawn by A. Williams),21,26
112,1,1:10.0,,A. Williams makes free throw 1 of 2,21,27
113,1,1:10.0,,A. Williams misses free throw 2 of 2,21,27
114,1,1:08.0,Defensive rebound by K. O'Quinn,,21,27
115,1,0:53.0,B. Jennings misses 2-pt layup from 2 ft,,21,27
116,1,0:51.0,Offensive rebound by K. O'Quinn,,21,27
117,1,0:51.0,K. O'Quinn misses 2-pt layup from 1 ft,,21,27
118,1,0:48.0,Offensive rebound by K. O'Quinn,,21,27
119,1,0:48.0,K. O'Quinn makes 2-pt layup from 2 ft,,23,27
120,1,0:28.0,,P. Tucker makes 2-pt jump shot from 8 ft,23,29
121,1,0:08.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by B. Jennings),,25,29
122,1,0:00.0,,L. Barbosa makes 2-pt jump shot from 12 ft,25,31
123,2,11:45.0,,J. Dudley misses 2-pt jump shot from 14 ft,25,31
124,2,11:43.0,Defensive rebound by K. O'Quinn,,25,31
125,2,11:33.0,B. Jennings misses 3-pt jump shot from 25 ft,,25,31
126,2,11:32.0,Offensive rebound by K. O'Quinn,,25,31
127,2,11:32.0,Personal foul by A. Williams (drawn by K. O'Quinn),,25,31
128,2,11:27.0,K. Porziņģis makes 2-pt layup from 2 ft,,27,31
129,2,11:27.0,Shooting foul by D. Bender (drawn by K. Porziņģis),,27,31
130,2,11:27.0,K. Porziņģis makes free throw 1 of 1,,28,31
131,2,11:17.0,,L. Barbosa makes 2-pt layup from 1 ft,28,33
132,2,11:10.0,J. Holiday misses 3-pt jump shot from 26 ft,,28,33
133,2,11:07.0,,Defensive rebound by J. Dudley,28,33
134,2,10:59.0,,Personal foul by L. Thomas (drawn by J. Dudley),28,33
135,2,10:59.0,M. Kuzminskas enters the game for L. Thomas,,28,33
136,2,10:47.0,,B. Knight misses 2-pt jump shot from 6 ft,28,33
137,2,10:44.0,Defensive rebound by K. Porziņģis,,28,33
138,2,10:40.0,K. Porziņģis misses 2-pt layup from 2 ft,,28,33
139,2,10:36.0,,Defensive rebound by L. Barbosa,28,33
140,2,10:32.0,,Personal foul by J. Holiday (drawn by L. Barbosa),28,33
141,2,10:26.0,,D. Bender makes 3-pt jump shot from 25 ft (assist by B. Knight),28,36
