,QUARTER,TIME_REMAINING,MIAMI_ACTION,DENVER_ACTION,MIAMI_SCORE,DENVER_SCORE
0,1,11:40.0,H. Whiteside makes 2-pt hook shot from 4 ft,,2,0
1,1,11:20.0,,Personal foul by L. Babbitt (drawn by D. Gallinari),2,0
2,1,11:12.0,,K. Faried makes 2-pt layup from 1 ft (assist by E. Mudiay),2,2
3,1,11:12.0,,Shooting foul by H. Whiteside (drawn by K. Faried),2,2
4,1,11:12.0,,K. Faried makes free throw 1 of 1,2,3
5,1,10:58.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by J. McRoberts),,5,3
6,1,10:40.0,,J. Nelson makes 3-pt jump shot from 26 ft,5,6
7,1,10:15.0,G. Dragić misses 2-pt jump shot from 19 ft,,5,6
8,1,10:14.0,,Defensive rebound by J. Nelson,5,6
9,1,10:04.0,,D. Gallinari misses 2-pt dunk at rim,5,6
10,1,10:04.0,Defensive rebound by L. Babbitt,,5,6
11,1,9:55.0,L. Babbitt misses 3-pt jump shot from 25 ft,,5,6
12,1,9:54.0,,Defensive rebound by E. Mudiay,5,6
13,1,9:45.0,,K. Faried misses 2-pt layup from 2 ft,5,6
14,1,9:42.0,Defensive rebound by J. McRoberts,,5,6
15,1,9:35.0,J. McRoberts misses 2-pt dunk at rim (block by K. Faried),,5,6
16,1,9:33.0,,Defensive rebound by E. Mudiay,5,6
17,1,9:23.0,,E. Mudiay makes 2-pt jump shot from 14 ft,5,8
18,1,9:05.0,R. McGruder misses 2-pt jump shot from 14 ft,,5,8
19,1,9:04.0,Offensive rebound by R. McGruder,,5,8
20,1,8:58.0,H. Whiteside makes 2-pt layup from 3 ft,,7,8
21,1,8:58.0,Shooting foul by J. Nurkić (drawn by H. Whiteside),,7,8
22,1,8:58.0,H. Whiteside misses free throw 1 of 1,,7,8
23,1,8:50.0,,Defensive rebound by J. Nurkić,7,8
24,1,8:44.0,,Personal foul by J. McRoberts (drawn by D. Gallinari),7,8
25,1,8:37.0,,D. Gallinari makes 2-pt dunk at rim (assist by J. Nurkić),7,10
