,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SAN ANTONIO_ACTION,PHILADELPHIA_SCORE,SAN ANTONIO_SCORE
0,1,11:53.0,,D. Green misses 2-pt layup from 1 ft (block by T. McConnell),0,0
1,1,11:52.0,,Offensive rebound by D. Green,0,0
2,1,11:49.0,,D. Bertāns misses 3-pt jump shot from 25 ft,0,0
3,1,11:48.0,Defensive rebound by N. Stauskas,,0,0
4,1,11:34.0,E. İlyasova misses 2-pt jump shot from 9 ft,,0,0
5,1,11:32.0,,Defensive rebound by T. Parker,0,0
6,1,11:19.0,,T. Parker misses 2-pt jump shot from 6 ft,0,0
7,1,11:19.0,,Offensive rebound by Team,0,0
8,1,11:11.0,,K. Leonard makes 2-pt jump shot from 19 ft,0,2
9,1,10:59.0,Turnover by T. McConnell (bad pass; steal by T. Parker),,0,2
10,1,10:50.0,,Shooting foul by N. Stauskas (drawn by D. Dedmon),0,2
11,1,10:50.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Bertāns),0,4
12,1,10:50.0,,D. Dedmon makes free throw 1 of 1,0,5
13,1,10:42.0,Turnover by N. Stauskas (lost ball; steal by D. Green),,0,5
14,1,10:36.0,,D. Bertāns misses 2-pt layup from 1 ft,0,5
15,1,10:35.0,Defensive rebound by J. Okafor,,0,5
16,1,10:19.0,Shooting foul by D. Green (drawn by E. İlyasova),,0,5
17,1,10:19.0,E. İlyasova makes free throw 1 of 2,,1,5
18,1,10:19.0,E. İlyasova makes free throw 2 of 2,,2,5
19,1,10:00.0,,Turnover by K. Leonard (bad pass; steal by N. Stauskas),2,5
20,1,9:42.0,J. Okafor misses 2-pt jump shot from 5 ft,,2,5
21,1,9:41.0,,Defensive rebound by D. Dedmon,2,5
22,1,9:34.0,,T. Parker misses 2-pt jump shot from 6 ft,2,5
23,1,9:33.0,Defensive rebound by T. McConnell,,2,5
24,1,9:23.0,N. Stauskas misses 2-pt jump shot from 19 ft,,2,5
25,1,9:22.0,,Defensive rebound by Team,2,5
26,1,9:11.0,,K. Leonard misses 2-pt jump shot from 13 ft,2,5
27,1,9:10.0,Defensive rebound by T. McConnell,,2,5
28,1,9:04.0,Personal foul by K. Leonard (drawn by D. Šarić),,2,5
29,1,8:49.0,J. Okafor makes 2-pt dunk at rim (assist by N. Stauskas),,4,5
30,1,8:34.0,,K. Leonard misses 2-pt layup from 2 ft,4,5
31,1,8:33.0,,Offensive rebound by K. Leonard,4,5
32,1,8:27.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by K. Leonard),4,8
