,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:43.0,E. Payton misses 2-pt jump shot from 9 ft,,0,0
1,1,11:41.0,Offensive rebound by A. Gordon,,0,0
2,1,11:41.0,A. Gordon misses 2-pt layup at rim,,0,0
3,1,11:34.0,,Defensive rebound by K. Love,0,0
4,1,11:24.0,,K. Irving makes 2-pt jump shot from 21 ft,0,2
5,1,11:08.0,A. Gordon misses 2-pt layup from 1 ft,,0,2
6,1,11:07.0,,Defensive rebound by K. Love,0,2
7,1,10:59.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),0,5
8,1,10:45.0,T. Ross misses 2-pt jump shot from 16 ft,,0,5
9,1,10:45.0,,Defensive rebound by K. Love,0,5
10,1,10:43.0,,Clear path foul by A. Gordon,0,5
11,1,10:43.0,,L. James misses clear path free throw 1 of 2,0,5
12,1,10:43.0,,Offensive rebound by Team,0,5
13,1,10:43.0,,L. James makes clear path free throw 2 of 2,0,6
14,1,10:37.0,,K. Love misses 2-pt layup from 2 ft,0,6
15,1,10:37.0,Defensive rebound by N. Vučević,,0,6
16,1,10:24.0,E. Fournier makes 2-pt jump shot from 5 ft,,2,6
17,1,10:11.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),2,9
18,1,9:56.0,T. Ross makes 2-pt jump shot from 17 ft (assist by N. Vučević),,4,9
19,1,9:39.0,,Turnover by K. Love (bad pass; steal by N. Vučević),4,9
20,1,9:32.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by E. Payton),,7,9
21,1,9:14.0,,Turnover by L. James (bad pass; steal by E. Fournier),7,9
22,1,9:06.0,A. Gordon misses 2-pt jump shot from 16 ft,,7,9
23,1,9:06.0,,Defensive rebound by J. Smith,7,9
24,1,8:58.0,,K. Love misses 2-pt layup from 1 ft,7,9
25,1,8:58.0,Defensive rebound by T. Ross,,7,9
26,1,8:51.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by T. Ross),,10,9
27,1,8:51.0,,Cleveland full timeout,10,9
28,1,8:37.0,,K. Irving misses 2-pt layup from 3 ft,10,9
29,1,8:35.0,Defensive rebound by N. Vučević,,10,9
30,1,8:30.0,T. Ross makes 2-pt jump shot from 15 ft (assist by E. Payton),,12,9
31,1,8:11.0,,T. Thompson misses 2-pt hook shot from 6 ft,12,9
32,1,8:10.0,Defensive rebound by N. Vučević,,12,9
33,1,7:55.0,N. Vučević misses 2-pt jump shot from 6 ft,,12,9
34,1,7:55.0,Offensive rebound by Team,,12,9
35,1,7:46.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),,15,9
36,1,7:28.0,,L. James misses 2-pt jump shot from 4 ft (block by N. Vučević),15,9
37,1,7:28.0,Defensive rebound by Team,,15,9
38,1,7:11.0,E. Fournier misses 3-pt jump shot from 25 ft,,15,9
39,1,7:11.0,,Defensive rebound by L. James,15,9
40,1,7:00.0,,J. Smith makes 2-pt layup from 1 ft,15,11
41,1,6:54.0,Shooting foul by J. Smith (drawn by E. Fournier),,15,11
42,1,6:54.0,E. Fournier makes free throw 1 of 2,,16,11
43,1,6:54.0,E. Fournier makes free throw 2 of 2,,17,11
44,1,6:36.0,,K. Irving makes 2-pt jump shot from 12 ft,17,13
45,1,6:27.0,E. Payton misses 2-pt layup from 3 ft (block by T. Thompson),,17,13
46,1,6:26.0,,Defensive rebound by K. Irving,17,13
47,1,6:22.0,,J. Smith makes 2-pt dunk at rim (assist by K. Irving),17,15
48,1,6:21.0,Orlando full timeout,,17,15
49,1,6:05.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,19,15
50,1,5:47.0,,K. Love makes 3-pt jump shot from 22 ft (assist by T. Thompson),19,18
51,1,5:23.0,A. Gordon makes 2-pt jump shot from 19 ft (assist by E. Payton),,21,18
52,1,5:03.0,,K. Love misses 2-pt layup from 1 ft,21,18
53,1,5:00.0,Defensive rebound by N. Vučević,,21,18
54,1,4:58.0,Turnover by E. Payton (bad pass; steal by K. Love),,21,18
55,1,4:52.0,,L. James makes 2-pt dunk at rim (assist by J. Smith),21,20
56,1,4:36.0,A. Gordon misses 3-pt jump shot from 25 ft,,21,20
57,1,4:35.0,,Defensive rebound by L. James,21,20
58,1,4:33.0,,Turnover by L. James (bad pass; steal by E. Fournier),21,20
59,1,4:16.0,T. Ross misses 2-pt jump shot from 18 ft,,21,20
60,1,4:16.0,Offensive rebound by E. Payton,,21,20
61,1,4:10.0,E. Payton makes 2-pt jump shot from 8 ft,,23,20
62,1,3:58.0,,K. Irving makes 2-pt layup from 2 ft,23,22
63,1,3:58.0,,Shooting foul by E. Fournier (drawn by K. Irving),23,22
64,1,3:58.0,M. Hezonja enters the game for T. Ross,,23,22
65,1,3:58.0,,I. Shumpert enters the game for K. Love,23,22
66,1,3:58.0,,K. Irving makes free throw 1 of 1,23,23
67,1,3:47.0,Turnover by E. Fournier (step out of bounds),,23,23
68,1,3:36.0,,T. Thompson misses 2-pt jump shot from 6 ft,23,23
69,1,3:34.0,Defensive rebound by N. Vučević,,23,23
70,1,3:26.0,E. Payton makes 2-pt dunk at rim (assist by E. Fournier),,25,23
