,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:46.0,O. Porter misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,,Defensive rebound by J. Ennis,0,0
2,1,11:33.0,,M. Gasol misses 2-pt jump shot from 23 ft,0,0
3,1,11:31.0,Defensive rebound by M. Morris,,0,0
4,1,11:21.0,B. Beal misses 2-pt layup from 2 ft,,0,0
5,1,11:19.0,,Defensive rebound by J. Ennis,0,0
6,1,11:12.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),0,3
7,1,10:46.0,J. Wall misses 3-pt jump shot from 26 ft,,0,3
8,1,10:45.0,,Defensive rebound by J. Green,0,3
9,1,10:37.0,,M. Conley misses 2-pt jump shot from 17 ft,0,3
10,1,10:37.0,,Offensive rebound by Team,0,3
11,1,10:37.0,Loose ball foul by O. Porter (drawn by J. Green),,0,3
12,1,10:37.0,,Turnover by J. Martin (bad pass),0,3
13,1,10:24.0,M. Morris misses 2-pt jump shot from 13 ft,,0,3
14,1,10:21.0,,Defensive rebound by M. Gasol,0,3
15,1,10:12.0,,Turnover by J. Ennis (lost ball; steal by M. Morris),0,3
16,1,10:06.0,B. Beal makes 2-pt layup from 3 ft (assist by J. Wall),,2,3
17,1,9:52.0,,M. Conley misses 2-pt layup from 3 ft,2,3
18,1,9:49.0,Defensive rebound by M. Gortat,,2,3
19,1,9:45.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,5,3
20,1,9:19.0,,J. Martin misses 3-pt jump shot from 25 ft,5,3
21,1,9:18.0,Defensive rebound by M. Gortat,,5,3
22,1,9:10.0,B. Beal misses 3-pt jump shot from 24 ft,,5,3
23,1,9:08.0,,Defensive rebound by J. Green,5,3
24,1,8:56.0,,Personal foul by M. Gortat (drawn by M. Gasol),5,3
25,1,8:46.0,,M. Gasol misses 3-pt jump shot from 25 ft,5,3
26,1,8:46.0,,Offensive rebound by Team,5,3
27,1,8:46.0,Loose ball foul by M. Morris (drawn by J. Green),,5,3
28,1,8:35.0,,M. Gasol misses 2-pt jump shot from 10 ft,5,3
29,1,8:35.0,,Offensive rebound by J. Ennis,5,3
30,1,8:35.0,,Shooting foul by M. Morris (drawn by J. Ennis),5,3
31,1,8:35.0,,J. Ennis makes free throw 1 of 2,5,4
32,1,8:35.0,Technical foul by M. Morris,,5,4
33,1,8:35.0,,J. Ennis misses technical free throw,5,4
34,1,8:35.0,,Offensive rebound by Team,5,4
35,1,8:35.0,,J. Ennis misses free throw 2 of 2,5,4
36,1,8:35.0,Defensive rebound by Team,,5,4
37,1,8:35.0,,Loose ball foul by J. Green (drawn by A. Nicholson),5,4
38,1,8:35.0,A. Nicholson enters the game for M. Morris,,5,4
39,1,8:21.0,B. Beal misses 3-pt jump shot from 23 ft,,5,4
40,1,8:21.0,Offensive rebound by Team,,5,4
41,1,8:21.0,,Loose ball foul by J. Martin (drawn by M. Gortat),5,4
42,1,8:12.0,A. Nicholson misses 3-pt jump shot from 24 ft,,5,4
43,1,8:11.0,,Defensive rebound by M. Gasol,5,4
44,1,8:02.0,,M. Conley makes 2-pt layup from 1 ft,5,6
45,1,7:52.0,Shooting foul by M. Conley (drawn by M. Gortat),,5,6
46,1,7:52.0,M. Gortat makes free throw 1 of 2,,6,6
47,1,7:52.0,M. Gortat makes free throw 2 of 2,,7,6
48,1,7:41.0,,M. Gasol misses 2-pt jump shot from 14 ft,7,6
49,1,7:40.0,Defensive rebound by O. Porter,,7,6
50,1,7:32.0,J. Wall misses 2-pt jump shot from 18 ft,,7,6
51,1,7:28.0,,Defensive rebound by J. Martin,7,6
52,1,7:11.0,,Turnover by J. Martin (lost ball; steal by A. Nicholson),7,6
53,1,6:52.0,M. Gortat misses 2-pt hook shot from 5 ft,,7,6
54,1,6:51.0,,Defensive rebound by M. Gasol,7,6
55,1,6:38.0,,M. Conley misses 2-pt jump shot from 20 ft,7,6
56,1,6:38.0,Defensive rebound by M. Gortat,,7,6
57,1,6:25.0,A. Nicholson misses 2-pt jump shot from 12 ft,,7,6
58,1,6:22.0,,Defensive rebound by J. Martin,7,6
59,1,6:16.0,,Shooting foul by A. Nicholson (drawn by M. Conley),7,6
60,1,6:16.0,,M. Conley makes free throw 1 of 2,7,7
61,1,6:16.0,,Z. Randolph enters the game for M. Gasol,7,7
62,1,6:16.0,,A. Harrison enters the game for J. Martin,7,7
63,1,6:16.0,,M. Conley makes free throw 2 of 2,7,8
64,1,6:07.0,O. Porter misses 2-pt layup from 4 ft,,7,8
65,1,6:03.0,,Defensive rebound by Z. Randolph,7,8
66,1,5:58.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by M. Conley),7,11
67,1,5:53.0,Washington full timeout,,7,11
68,1,5:44.0,Turnover by B. Beal (bad pass; steal by Z. Randolph),,7,11
