,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,Turnover by M. Morris (bad pass; steal by T. Maker),,0,0
1,1,11:42.0,,Personal block foul by J. Leuer (drawn by G. Antetokounmpo),0,0
2,1,11:32.0,,T. Maker makes 3-pt jump shot from 25 ft (assist by T. Snell),0,3
3,1,11:17.0,M. Morris misses 2-pt jump shot from 13 ft,,0,3
4,1,11:16.0,,Defensive rebound by K. Middleton,0,3
5,1,11:04.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),0,6
6,1,10:48.0,J. Leuer makes 2-pt jump shot from 5 ft (assist by K. Caldwell-Pope),,2,6
7,1,10:34.0,,G. Antetokounmpo makes 2-pt jump shot from 18 ft,2,8
8,1,10:11.0,Turnover by A. Drummond (traveling),,2,8
9,1,9:53.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,2,8
10,1,9:51.0,Defensive rebound by M. Morris,,2,8
11,1,9:42.0,I. Smith misses 2-pt jump shot from 15 ft,,2,8
12,1,9:41.0,,Defensive rebound by T. Snell,2,8
13,1,9:29.0,,G. Antetokounmpo misses 2-pt hook shot from 5 ft,2,8
14,1,9:28.0,Defensive rebound by I. Smith,,2,8
15,1,9:23.0,Turnover by I. Smith (bad pass; steal by K. Middleton),,2,8
16,1,9:17.0,,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),2,11
17,1,9:08.0,Detroit full timeout,,2,11
18,1,8:50.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by I. Smith),,4,11
19,1,8:40.0,,T. Maker makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),4,14
20,1,8:21.0,Turnover by K. Caldwell-Pope (bad pass),,4,14
21,1,8:05.0,,G. Antetokounmpo misses 2-pt hook shot from 6 ft,4,14
22,1,8:04.0,,Offensive rebound by G. Antetokounmpo,4,14
23,1,8:03.0,,Shooting foul by A. Drummond (drawn by T. Maker),4,14
24,1,8:03.0,,T. Maker misses free throw 1 of 2,4,14
25,1,8:03.0,,Offensive rebound by Team,4,14
26,1,8:03.0,,T. Maker makes free throw 2 of 2,4,15
27,1,7:43.0,M. Morris misses 3-pt jump shot from 28 ft,,4,15
28,1,7:42.0,,Defensive rebound by K. Middleton,4,15
29,1,7:31.0,,T. Maker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),4,17
30,1,7:07.0,I. Smith misses 2-pt jump shot from 17 ft,,4,17
31,1,7:06.0,,Defensive rebound by K. Middleton,4,17
32,1,6:49.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Dellavedova),4,19
33,1,6:30.0,J. Leuer misses 2-pt jump shot from 13 ft,,4,19
34,1,6:29.0,,Defensive rebound by M. Dellavedova,4,19
