,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:47.0,Shooting foul by S. Hill (drawn by A. Wiggins),,0,0
1,1,11:47.0,A. Wiggins makes free throw 1 of 2,,1,0
2,1,11:47.0,A. Wiggins makes free throw 2 of 2,,2,0
3,1,11:34.0,,D. Cousins makes 2-pt layup from 2 ft (assist by S. Hill),2,2
4,1,11:19.0,K. Towns makes 2-pt hook shot from 6 ft (assist by R. Rubio),,4,2
5,1,10:55.0,,S. Hill makes 2-pt layup from 3 ft (assist by D. Cousins),4,4
6,1,10:42.0,K. Towns makes 3-pt jump shot from 26 ft (assist by R. Rubio),,7,4
7,1,10:30.0,,Personal foul by G. Dieng (drawn by D. Cousins),7,4
8,1,10:18.0,,D. Cousins misses 3-pt jump shot from 25 ft,7,4
9,1,10:17.0,Defensive rebound by B. Rush,,7,4
10,1,10:06.0,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),,9,4
11,1,9:51.0,,S. Hill misses 2-pt jump shot from 15 ft,9,4
12,1,9:50.0,Defensive rebound by G. Dieng,,9,4
13,1,9:32.0,R. Rubio misses 2-pt jump shot from 19 ft,,9,4
14,1,9:30.0,Offensive rebound by G. Dieng,,9,4
15,1,9:24.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by B. Rush),,12,4
16,1,9:14.0,,Shooting foul by R. Rubio (drawn by J. Holiday),12,4
17,1,9:14.0,,J. Holiday misses free throw 1 of 2,12,4
18,1,9:14.0,,Offensive rebound by Team,12,4
19,1,9:14.0,,J. Holiday makes free throw 2 of 2,12,5
20,1,9:02.0,B. Rush misses 3-pt jump shot from 26 ft,,12,5
21,1,9:02.0,,Defensive rebound by A. Davis,12,5
22,1,8:48.0,,T. Frazier misses 2-pt layup from 2 ft,12,5
23,1,8:47.0,Defensive rebound by A. Wiggins,,12,5
24,1,8:40.0,R. Rubio makes 2-pt jump shot from 16 ft,,14,5
25,1,8:26.0,,D. Cousins makes 2-pt layup from 3 ft,14,7
26,1,8:12.0,R. Rubio misses 3-pt jump shot from 25 ft,,14,7
27,1,8:11.0,,Defensive rebound by D. Cousins,14,7
28,1,7:59.0,,Shooting foul by K. Towns (drawn by A. Davis),14,7
29,1,7:59.0,,A. Davis makes free throw 1 of 2,14,8
30,1,7:59.0,,A. Davis makes free throw 2 of 2,14,9
31,1,7:47.0,K. Towns misses 2-pt jump shot from 17 ft,,14,9
32,1,7:46.0,,Defensive rebound by D. Cousins,14,9
33,1,7:37.0,,A. Davis makes 2-pt layup from 2 ft (assist by D. Cousins),14,11
34,1,7:23.0,K. Towns makes 2-pt dunk at rim (assist by B. Rush),,16,11
35,1,7:07.0,,A. Davis makes 2-pt jump shot from 7 ft (assist by T. Frazier),16,13
36,1,6:51.0,B. Rush makes 3-pt jump shot from 25 ft (assist by K. Towns),,19,13
37,1,6:32.0,,D. Cousins makes 2-pt hook shot from 6 ft,19,15
38,1,6:19.0,G. Dieng makes 2-pt jump shot from 19 ft (assist by B. Rush),,21,15
39,1,6:12.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by T. Frazier),21,18
40,1,5:56.0,Turnover by G. Dieng (traveling),,21,18
41,1,5:56.0,,New Orleans full timeout,21,18
42,1,5:44.0,,Turnover by A. Davis (lost ball; steal by B. Rush),21,18
43,1,5:21.0,B. Rush misses 3-pt jump shot from 26 ft,,21,18
44,1,5:20.0,,Defensive rebound by A. Davis,21,18
45,1,5:06.0,,A. Davis misses 2-pt jump shot from 23 ft,21,18
46,1,5:05.0,Defensive rebound by R. Rubio,,21,18
47,1,4:49.0,A. Wiggins misses 3-pt jump shot from 29 ft,,21,18
48,1,4:47.0,,Defensive rebound by T. Frazier,21,18
49,1,4:38.0,,A. Davis misses 2-pt jump shot from 5 ft (block by G. Dieng),21,18
50,1,4:37.0,Defensive rebound by K. Towns,,21,18
51,1,4:31.0,Turnover by R. Rubio (bad pass; steal by D. Cousins),,21,18
52,1,4:25.0,,S. Hill misses 2-pt layup from 1 ft,21,18
53,1,4:25.0,,Offensive rebound by A. Davis,21,18
54,1,4:25.0,,Turnover by A. Davis (offensive goaltending),21,18
