,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:43.0,,Shooting foul by N. Mirotić (drawn by I. Thomas),0,0
1,1,11:43.0,,I. Thomas makes free throw 1 of 2,0,1
2,1,11:43.0,,I. Thomas makes free throw 2 of 2,0,2
3,1,11:23.0,Turnover by I. Canaan (lost ball; steal by I. Thomas),,0,2
4,1,11:17.0,,I. Thomas misses 3-pt jump shot from 25 ft,0,2
5,1,11:16.0,Defensive rebound by J. Butler,,0,2
6,1,11:05.0,D. Wade makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,2
7,1,10:45.0,,J. Crowder misses 3-pt jump shot from 25 ft,3,2
8,1,10:44.0,Defensive rebound by D. Wade,,3,2
9,1,10:31.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by D. Wade),,6,2
10,1,10:04.0,,G. Green makes 2-pt layup from 2 ft (assist by A. Horford),6,4
11,1,9:53.0,D. Wade misses 3-pt jump shot from 25 ft,,6,4
12,1,9:51.0,,Defensive rebound by G. Green,6,4
13,1,9:44.0,,G. Green misses 3-pt jump shot from 25 ft,6,4
14,1,9:43.0,Defensive rebound by R. Lopez,,6,4
15,1,9:24.0,J. Butler misses 2-pt jump shot from 14 ft,,6,4
16,1,9:23.0,,Defensive rebound by J. Crowder,6,4
17,1,9:16.0,,G. Green misses 3-pt jump shot from 25 ft,6,4
18,1,9:15.0,Defensive rebound by I. Canaan,,6,4
19,1,8:55.0,R. Lopez makes 2-pt hook shot from 8 ft,,8,4
20,1,8:38.0,,Turnover by I. Thomas (lost ball; steal by N. Mirotić),8,4
21,1,8:34.0,Shooting block foul by G. Green (drawn by N. Mirotić),,8,4
22,1,8:34.0,N. Mirotić misses free throw 1 of 2,,8,4
23,1,8:34.0,Offensive rebound by Team,,8,4
24,1,8:34.0,N. Mirotić misses free throw 2 of 2,,8,4
25,1,8:34.0,,Defensive rebound by A. Horford,8,4
26,1,8:09.0,,J. Crowder misses 3-pt jump shot from 23 ft,8,4
27,1,8:08.0,Defensive rebound by J. Butler,,8,4
28,1,7:50.0,D. Wade makes 2-pt layup from 3 ft (assist by N. Mirotić),,10,4
29,1,7:33.0,,I. Thomas misses 3-pt jump shot from 25 ft,10,4
30,1,7:32.0,Defensive rebound by J. Butler,,10,4
31,1,7:27.0,Offensive foul by R. Lopez (drawn by I. Thomas),,10,4
32,1,7:27.0,Turnover by R. Lopez (offensive foul),,10,4
33,1,7:27.0,,M. Smart enters the game for G. Green,10,4
34,1,7:16.0,,A. Horford misses 3-pt jump shot from 25 ft,10,4
35,1,7:15.0,Defensive rebound by D. Wade,,10,4
36,1,7:02.0,Shooting foul by J. Crowder (drawn by D. Wade),,10,4
37,1,7:02.0,D. Wade makes free throw 1 of 2,,11,4
38,1,7:02.0,D. Wade makes free throw 2 of 2,,12,4
39,1,6:46.0,,Turnover by I. Thomas (lost ball; steal by R. Lopez),12,4
40,1,6:44.0,Turnover by I. Canaan (lost ball),,12,4
41,1,6:30.0,,A. Bradley makes 2-pt dunk at rim (assist by A. Horford),12,6
42,1,6:10.0,N. Mirotić misses 3-pt jump shot from 25 ft,,12,6
43,1,6:09.0,Offensive rebound by R. Lopez,,12,6
44,1,6:05.0,J. Butler misses 3-pt jump shot from 24 ft,,12,6
45,1,6:04.0,,Defensive rebound by J. Crowder,12,6
46,1,5:58.0,,I. Thomas misses 2-pt layup from 2 ft,12,6
47,1,5:57.0,Defensive rebound by J. Butler,,12,6
