,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:40.0,,S. Kilpatrick misses 2-pt jump shot from 18 ft,0,0
1,1,11:39.0,Defensive rebound by M. Gortat,,0,0
2,1,11:24.0,M. Gortat makes 2-pt jump shot from 15 ft (assist by J. Wall),,2,0
3,1,11:16.0,,I. Whitehead makes 2-pt layup from 3 ft,2,2
4,1,11:03.0,B. Beal makes 2-pt jump shot from 18 ft (assist by J. Wall),,4,2
5,1,10:46.0,,B. Lopez misses 2-pt jump shot from 9 ft,4,2
6,1,10:45.0,Defensive rebound by M. Gortat,,4,2
7,1,10:37.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),,7,2
8,1,10:16.0,,B. Lopez makes 3-pt jump shot from 22 ft (assist by I. Whitehead),7,5
9,1,10:05.0,M. Morris misses 2-pt jump shot from 16 ft,,7,5
10,1,10:04.0,,Defensive rebound by S. Kilpatrick,7,5
11,1,9:57.0,,Turnover by T. Booker (lost ball; steal by O. Porter),7,5
12,1,9:47.0,J. Wall misses 3-pt jump shot from 27 ft,,7,5
13,1,9:46.0,Offensive rebound by M. Gortat,,7,5
14,1,9:43.0,B. Beal misses 3-pt jump shot from 25 ft,,7,5
15,1,9:42.0,,Defensive rebound by T. Booker,7,5
16,1,9:35.0,,T. Booker misses 2-pt hook shot from 8 ft,7,5
17,1,9:34.0,Defensive rebound by M. Gortat,,7,5
18,1,9:27.0,M. Gortat makes 2-pt jump shot from 6 ft (assist by J. Wall),,9,5
19,1,9:16.0,,S. Kilpatrick makes 2-pt layup from 3 ft (assist by B. Lopez),9,7
20,1,9:01.0,Offensive foul by M. Morris (drawn by S. Kilpatrick),,9,7
21,1,9:01.0,Turnover by M. Morris (offensive foul),,9,7
22,1,8:40.0,,T. Booker makes 2-pt layup from 3 ft (assist by I. Whitehead),9,9
23,1,8:26.0,M. Morris misses 2-pt jump shot from 7 ft,,9,9
24,1,8:25.0,Offensive rebound by M. Gortat,,9,9
25,1,8:23.0,M. Gortat makes 2-pt layup from 2 ft,,11,9
26,1,8:23.0,,Brooklyn full timeout,11,9
27,1,8:04.0,,B. Lopez makes 2-pt layup from 2 ft,11,11
28,1,7:48.0,J. Wall makes 2-pt jump shot from 19 ft,,13,11
29,1,7:35.0,,B. Lopez makes 2-pt jump shot from 6 ft,13,13
30,1,7:35.0,,Shooting foul by M. Gortat (drawn by B. Lopez),13,13
31,1,7:35.0,,B. Lopez misses free throw 1 of 1,13,13
32,1,7:34.0,Defensive rebound by M. Gortat,,13,13
33,1,7:16.0,B. Beal misses 2-pt jump shot from 8 ft,,13,13
34,1,7:16.0,,Defensive rebound by B. Lopez,13,13
35,1,7:09.0,,Turnover by I. Whitehead (lost ball; steal by B. Beal),13,13
36,1,7:05.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,15,13
37,1,6:46.0,,Shooting block foul by O. Porter (drawn by B. Bogdanović),15,13
38,1,6:46.0,,B. Bogdanović makes free throw 1 of 2,15,14
39,1,6:46.0,,J. Hamilton enters the game for B. Lopez,15,14
40,1,6:46.0,,B. Bogdanović makes free throw 2 of 2,15,15
41,1,6:24.0,O. Porter makes 3-pt jump shot from 23 ft (assist by M. Gortat),,18,15
42,1,6:14.0,,Turnover by I. Whitehead (bad pass; steal by J. Wall),18,15
43,1,6:13.0,Personal foul by I. Whitehead (drawn by J. Wall),,18,15
44,1,6:13.0,,J. Harris enters the game for B. Bogdanović,18,15
45,1,5:58.0,B. Beal misses 3-pt jump shot from 25 ft,,18,15
46,1,5:57.0,,Defensive rebound by J. Hamilton,18,15
47,1,5:49.0,Violation by M. Morris (kicked ball),,18,15
48,1,5:49.0,,R. Hollis-Jefferson enters the game for S. Kilpatrick,18,15
49,1,5:31.0,,T. Booker misses 3-pt jump shot from 24 ft,18,15
50,1,5:29.0,Defensive rebound by O. Porter,,18,15
51,1,5:20.0,M. Morris misses 3-pt jump shot from 25 ft,,18,15
52,1,5:19.0,,Defensive rebound by J. Harris,18,15
53,1,5:12.0,,Personal foul by B. Beal (drawn by J. Harris),18,15
54,1,5:12.0,K. Oubre enters the game for M. Morris,,18,15
55,1,5:03.0,,R. Hollis-Jefferson makes 2-pt jump shot from 21 ft (assist by I. Whitehead),18,17
56,1,4:50.0,J. Wall makes 2-pt jump shot from 10 ft,,20,17
57,1,4:34.0,,T. Booker makes 2-pt layup from 3 ft (assist by I. Whitehead),20,19
58,1,4:16.0,B. Beal misses 2-pt layup from 3 ft,,20,19
59,1,4:15.0,,Defensive rebound by R. Hollis-Jefferson,20,19
60,1,4:05.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,20,19
61,1,4:04.0,,Offensive rebound by T. Booker,20,19
62,1,4:02.0,,R. Foye enters the game for I. Whitehead,20,19
63,1,3:46.0,,T. Booker misses 2-pt jump shot from 6 ft,20,19
64,1,3:44.0,Defensive rebound by O. Porter,,20,19
65,1,3:39.0,O. Porter makes 2-pt dunk at rim (assist by J. Wall),,22,19
66,1,3:29.0,,Turnover by T. Booker (step out of bounds),22,19
67,1,3:13.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),,25,19
68,1,3:04.0,,T. Booker makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),25,21
69,1,2:41.0,B. Beal misses 3-pt jump shot from 25 ft,,25,21
70,1,2:40.0,,Defensive rebound by T. Booker,25,21
71,1,2:27.0,,J. Hamilton misses 3-pt jump shot from 26 ft,25,21
72,1,2:26.0,Defensive rebound by J. Wall,,25,21
73,1,2:20.0,O. Porter misses 3-pt jump shot from 25 ft,,25,21
74,1,2:19.0,,Defensive rebound by R. Foye,25,21
75,1,2:03.0,,T. Booker makes 2-pt jump shot from 6 ft,25,23
76,1,2:02.0,Washington full timeout,,25,23
77,1,2:02.0,,B. Lopez enters the game for J. Hamilton,25,23
78,1,2:02.0,M. Thornton enters the game for B. Beal,,25,23
79,1,2:02.0,,B. Bogdanović enters the game for T. Booker,25,23
80,1,1:45.0,M. Gortat misses 2-pt jump shot from 9 ft,,25,23
81,1,1:44.0,,Defensive rebound by B. Lopez,25,23
82,1,1:28.0,,B. Lopez makes 2-pt hook shot from 12 ft,25,25
83,1,1:12.0,J. Wall makes 2-pt layup from 2 ft,,27,25
84,1,0:54.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by B. Lopez),27,28
85,1,0:37.0,J. Wall makes 2-pt jump shot from 19 ft,,29,28
86,1,0:34.0,,Personal foul by K. Oubre (drawn by B. Bogdanović),29,28
87,1,0:34.0,,B. Bogdanović misses free throw 1 of 2,29,28
88,1,0:34.0,,Offensive rebound by Team,29,28
89,1,0:34.0,,B. Bogdanović makes free throw 2 of 2,29,29
90,1,0:30.0,Turnover by J. Wall (lost ball),,29,29
91,1,0:07.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,29,32
92,1,0:01.0,J. Wall misses 2-pt jump shot from 23 ft,,29,32
93,1,0:00.0,Offensive rebound by Team,,29,32
94,2,11:39.0,K. Oubre misses 2-pt layup from 2 ft,,29,32
95,2,11:38.0,Offensive rebound by K. Oubre,,29,32
96,2,11:37.0,K. Oubre makes 2-pt layup from 2 ft,,31,32
97,2,11:20.0,M. Morris enters the game for O. Porter,,31,32
98,2,11:11.0,,I. Whitehead makes 2-pt jump shot from 17 ft,31,34
