,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
0,1,11:40.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),0,2
1,1,11:27.0,Turnover by C. McCollum (step out of bounds),,0,2
2,1,11:14.0,,Turnover by P. Gasol (traveling),0,2
3,1,10:59.0,A. Crabbe makes 2-pt jump shot from 19 ft (assist by C. McCollum),,2,2
4,1,10:51.0,,Personal foul by A. Aminu (drawn by L. Aldridge),2,2
5,1,10:44.0,,T. Parker makes 2-pt layup from 1 ft,2,4
6,1,10:26.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,5,4
7,1,10:14.0,,T. Parker misses 2-pt jump shot from 18 ft,5,4
8,1,10:12.0,Defensive rebound by Team,,5,4
9,1,9:58.0,C. McCollum makes 2-pt jump shot from 19 ft,,7,4
10,1,9:40.0,,Shooting foul by C. McCollum (drawn by T. Parker),7,4
11,1,9:40.0,,T. Parker makes free throw 1 of 2,7,5
12,1,9:40.0,,T. Parker makes free throw 2 of 2,7,6
13,1,9:23.0,A. Aminu misses 2-pt layup at rim,,7,6
14,1,9:21.0,,Defensive rebound by P. Gasol,7,6
15,1,9:15.0,,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),7,9
16,1,9:00.0,C. McCollum makes 2-pt jump shot from 18 ft,,9,9
17,1,8:45.0,,T. Parker makes 2-pt jump shot from 5 ft,9,11
18,1,8:28.0,A. Aminu makes 2-pt jump shot from 19 ft (assist by M. Plumlee),,11,11
19,1,8:28.0,Shooting foul by P. Gasol (drawn by A. Aminu),,11,11
20,1,8:28.0,A. Aminu makes free throw 1 of 1,,12,11
21,1,8:15.0,,P. Gasol misses 2-pt jump shot from 17 ft,12,11
22,1,8:13.0,Defensive rebound by C. McCollum,,12,11
23,1,8:03.0,Shooting foul by D. Green (drawn by M. Plumlee),,12,11
24,1,8:03.0,M. Plumlee makes free throw 1 of 2,,13,11
25,1,8:03.0,M. Plumlee makes free throw 2 of 2,,14,11
