,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
40,1,6:56.0,,Personal foul by C. McCollum (drawn by W. Matthews),15,10
41,1,6:47.0,,H. Barnes misses 3-pt jump shot from 25 ft,15,10
42,1,6:46.0,Defensive rebound by M. Plumlee,,15,10
43,1,6:40.0,D. Lillard misses 2-pt jump shot from 21 ft,,15,10
44,1,6:39.0,,Defensive rebound by D. Harris,15,10
45,1,6:24.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by W. Matthews),15,13
46,1,6:07.0,Turnover by E. Turner (bad pass),,15,13
47,1,5:49.0,,H. Barnes misses 2-pt jump shot from 6 ft,15,13
48,1,5:48.0,Defensive rebound by M. Plumlee,,15,13
49,1,5:38.0,E. Turner makes 2-pt jump shot from 13 ft,,17,13
50,1,5:17.0,,W. Matthews misses 2-pt jump shot from 12 ft,17,13
51,1,5:16.0,Defensive rebound by D. Lillard,,17,13
52,1,4:58.0,N. Vonleh misses 2-pt layup from 1 ft (block by S. Mejri),,17,13
53,1,4:56.0,,Defensive rebound by H. Barnes,17,13
54,1,4:50.0,,H. Barnes misses 2-pt jump shot from 4 ft,17,13
55,1,4:48.0,Defensive rebound by N. Vonleh,,17,13
56,1,4:45.0,Personal block foul by W. Matthews (drawn by D. Lillard),,17,13
57,1,4:45.0,M. Harkless enters the game for E. Turner,,17,13
58,1,4:45.0,A. Crabbe enters the game for C. McCollum,,17,13
59,1,4:31.0,A. Crabbe misses 2-pt jump shot from 24 ft,,17,13
60,1,4:30.0,,Defensive rebound by S. Mejri,17,13
61,1,4:26.0,,W. Matthews makes 2-pt jump shot from 12 ft,17,15
62,1,4:26.0,,Shooting foul by D. Lillard (drawn by W. Matthews),17,15
63,1,4:26.0,,W. Matthews makes free throw 1 of 1,17,16
64,1,4:14.0,Shooting foul by S. Mejri (drawn by M. Plumlee),,17,16
65,1,4:14.0,M. Plumlee makes free throw 1 of 2,,18,16
