,QUARTER,TIME_REMAINING,HOUSTON_ACTION,LA LAKERS_ACTION,HOUSTON_SCORE,LA LAKERS_SCORE
0,1,11:44.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,3,0
1,1,11:31.0,,Offensive foul by T. Mozgov (drawn by E. Gordon),3,0
2,1,11:31.0,,Turnover by T. Mozgov (offensive foul),3,0
3,1,11:11.0,T. Ariza misses 2-pt jump shot from 7 ft,,3,0
4,1,11:11.0,Offensive rebound by Team,,3,0
5,1,10:58.0,J. Harden makes 2-pt layup from 3 ft,,5,0
6,1,10:42.0,,J. Randle makes 2-pt jump shot from 9 ft,5,2
7,1,10:27.0,E. Gordon makes 2-pt jump shot from 13 ft (assist by J. Harden),,7,2
8,1,10:21.0,,T. Mozgov makes 2-pt layup from 2 ft (assist by D. Russell),7,4
9,1,10:15.0,J. Harden makes 2-pt layup from 2 ft,,9,4
10,1,9:58.0,,D. Russell misses 3-pt jump shot from 26 ft,9,4
11,1,9:55.0,,Offensive rebound by L. Deng,9,4
12,1,9:53.0,,L. Deng misses 2-pt jump shot from 15 ft,9,4
13,1,9:51.0,Defensive rebound by C. Capela,,9,4
14,1,9:43.0,R. Anderson makes 2-pt jump shot from 15 ft (assist by J. Harden),,11,4
15,1,9:25.0,,N. Young misses 2-pt jump shot from 21 ft,11,4
16,1,9:23.0,,Offensive rebound by T. Mozgov,11,4
17,1,9:23.0,,T. Mozgov makes 2-pt layup from 1 ft,11,6
18,1,9:14.0,J. Harden makes 3-pt jump shot from 26 ft,,14,6
19,1,9:00.0,,N. Young misses 3-pt jump shot from 27 ft,14,6
20,1,8:58.0,Defensive rebound by Team,,14,6
21,1,8:58.0,N. Hilário enters the game for C. Capela,,14,6
22,1,8:44.0,Shooting foul by N. Young (drawn by E. Gordon),,14,6
23,1,8:44.0,E. Gordon makes free throw 1 of 2,,15,6
24,1,8:44.0,E. Gordon misses free throw 2 of 2,,15,6
25,1,8:43.0,,Defensive rebound by J. Randle,15,6
26,1,8:31.0,,N. Young misses 3-pt jump shot from 25 ft,15,6
27,1,8:31.0,,Offensive rebound by Team,15,6
28,1,8:28.0,,N. Young misses 2-pt layup from 3 ft,15,6
29,1,8:25.0,,Offensive rebound by T. Mozgov,15,6
30,1,8:18.0,,N. Young makes 3-pt jump shot from 25 ft (assist by D. Russell),15,9
31,1,8:07.0,N. Hilário misses 2-pt layup from 3 ft,,15,9
32,1,8:03.0,,Defensive rebound by N. Young,15,9
33,1,7:59.0,,N. Young misses 3-pt jump shot from 25 ft,15,9
34,1,7:56.0,,Offensive rebound by T. Mozgov,15,9
35,1,7:47.0,,L. Deng makes 3-pt jump shot from 24 ft (assist by J. Randle),15,12
36,1,7:30.0,N. Hilário misses 2-pt jump shot from 12 ft,,15,12
37,1,7:29.0,,Defensive rebound by J. Randle,15,12
38,1,7:20.0,,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Randle),15,15
39,1,7:20.0,Houston full timeout,,15,15
40,1,7:08.0,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),,17,15
41,1,6:45.0,,T. Mozgov makes 2-pt hook shot from 6 ft (assist by N. Young),17,17
42,1,6:31.0,N. Hilário makes 2-pt jump shot from 16 ft,,19,17
43,1,6:21.0,,D. Russell makes 2-pt jump shot from 12 ft,19,19
44,1,6:15.0,Shooting foul by N. Young (drawn by J. Harden),,19,19
45,1,6:15.0,J. Harden makes free throw 1 of 3,,20,19
46,1,6:15.0,J. Harden makes free throw 2 of 3,,21,19
47,1,6:15.0,K. McDaniels enters the game for E. Gordon,,21,19
48,1,6:15.0,,B. Ingram enters the game for N. Young,21,19
