,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
0,1,11:44.0,K. Irving misses 2-pt jump shot from 19 ft,,0,0
1,1,11:44.0,,Defensive rebound by M. Plumlee,0,0
2,1,11:27.0,,G. Harris makes 2-pt jump shot from 20 ft (assist by M. Plumlee),0,2
3,1,11:06.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,3,2
4,1,10:55.0,,Turnover by N. Jokić (bad pass; steal by K. Love),3,2
5,1,10:46.0,K. Love makes 3-pt jump shot from 26 ft (assist by K. Irving),,6,2
6,1,10:31.0,,G. Harris misses 3-pt jump shot from 26 ft,6,2
7,1,10:30.0,Defensive rebound by L. James,,6,2
8,1,10:25.0,J. Smith misses 3-pt jump shot from 27 ft,,6,2
9,1,10:23.0,,Defensive rebound by N. Jokić,6,2
10,1,10:06.0,,W. Chandler makes 2-pt jump shot from 18 ft (assist by J. Nelson),6,4
11,1,9:45.0,J. Smith misses 3-pt jump shot from 25 ft,,6,4
12,1,9:45.0,,Defensive rebound by N. Jokić,6,4
13,1,9:37.0,,M. Plumlee makes 2-pt dunk at rim (assist by G. Harris),6,6
14,1,9:21.0,K. Love misses 3-pt jump shot from 25 ft,,6,6
15,1,9:20.0,Offensive rebound by T. Thompson,,6,6
16,1,9:08.0,K. Irving makes 3-pt jump shot from 27 ft (assist by J. Smith),,9,6
17,1,8:54.0,,J. Nelson misses 2-pt layup from 2 ft,9,6
18,1,8:50.0,,Offensive rebound by N. Jokić,9,6
19,1,8:46.0,,M. Plumlee makes 2-pt dunk at rim (assist by N. Jokić),9,8
20,1,8:34.0,K. Love misses 3-pt jump shot from 24 ft,,9,8
21,1,8:32.0,,Defensive rebound by G. Harris,9,8
22,1,8:27.0,,W. Chandler makes 2-pt layup from 2 ft (assist by G. Harris),9,10
23,1,8:09.0,J. Smith misses 2-pt jump shot from 17 ft,,9,10
24,1,8:08.0,,Defensive rebound by W. Chandler,9,10
25,1,7:57.0,,W. Chandler misses 3-pt jump shot from 25 ft,9,10
26,1,7:56.0,Defensive rebound by J. Smith,,9,10
27,1,7:43.0,K. Irving misses 2-pt layup from 1 ft,,9,10
28,1,7:43.0,,Defensive rebound by N. Jokić,9,10
29,1,7:40.0,Offensive charge foul by M. Plumlee (drawn by K. Love),,9,10
30,1,7:40.0,,Turnover by M. Plumlee (offensive foul),9,10
31,1,7:25.0,L. James makes 2-pt jump shot from 14 ft,,11,10
32,1,7:11.0,,G. Harris misses 2-pt jump shot from 4 ft (block by K. Love),11,10
33,1,7:09.0,Defensive rebound by K. Love,,11,10
34,1,7:04.0,J. Smith misses 3-pt jump shot from 24 ft,,11,10
35,1,7:03.0,Offensive rebound by K. Love,,11,10
36,1,7:02.0,Shooting foul by M. Plumlee (drawn by L. James),,11,10
37,1,7:02.0,L. James misses free throw 1 of 2,,11,10
38,1,7:02.0,Offensive rebound by Team,,11,10
39,1,7:02.0,,K. Faried enters the game for M. Plumlee,11,10
40,1,7:02.0,L. James makes free throw 2 of 2,,12,10
41,1,6:47.0,,W. Chandler misses 3-pt jump shot from 26 ft,12,10
42,1,6:46.0,Defensive rebound by T. Thompson,,12,10
43,1,6:42.0,Turnover by L. James (bad pass; steal by K. Faried),,12,10
44,1,6:29.0,,J. Nelson makes 3-pt jump shot from 25 ft (assist by N. Jokić),12,13
45,1,6:11.0,K. Irving misses 2-pt jump shot from 21 ft,,12,13
46,1,6:10.0,,Defensive rebound by G. Harris,12,13
47,1,5:53.0,,W. Chandler makes 2-pt dunk at rim (assist by N. Jokić),12,15
48,1,5:36.0,L. James misses 2-pt jump shot from 16 ft,,12,15
49,1,5:35.0,,Defensive rebound by K. Faried,12,15
50,1,5:25.0,,K. Faried misses 2-pt layup from 2 ft,12,15
51,1,5:24.0,Defensive rebound by K. Love,,12,15
52,1,5:15.0,T. Thompson misses 2-pt layup from 2 ft,,12,15
53,1,5:14.0,Offensive rebound by T. Thompson,,12,15
54,1,5:09.0,K. Irving makes 2-pt jump shot from 20 ft (assist by T. Thompson),,14,15
55,1,4:56.0,,K. Faried makes 2-pt dunk at rim (assist by G. Harris),14,17
56,1,4:56.0,Cleveland full timeout,,14,17
57,1,4:56.0,I. Shumpert enters the game for J. Smith,,14,17
58,1,4:56.0,,W. Barton enters the game for G. Harris,14,17
59,1,4:42.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by L. James),,17,17
60,1,4:29.0,,N. Jokić makes 2-pt jump shot from 19 ft (assist by J. Nelson),17,19
61,1,4:12.0,T. Thompson makes 2-pt layup from 1 ft (assist by L. James),,19,19
62,1,4:00.0,,N. Jokić makes 2-pt jump shot from 3 ft (assist by J. Nelson),19,21
63,1,3:50.0,Turnover by L. James (bad pass; steal by K. Faried),,19,21
64,1,3:44.0,,W. Barton makes 2-pt layup from 3 ft (assist by K. Faried),19,23
65,1,3:33.0,Shooting foul by J. Nelson (drawn by K. Irving),,19,23
66,1,3:33.0,K. Irving makes free throw 1 of 2,,20,23
67,1,3:33.0,C. Frye enters the game for L. James,,20,23
68,1,3:33.0,K. Korver enters the game for K. Love,,20,23
69,1,3:33.0,K. Irving makes free throw 2 of 2,,21,23
70,1,3:12.0,,W. Barton makes 2-pt layup from 2 ft,21,25
71,1,3:00.0,K. Irving makes 2-pt jump shot from 14 ft,,23,25
72,1,2:47.0,,Denver full timeout,23,25
73,1,2:47.0,,G. Harris enters the game for W. Chandler,23,25
74,1,2:47.0,,J. Hernangómez enters the game for N. Jokić,23,25
75,1,2:47.0,,J. Murray enters the game for J. Nelson,23,25
76,1,2:39.0,,K. Faried misses 2-pt hook shot from 5 ft,23,25
77,1,2:38.0,Defensive rebound by C. Frye,,23,25
78,1,2:27.0,C. Frye misses 3-pt jump shot from 24 ft,,23,25
79,1,2:26.0,,Defensive rebound by K. Faried,23,25
80,1,2:14.0,,K. Faried makes 2-pt layup from 1 ft (assist by J. Murray),23,27
