,QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
0,1,11:48.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,0,0
1,1,11:47.0,,Offensive rebound by T. Maker,0,0
2,1,11:42.0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Carroll),0,0
3,1,11:20.0,K. Lowry misses 3-pt jump shot from 29 ft,,0,0
4,1,11:19.0,,Defensive rebound by T. Snell,0,0
5,1,11:11.0,,Milwaukee full timeout,0,0
6,1,11:04.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by M. Brogdon),0,3
7,1,10:42.0,J. Valančiūnas misses 2-pt dunk at rim (block by G. Antetokounmpo),,0,3
8,1,10:42.0,Offensive rebound by Team,,0,3
9,1,10:38.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,3
10,1,10:37.0,,Defensive rebound by M. Brogdon,0,3
11,1,10:26.0,,K. Middleton makes 2-pt jump shot from 10 ft,0,5
12,1,10:14.0,Shooting foul by T. Maker (drawn by J. Valančiūnas),,0,5
13,1,10:14.0,J. Valančiūnas makes free throw 1 of 2,,1,5
14,1,10:14.0,J. Valančiūnas makes free throw 2 of 2,,2,5
15,1,10:03.0,,T. Maker makes 2-pt dunk at rim (assist by G. Antetokounmpo),2,7
16,1,9:47.0,S. Ibaka misses 2-pt jump shot from 16 ft,,2,7
17,1,9:46.0,,Defensive rebound by M. Brogdon,2,7
18,1,9:34.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by T. Maker),2,9
19,1,9:25.0,Toronto full timeout,,2,9
20,1,9:17.0,Shooting foul by T. Maker (drawn by K. Lowry),,2,9
21,1,9:17.0,K. Lowry makes free throw 1 of 2,,3,9
22,1,9:17.0,K. Lowry makes free throw 2 of 2,,4,9
23,1,9:03.0,,M. Brogdon misses 2-pt jump shot from 7 ft,4,9
24,1,9:03.0,,Offensive rebound by Team,4,9
25,1,8:58.0,,T. Snell misses 3-pt jump shot from 26 ft,4,9
26,1,8:57.0,Defensive rebound by K. Lowry,,4,9
27,1,8:53.0,S. Ibaka makes 2-pt layup at rim (assist by K. Lowry),,6,9
28,1,8:34.0,,K. Middleton makes 2-pt jump shot from 17 ft (assist by T. Snell),6,11
29,1,8:26.0,D. DeRozan misses 2-pt layup from 2 ft,,6,11
30,1,8:24.0,,Defensive rebound by M. Brogdon,6,11
31,1,8:15.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),6,13
32,1,7:55.0,S. Ibaka misses 3-pt jump shot from 28 ft,,6,13
33,1,7:54.0,,Defensive rebound by M. Brogdon,6,13
34,1,7:46.0,,K. Middleton misses 3-pt jump shot from 26 ft,6,13
35,1,7:45.0,Defensive rebound by D. DeRozan,,6,13
36,1,7:30.0,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),,8,13
37,1,7:11.0,,T. Maker makes 2-pt layup at rim (assist by M. Brogdon),8,15
38,1,6:57.0,P. Tucker enters the game for J. Valančiūnas,,8,15
39,1,6:48.0,D. Carroll misses 3-pt jump shot from 26 ft,,8,15
40,1,6:47.0,,Defensive rebound by G. Antetokounmpo,8,15
41,1,6:38.0,,T. Maker misses 3-pt jump shot from 25 ft,8,15
42,1,6:37.0,Defensive rebound by K. Lowry,,8,15
43,1,6:37.0,Personal block foul by T. Snell (drawn by K. Lowry),,8,15
44,1,6:37.0,,G. Monroe enters the game for T. Maker,8,15
45,1,6:21.0,S. Ibaka misses 2-pt jump shot from 21 ft,,8,15
46,1,6:20.0,,Defensive rebound by G. Antetokounmpo,8,15
47,1,6:11.0,,Turnover by G. Antetokounmpo (bad pass; steal by P. Tucker),8,15
48,1,5:57.0,K. Lowry misses 3-pt jump shot from 28 ft,,8,15
49,1,5:56.0,,Defensive rebound by M. Brogdon,8,15
50,1,5:48.0,,K. Middleton makes 2-pt jump shot from 3 ft (assist by M. Brogdon),8,17
51,1,5:35.0,K. Lowry makes 2-pt layup at rim,,10,17
52,1,5:15.0,,G. Antetokounmpo makes 3-pt jump shot from 28 ft,10,20
53,1,4:53.0,K. Lowry misses 2-pt layup from 2 ft (block by G. Monroe),,10,20
54,1,4:53.0,Offensive rebound by Team,,10,20
55,1,4:53.0,,M. Beasley enters the game for K. Middleton,10,20
56,1,4:53.0,,M. Dellavedova enters the game for M. Brogdon,10,20
57,1,4:48.0,Turnover by Team (shot clock),,10,20
58,1,4:28.0,,M. Beasley misses 2-pt jump shot from 3 ft (block by D. Carroll),10,20
59,1,4:26.0,Defensive rebound by P. Tucker,,10,20
60,1,4:22.0,Turnover by D. DeRozan (bad pass),,10,20
61,1,4:22.0,C. Joseph enters the game for K. Lowry,,10,20
62,1,4:22.0,P. Patterson enters the game for D. Carroll,,10,20
63,1,3:58.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Snell),10,22
64,1,3:33.0,C. Joseph misses 3-pt jump shot from 24 ft,,10,22
65,1,3:32.0,,Defensive rebound by T. Snell,10,22
66,1,3:12.0,,M. Dellavedova makes 2-pt layup from 1 ft,10,24
67,1,2:49.0,C. Joseph misses 2-pt hook shot from 9 ft,,10,24
68,1,2:47.0,,Defensive rebound by G. Monroe,10,24
69,1,2:32.0,,M. Dellavedova makes 2-pt jump shot from 23 ft (assist by G. Antetokounmpo),10,26
70,1,2:31.0,Toronto full timeout,,10,26
71,1,2:31.0,,Milwaukee full timeout,10,26
72,1,2:09.0,S. Ibaka makes 2-pt dunk at rim (assist by P. Tucker),,12,26
73,1,1:45.0,,Personal foul by C. Joseph (drawn by M. Dellavedova),12,26
74,1,1:39.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by G. Monroe),12,29
75,1,1:18.0,D. DeRozan misses 2-pt jump shot from 12 ft,,12,29
76,1,1:16.0,,Defensive rebound by G. Antetokounmpo,12,29
77,1,1:09.0,,T. Snell misses 2-pt dunk at rim (block by S. Ibaka),12,29
78,1,1:09.0,,Offensive rebound by Team,12,29
79,1,1:08.0,,Offensive foul by M. Dellavedova (drawn by C. Joseph),12,29
80,1,1:08.0,,Turnover by M. Dellavedova (offensive foul),12,29
81,1,0:57.0,Offensive foul by P. Tucker (drawn by M. Dellavedova),,12,29
82,1,0:57.0,Turnover by P. Tucker (offensive foul),,12,29
83,1,0:37.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Dellavedova),12,32
84,1,0:21.0,S. Ibaka misses 2-pt jump shot from 5 ft,,12,32
85,1,0:20.0,,Defensive rebound by G. Monroe,12,32
86,1,0:03.0,,Turnover by M. Dellavedova (traveling),12,32
87,2,11:43.0,Turnover by K. Lowry (bad pass; steal by G. Monroe),,12,32
88,2,11:24.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),12,34
89,2,11:00.0,J. Valančiūnas misses 2-pt jump shot from 16 ft,,12,34
90,2,10:59.0,,Defensive rebound by M. Beasley,12,34
91,2,10:44.0,,M. Beasley misses 2-pt jump shot from 20 ft,12,34
92,2,10:43.0,Defensive rebound by K. Lowry,,12,34
93,2,10:36.0,P. Patterson makes 3-pt jump shot from 24 ft (assist by C. Joseph),,15,34
94,2,10:14.0,,G. Monroe makes 2-pt layup at rim,15,36
95,2,10:07.0,Turnover by C. Joseph (step out of bounds),,15,36
96,2,9:43.0,,G. Monroe misses 2-pt jump shot from 12 ft,15,36
97,2,9:42.0,Defensive rebound by P. Tucker,,15,36
98,2,9:32.0,J. Valančiūnas misses 2-pt layup at rim,,15,36
99,2,9:30.0,,Defensive rebound by G. Monroe,15,36
100,2,9:20.0,,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by K. Middleton),15,39
101,2,9:20.0,Toronto full timeout,,15,39
102,2,9:20.0,J. Poeltl enters the game for J. Valančiūnas,,15,39
103,2,9:20.0,D. Wright enters the game for P. Tucker,,15,39
104,2,8:54.0,C. Joseph misses 3-pt jump shot from 24 ft,,15,39
105,2,8:53.0,Offensive rebound by J. Poeltl,,15,39
106,2,8:36.0,P. Patterson misses 2-pt jump shot from 11 ft,,15,39
107,2,8:35.0,,Defensive rebound by K. Middleton,15,39
108,2,8:29.0,,Personal block foul by J. Poeltl (drawn by M. Beasley),15,39
109,2,8:22.0,,K. Middleton makes 2-pt jump shot from 14 ft,15,41
110,2,8:06.0,Personal block foul by M. Beasley (drawn by K. Lowry),,15,41
111,2,7:52.0,K. Lowry misses 2-pt layup from 1 ft,,15,41
112,2,7:50.0,,Defensive rebound by G. Monroe,15,41
113,2,7:46.0,,J. Terry misses 2-pt layup from 1 ft,15,41
114,2,7:45.0,Defensive rebound by J. Poeltl,,15,41
115,2,7:42.0,D. Wright makes 2-pt layup from 1 ft,,17,41
116,2,7:42.0,Shooting foul by M. Beasley (drawn by D. Wright),,17,41
117,2,7:42.0,D. Wright misses free throw 1 of 1,,17,41
118,2,7:38.0,,Defensive rebound by G. Monroe,17,41
119,2,7:24.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Middleton),17,43
120,2,7:08.0,P. Patterson misses 2-pt hook shot from 6 ft,,17,43
121,2,7:08.0,,Defensive rebound by Team,17,43
122,2,6:49.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by K. Middleton),17,46
123,2,6:44.0,Personal block foul by G. Monroe (drawn by K. Lowry),,17,46
124,2,6:44.0,,G. Antetokounmpo enters the game for M. Beasley,17,46
125,2,6:44.0,D. DeRozan enters the game for C. Joseph,,17,46
126,2,6:34.0,Turnover by D. Wright (lost ball; steal by G. Monroe),,17,46
127,2,6:19.0,,G. Monroe makes 2-pt hook shot from 1 ft,17,48
128,2,6:11.0,Toronto full timeout,,17,48
129,2,6:11.0,S. Ibaka enters the game for J. Poeltl,,17,48
130,2,5:54.0,Shooting foul by K. Middleton (drawn by D. DeRozan),,17,48
131,2,5:54.0,D. DeRozan makes free throw 1 of 2,,18,48
132,2,5:54.0,D. DeRozan makes free throw 2 of 2,,19,48
133,2,5:37.0,,J. Terry misses 3-pt jump shot from 24 ft,19,48
134,2,5:36.0,Defensive rebound by P. Patterson,,19,48
135,2,5:28.0,D. DeRozan misses 2-pt jump shot from 16 ft,,19,48
136,2,5:27.0,,Defensive rebound by J. Terry,19,48
137,2,5:15.0,,G. Monroe makes 2-pt layup at rim (assist by K. Middleton),19,50
138,2,5:00.0,Shooting foul by J. Terry (drawn by D. DeRozan),,19,50
139,2,5:00.0,D. DeRozan makes free throw 1 of 2,,20,50
140,2,5:00.0,,M. Brogdon enters the game for M. Dellavedova,20,50
141,2,5:00.0,,T. Snell enters the game for J. Terry,20,50
142,2,5:00.0,D. DeRozan makes free throw 2 of 2,,21,50
143,2,4:41.0,,Shooting foul by P. Patterson (drawn by G. Monroe),21,50
144,2,4:41.0,,G. Monroe makes free throw 1 of 2,21,51
145,2,4:41.0,P. Tucker enters the game for P. Patterson,,21,51
146,2,4:41.0,,G. Monroe makes free throw 2 of 2,21,52
147,2,4:21.0,Turnover by D. DeRozan (bad pass; steal by G. Antetokounmpo),,21,52
148,2,4:19.0,,Personal foul by K. Lowry (drawn by G. Antetokounmpo),21,52
149,2,4:12.0,,M. Brogdon misses 2-pt layup from 1 ft,21,52
150,2,4:10.0,,Offensive rebound by G. Monroe,21,52
151,2,4:10.0,,G. Monroe misses 2-pt layup from 1 ft,21,52
152,2,4:09.0,Defensive rebound by S. Ibaka,,21,52
153,2,4:07.0,Personal block foul by G. Antetokounmpo (drawn by D. Wright),,21,52
154,2,4:07.0,D. Wright makes free throw 1 of 2,,22,52
155,2,4:07.0,D. Wright makes free throw 2 of 2,,23,52
156,2,3:47.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by K. Lowry),23,52
157,2,3:44.0,Defensive rebound by K. Lowry,,23,52
158,2,3:42.0,Shooting foul by G. Monroe (drawn by D. DeRozan),,23,52
159,2,3:42.0,D. DeRozan makes free throw 1 of 2,,24,52
160,2,3:42.0,,T. Maker enters the game for G. Monroe,24,52
161,2,3:42.0,D. DeRozan makes free throw 2 of 2,,25,52
162,2,3:20.0,,Personal foul by S. Ibaka (drawn by T. Maker),25,52
163,2,3:20.0,,T. Maker makes free throw 1 of 2,25,53
164,2,3:20.0,,T. Maker makes free throw 2 of 2,25,54
165,2,2:57.0,D. DeRozan misses 3-pt jump shot from 27 ft,,25,54
166,2,2:56.0,,Defensive rebound by K. Middleton,25,54
167,2,2:34.0,,K. Middleton misses 2-pt jump shot from 8 ft,25,54
168,2,2:33.0,Defensive rebound by D. Wright,,25,54
169,2,2:19.0,S. Ibaka misses 3-pt jump shot from 27 ft,,25,54
170,2,2:18.0,,Defensive rebound by K. Middleton,25,54
171,2,2:03.0,,M. Brogdon makes 2-pt layup from 1 ft,25,56
172,2,2:03.0,Violation by S. Ibaka (def goaltending),,25,56
173,2,2:03.0,Technical foul by S. Ibaka,,25,56
174,2,2:03.0,,K. Middleton makes technical free throw,25,57
175,2,2:03.0,Official timeout,,25,57
176,2,1:50.0,Shooting foul by T. Snell (drawn by D. DeRozan),,25,57
177,2,1:50.0,D. DeRozan makes free throw 1 of 2,,26,57
178,2,1:50.0,D. DeRozan makes free throw 2 of 2,,27,57
179,2,1:33.0,,Turnover by M. Brogdon (bad pass),27,57
180,2,1:23.0,Turnover by K. Lowry (dbl dribble),,27,57
181,2,0:59.0,,G. Antetokounmpo misses 2-pt jump shot from 15 ft,27,57
182,2,0:58.0,,Offensive rebound by M. Brogdon,27,57
183,2,0:41.0,,K. Middleton misses 2-pt jump shot from 17 ft,27,57
184,2,0:40.0,Defensive rebound by P. Tucker,,27,57
185,2,0:36.0,Turnover by S. Ibaka (offensive foul),,27,57
186,2,0:36.0,Offensive foul by S. Ibaka (drawn by T. Snell),,27,57
