,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
0,1,11:44.0,T. Mozgov makes 2-pt jump shot from 16 ft (assist by L. Deng),,2,0
1,1,11:27.0,,J. Richardson misses 2-pt jump shot from 20 ft,2,0
2,1,11:26.0,Defensive rebound by B. Ingram,,2,0
3,1,11:14.0,D. Russell makes 3-pt jump shot from 25 ft (assist by N. Young),,5,0
4,1,10:58.0,,H. Whiteside misses 2-pt layup from 3 ft,5,0
5,1,10:57.0,Defensive rebound by L. Deng,,5,0
6,1,10:51.0,N. Young misses 3-pt jump shot from 25 ft,,5,0
7,1,10:50.0,Offensive rebound by B. Ingram,,5,0
8,1,10:43.0,D. Russell misses 3-pt jump shot from 25 ft,,5,0
9,1,10:42.0,,Defensive rebound by J. Winslow,5,0
10,1,10:26.0,,J. Richardson misses 2-pt jump shot from 17 ft,5,0
11,1,10:25.0,Defensive rebound by D. Russell,,5,0
12,1,10:19.0,L. Deng misses 3-pt jump shot from 26 ft,,5,0
13,1,10:18.0,Offensive rebound by B. Ingram,,5,0
14,1,10:12.0,N. Young misses 3-pt jump shot from 24 ft,,5,0
15,1,10:11.0,,Defensive rebound by J. Winslow,5,0
16,1,9:58.0,,G. Dragić misses 3-pt jump shot from 25 ft,5,0
17,1,9:57.0,,Offensive rebound by Team,5,0
18,1,9:44.0,,Turnover by J. Winslow (bad pass),5,0
19,1,9:20.0,T. Mozgov makes 2-pt hook shot from 8 ft,,7,0
20,1,9:04.0,,Turnover by J. Winslow (bad pass; steal by L. Deng),7,0
21,1,9:03.0,Personal foul by J. McRoberts (drawn by L. Deng),,7,0
22,1,8:49.0,T. Mozgov misses 2-pt layup from 1 ft (block by H. Whiteside),,7,0
23,1,8:48.0,,Defensive rebound by J. Richardson,7,0
24,1,8:40.0,,Turnover by J. Richardson (lost ball),7,0
25,1,8:28.0,D. Russell makes 2-pt jump shot from 14 ft,,9,0
26,1,8:15.0,,G. Dragić misses 2-pt layup from 1 ft (block by T. Mozgov),9,0
27,1,8:15.0,Defensive rebound by L. Deng,,9,0
28,1,8:09.0,B. Ingram misses 2-pt jump shot from 21 ft,,9,0
29,1,8:08.0,,Defensive rebound by H. Whiteside,9,0
30,1,7:55.0,,H. Whiteside misses 2-pt jump shot from 16 ft,9,0
31,1,7:54.0,Defensive rebound by D. Russell,,9,0
32,1,7:46.0,T. Mozgov makes 2-pt layup from 2 ft (assist by D. Russell),,11,0
33,1,7:45.0,,Miami full timeout,11,0
34,1,7:29.0,,J. Winslow makes 2-pt jump shot from 7 ft,11,2
35,1,7:12.0,L. Deng makes 2-pt dunk at rim (assist by D. Russell),,13,2
36,1,6:59.0,,J. McRoberts makes 2-pt dunk at rim (assist by G. Dragić),13,4
37,1,6:40.0,T. Mozgov makes 2-pt jump shot from 7 ft,,15,4
38,1,6:25.0,,H. Whiteside makes 2-pt hook shot from 10 ft (assist by J. Winslow),15,6
39,1,6:14.0,Turnover by D. Russell (bad pass; steal by J. Winslow),,15,6
40,1,6:09.0,,J. Winslow makes 2-pt jump shot from 6 ft,15,8
41,1,5:50.0,Personal foul by H. Whiteside (drawn by T. Mozgov),,15,8
42,1,5:50.0,,T. Johnson enters the game for J. Richardson,15,8
43,1,5:50.0,J. Clarkson enters the game for B. Ingram,,15,8
44,1,5:43.0,D. Russell misses 2-pt jump shot from 10 ft,,15,8
45,1,5:42.0,,Defensive rebound by J. Winslow,15,8
46,1,5:39.0,,T. Johnson misses 3-pt jump shot from 24 ft,15,8
47,1,5:38.0,Defensive rebound by J. Clarkson,,15,8
48,1,5:18.0,L. Deng misses 3-pt jump shot from 25 ft,,15,8
49,1,5:17.0,,Defensive rebound by H. Whiteside,15,8
50,1,5:01.0,,H. Whiteside makes 2-pt jump shot from 16 ft (assist by G. Dragić),15,10
51,1,4:44.0,T. Mozgov makes 2-pt jump shot from 7 ft (assist by J. Clarkson),,17,10
52,1,4:34.0,,J. Johnson enters the game for G. Dragić,17,10
53,1,4:34.0,L. Williams enters the game for N. Young,,17,10
54,1,4:17.0,,T. Johnson misses 2-pt jump shot from 20 ft,17,10
55,1,4:16.0,Defensive rebound by L. Deng,,17,10
56,1,4:08.0,L. Deng makes 2-pt layup from 1 ft (assist by D. Russell),,19,10
57,1,3:50.0,,J. Winslow misses 2-pt jump shot from 8 ft,19,10
