,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,ATLANTA_ACTION,OKLAHOMA CITY_SCORE,ATLANTA_SCORE
0,1,11:36.0,S. Adams misses 2-pt jump shot from 4 ft,,0,0
1,1,11:34.0,Offensive rebound by S. Adams,,0,0
2,1,11:22.0,Turnover by S. Adams (lost ball; steal by D. Howard),,0,0
3,1,11:22.0,,K. Bazemore misses 2-pt dunk from 2 ft,0,0
4,1,11:22.0,,Offensive rebound by K. Bazemore,0,0
5,1,11:13.0,,Turnover by K. Bazemore (lost ball; steal by V. Oladipo),0,0
6,1,11:08.0,V. Oladipo misses 2-pt layup at rim,,0,0
7,1,11:08.0,,Defensive rebound by Team,0,0
8,1,10:52.0,,P. Millsap misses 2-pt layup from 3 ft,0,0
9,1,10:51.0,Defensive rebound by R. Westbrook,,0,0
10,1,10:48.0,Turnover by A. Roberson (lost ball; steal by D. Schröder),,0,0
11,1,10:21.0,,K. Bazemore misses 3-pt jump shot from 24 ft,0,0
12,1,10:20.0,,Offensive rebound by Team,0,0
13,1,10:14.0,,K. Bazemore misses 3-pt jump shot from 24 ft,0,0
14,1,10:13.0,Defensive rebound by S. Adams,,0,0
15,1,10:05.0,D. Sabonis misses 3-pt jump shot from 24 ft,,0,0
16,1,10:02.0,,Defensive rebound by D. Howard,0,0
17,1,9:54.0,,Shooting foul by A. Roberson (drawn by D. Schröder),0,0
18,1,9:54.0,,D. Schröder makes free throw 1 of 2,0,1
19,1,9:54.0,,D. Schröder makes free throw 2 of 2,0,2
20,1,9:48.0,Turnover by R. Westbrook (bad pass),,0,2
21,1,9:31.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,0,2
22,1,9:29.0,Defensive rebound by R. Westbrook,,0,2
23,1,9:20.0,Personal foul by P. Millsap (drawn by R. Westbrook),,0,2
24,1,9:10.0,R. Westbrook misses 2-pt jump shot from 20 ft,,0,2
25,1,9:09.0,,Defensive rebound by D. Howard,0,2
26,1,9:00.0,,Turnover by K. Bazemore (bad pass; steal by D. Sabonis),0,2
27,1,8:56.0,V. Oladipo misses 2-pt layup from 2 ft (block by T. Sefolosha),,0,2
28,1,8:56.0,Offensive rebound by Team,,0,2
29,1,8:52.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,3,2
30,1,8:38.0,,D. Schröder misses 2-pt jump shot from 19 ft,3,2
31,1,8:37.0,,Offensive rebound by D. Howard,3,2
32,1,8:33.0,,Turnover by D. Howard (bad pass),3,2
33,1,8:25.0,S. Adams makes 2-pt jump shot from 11 ft (assist by R. Westbrook),,5,2
34,1,8:06.0,,P. Millsap makes 2-pt jump shot from 7 ft (assist by D. Howard),5,4
35,1,7:55.0,Turnover by R. Westbrook (bad pass; steal by T. Sefolosha),,5,4
36,1,7:48.0,,T. Sefolosha makes 2-pt hook shot from 3 ft (assist by D. Schröder),5,6
37,1,7:33.0,A. Roberson misses 2-pt layup from 3 ft,,5,6
38,1,7:33.0,,Defensive rebound by Team,5,6
39,1,7:11.0,,P. Millsap makes 2-pt jump shot from 16 ft (assist by K. Bazemore),5,8
40,1,6:58.0,S. Adams misses 2-pt jump shot from 9 ft,,5,8
41,1,6:56.0,,Defensive rebound by P. Millsap,5,8
42,1,6:53.0,,Personal foul by S. Adams (drawn by D. Howard),5,8
43,1,6:53.0,,M. Muscala enters the game for D. Howard,5,8
44,1,6:46.0,,P. Millsap misses 3-pt jump shot from 25 ft,5,8
45,1,6:45.0,Defensive rebound by R. Westbrook,,5,8
46,1,6:30.0,D. Sabonis makes 2-pt hook shot from 1 ft (assist by R. Westbrook),,7,8
47,1,6:21.0,,Personal foul by D. Sabonis (drawn by P. Millsap),7,8
48,1,6:14.0,,M. Muscala makes 2-pt jump shot from 19 ft (assist by K. Bazemore),7,10
49,1,6:01.0,Shooting foul by M. Muscala (drawn by R. Westbrook),,7,10
50,1,6:01.0,R. Westbrook makes free throw 1 of 2,,8,10
51,1,6:01.0,R. Westbrook misses free throw 2 of 2,,8,10
52,1,5:57.0,Offensive rebound by S. Adams,,8,10
53,1,5:57.0,S. Adams misses 2-pt layup from 2 ft (block by M. Muscala),,8,10
54,1,5:57.0,,Defensive rebound by Team,8,10
55,1,5:57.0,Loose ball foul by S. Adams (drawn by T. Sefolosha),,8,10
56,1,5:57.0,,Atlanta full timeout,8,10
57,1,5:57.0,E. Freedom enters the game for S. Adams,,8,10
58,1,5:57.0,A. Morrow enters the game for V. Oladipo,,8,10
59,1,5:38.0,,P. Millsap misses 2-pt jump shot from 13 ft,8,10
60,1,5:36.0,Defensive rebound by R. Westbrook,,8,10
61,1,5:27.0,Shooting foul by M. Muscala (drawn by E. Freedom),,8,10
62,1,5:27.0,E. Freedom makes free throw 1 of 2,,9,10
63,1,5:27.0,E. Freedom makes free throw 2 of 2,,10,10
64,1,5:10.0,,D. Schröder makes 2-pt layup from 2 ft (assist by M. Muscala),10,12
65,1,4:58.0,E. Freedom makes 2-pt layup from 2 ft (assist by R. Westbrook),,12,12
66,1,4:44.0,,Shooting foul by D. Sabonis (drawn by M. Muscala),12,12
67,1,4:44.0,,M. Muscala makes free throw 1 of 2,12,13
68,1,4:44.0,J. Lauvergne enters the game for D. Sabonis,,12,13
69,1,4:44.0,,K. Korver enters the game for K. Bazemore,12,13
70,1,4:44.0,,M. Muscala makes free throw 2 of 2,12,14
71,1,4:31.0,Turnover by R. Westbrook (lost ball; steal by T. Sefolosha),,12,14
72,1,4:27.0,,T. Sefolosha makes 2-pt layup at rim,12,16
73,1,4:04.0,R. Westbrook misses 3-pt jump shot from 24 ft,,12,16
74,1,4:03.0,,Defensive rebound by M. Muscala,12,16
75,1,3:49.0,,Personal foul by J. Lauvergne (drawn by M. Muscala),12,16
76,1,3:49.0,,M. Muscala makes free throw 1 of 2,12,17
77,1,3:49.0,,T. Hardaway enters the game for P. Millsap,12,17
78,1,3:49.0,,M. Muscala makes free throw 2 of 2,12,18
79,1,3:23.0,E. Freedom misses 2-pt jump shot from 14 ft,,12,18
80,1,3:21.0,,Defensive rebound by D. Schröder,12,18
81,1,3:14.0,,T. Hardaway misses 3-pt jump shot from 24 ft,12,18
82,1,3:12.0,Defensive rebound by R. Westbrook,,12,18
83,1,3:09.0,Turnover by R. Westbrook (lost ball; steal by K. Korver),,12,18
84,1,3:08.0,,Turnover by M. Muscala (lost ball),12,18
85,1,3:08.0,Oklahoma City full timeout,,12,18
86,1,3:08.0,,P. Millsap enters the game for T. Sefolosha,12,18
87,1,3:08.0,,D. Howard enters the game for M. Muscala,12,18
88,1,3:08.0,V. Oladipo enters the game for A. Roberson,,12,18
89,1,3:08.0,S. Christon enters the game for R. Westbrook,,12,18
90,1,3:05.0,A. Morrow misses 2-pt jump shot from 20 ft,,12,18
91,1,3:02.0,,Defensive rebound by T. Hardaway,12,18
92,1,2:58.0,,Offensive foul by D. Howard (drawn by E. Freedom),12,18
93,1,2:58.0,,Turnover by D. Howard (offensive foul),12,18
94,1,2:43.0,V. Oladipo misses 3-pt jump shot from 24 ft,,12,18
95,1,2:41.0,Offensive rebound by J. Lauvergne,,12,18
96,1,2:37.0,A. Morrow makes 3-pt jump shot from 25 ft (assist by J. Lauvergne),,15,18
97,1,2:27.0,,Personal foul by V. Oladipo (drawn by P. Millsap),15,18
98,1,2:27.0,,P. Millsap makes free throw 1 of 2,15,19
99,1,2:27.0,,P. Millsap misses free throw 2 of 2,15,19
100,1,2:27.0,,M. Delaney enters the game for D. Schröder,15,19
101,1,2:25.0,Defensive rebound by E. Freedom,,15,19
102,1,2:13.0,Turnover by J. Lauvergne (bad pass; steal by T. Hardaway),,15,19
103,1,2:02.0,,D. Howard misses 2-pt layup from 2 ft (block by J. Lauvergne),15,19
104,1,2:02.0,Defensive rebound by Team,,15,19
105,1,1:48.0,J. Lauvergne makes 2-pt layup from 2 ft (assist by S. Christon),,17,19
106,1,1:29.0,,Turnover by D. Howard (lost ball; steal by J. Lauvergne),17,19
107,1,1:19.0,Turnover by J. Lauvergne (bad pass; steal by P. Millsap),,17,19
108,1,1:15.0,,P. Millsap makes 2-pt layup from 2 ft (assist by T. Hardaway),17,21
109,1,1:15.0,,Shooting foul by J. Lauvergne (drawn by P. Millsap),17,21
110,1,1:15.0,,P. Millsap misses free throw 1 of 1,17,21
111,1,1:15.0,J. Grant enters the game for J. Lauvergne,,17,21
112,1,1:13.0,Defensive rebound by J. Grant,,17,21
113,1,0:58.0,Shooting foul by D. Howard (drawn by E. Freedom),,17,21
114,1,0:58.0,E. Freedom misses free throw 1 of 2,,17,21
115,1,0:58.0,Offensive rebound by Team,,17,21
116,1,0:58.0,,K. Humphries enters the game for D. Howard,17,21
117,1,0:58.0,E. Freedom makes free throw 2 of 2,,18,21
118,1,0:42.0,,K. Humphries misses 2-pt jump shot from 8 ft,18,21
119,1,0:40.0,Defensive rebound by E. Freedom,,18,21
120,1,0:31.0,E. Freedom makes 3-pt jump shot from 25 ft (assist by S. Christon),,21,21
121,1,0:11.0,,M. Delaney misses 2-pt jump shot from 21 ft,21,21
122,1,0:09.0,,Offensive rebound by K. Humphries,21,21
123,1,0:08.0,,Turnover by K. Humphries (lost ball; steal by J. Grant),21,21
124,1,0:01.0,J. Grant makes 2-pt dunk at rim (assist by S. Christon),,23,21
125,1,0:01.0,,Turnover by T. Hardaway (bad pass; steal by S. Christon),23,21
126,2,11:39.0,,Turnover by M. Delaney (step out of bounds),23,21
127,2,11:21.0,J. Grant makes 2-pt jump shot from 3 ft,,25,21
128,2,11:10.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by T. Hardaway),25,24
129,2,10:57.0,V. Oladipo makes 2-pt jump shot from 15 ft (assist by J. Grant),,27,24
130,2,10:43.0,,Personal foul by J. Grant (drawn by P. Millsap),27,24
131,2,10:42.0,,Personal foul by A. Morrow (drawn by T. Hardaway),27,24
132,2,10:40.0,,Personal foul by V. Oladipo (drawn by P. Millsap),27,24
133,2,10:33.0,,K. Humphries makes 2-pt layup from 2 ft (assist by M. Delaney),27,26
134,2,10:10.0,A. Morrow makes 3-pt jump shot from 24 ft (assist by E. Freedom),,30,26
135,2,9:50.0,,T. Hardaway makes 2-pt layup from 1 ft,30,28
