,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,LA LAKERS_ACTION,MEMPHIS_SCORE,LA LAKERS_SCORE
0,1,11:54.0,,B. Ingram makes 2-pt layup from 1 ft,0,2
1,1,11:36.0,W. Selden makes 2-pt dunk from 2 ft (assist by J. Ennis),,2,2
2,1,11:18.0,,Turnover by D. Russell (bad pass),2,2
3,1,11:01.0,T. Allen misses 2-pt layup from 4 ft (block by L. Nance),,2,2
4,1,11:00.0,Offensive rebound by T. Allen,,2,2
5,1,10:54.0,W. Selden misses 2-pt jump shot from 12 ft,,2,2
6,1,10:51.0,,Defensive rebound by J. Randle,2,2
7,1,10:45.0,,J. Randle makes 3-pt jump shot from 27 ft (assist by J. Clarkson),2,5
8,1,10:23.0,B. Wright misses 2-pt layup from 3 ft (block by J. Randle),,2,5
9,1,10:19.0,,Defensive rebound by D. Russell,2,5
10,1,10:05.0,,J. Clarkson misses 3-pt jump shot from 26 ft,2,5
11,1,10:04.0,Defensive rebound by W. Selden,,2,5
12,1,9:53.0,M. Conley misses 2-pt jump shot from 5 ft,,2,5
13,1,9:51.0,,Defensive rebound by J. Randle,2,5
14,1,9:45.0,,B. Ingram misses 3-pt jump shot from 24 ft,2,5
15,1,9:42.0,Defensive rebound by M. Conley,,2,5
16,1,9:38.0,T. Allen makes 2-pt layup from 2 ft (assist by M. Conley),,4,5
17,1,9:26.0,,J. Randle misses 3-pt jump shot from 26 ft,4,5
18,1,9:25.0,Defensive rebound by J. Ennis,,4,5
19,1,9:08.0,T. Allen makes 3-pt jump shot from 26 ft (assist by M. Conley),,7,5
20,1,8:40.0,,D. Russell makes 2-pt layup from 3 ft (assist by J. Clarkson),7,7
21,1,8:31.0,Personal foul by D. Russell (drawn by T. Allen),,7,7
22,1,8:23.0,B. Wright makes 2-pt dunk at rim (assist by M. Conley),,9,7
23,1,8:13.0,,D. Russell misses 2-pt jump shot from 24 ft,9,7
24,1,8:11.0,Defensive rebound by W. Selden,,9,7
25,1,8:05.0,W. Selden makes 2-pt layup from 1 ft,,11,7
26,1,7:51.0,,Turnover by L. Nance (bad pass; steal by M. Conley),11,7
27,1,7:46.0,J. Ennis makes 2-pt dunk at rim (assist by W. Selden),,13,7
28,1,7:46.0,,LA Lakers full timeout,13,7
29,1,7:27.0,,J. Clarkson makes 3-pt jump shot from 27 ft (assist by B. Ingram),13,10
30,1,7:05.0,M. Conley misses 3-pt jump shot from 27 ft,,13,10
31,1,7:04.0,,Defensive rebound by D. Russell,13,10
32,1,6:58.0,,D. Russell misses 2-pt jump shot from 10 ft,13,10
33,1,6:55.0,,Offensive rebound by L. Nance,13,10
34,1,6:43.0,,J. Clarkson misses 2-pt jump shot from 16 ft,13,10
35,1,6:40.0,Defensive rebound by J. Ennis,,13,10
36,1,6:29.0,T. Allen makes 2-pt jump shot from 5 ft,,15,10
37,1,6:14.0,,B. Ingram misses 2-pt jump shot from 6 ft,15,10
38,1,6:13.0,Defensive rebound by J. Ennis,,15,10
39,1,6:08.0,Shooting block foul by L. Nance (drawn by M. Conley),,15,10
40,1,6:08.0,M. Conley makes free throw 1 of 2,,16,10
41,1,6:08.0,M. Conley makes free throw 2 of 2,,17,10
42,1,5:56.0,,Turnover by D. Russell (bad pass; steal by T. Allen),17,10
43,1,5:50.0,M. Conley misses 3-pt jump shot from 25 ft,,17,10
44,1,5:46.0,,Defensive rebound by L. Nance,17,10
45,1,5:40.0,,B. Ingram misses 2-pt layup from 1 ft,17,10
46,1,5:39.0,,Offensive rebound by Team,17,10
47,1,5:39.0,Loose ball foul by W. Selden (drawn by B. Ingram),,17,10
48,1,5:39.0,W. Baldwin enters the game for M. Conley,,17,10
49,1,5:35.0,,J. Clarkson misses 3-pt jump shot from 25 ft,17,10
50,1,5:33.0,Defensive rebound by J. Ennis,,17,10
51,1,5:22.0,J. Ennis misses 2-pt layup from 1 ft,,17,10
52,1,5:18.0,,Defensive rebound by L. Nance,17,10
53,1,5:11.0,T. Daniels enters the game for J. Ennis,,17,10
54,1,5:11.0,Z. Randolph enters the game for T. Allen,,17,10
55,1,5:03.0,,B. Ingram makes 2-pt jump shot from 4 ft,17,12
56,1,4:43.0,B. Wright misses 2-pt hook shot from 6 ft,,17,12
57,1,4:40.0,,Defensive rebound by J. Randle,17,12
58,1,4:26.0,,J. Randle makes 2-pt layup from 2 ft,17,14
59,1,4:26.0,Memphis full timeout,,17,14
60,1,4:26.0,,T. Robinson enters the game for L. Nance,17,14
61,1,4:13.0,Turnover by W. Baldwin (bad pass),,17,14
62,1,3:59.0,,B. Ingram makes 2-pt layup from 1 ft (assist by T. Robinson),17,16
63,1,3:38.0,Z. Randolph misses 2-pt jump shot from 18 ft,,17,16
64,1,3:36.0,,Defensive rebound by T. Robinson,17,16
