,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
0,1,11:45.0,J. Lin misses 2-pt layup from 2 ft,,0,0
1,1,11:44.0,,Defensive rebound by D. Favors,0,0
2,1,11:27.0,,D. Favors makes 2-pt hook shot from 6 ft (assist by G. Hayward),0,2
3,1,11:13.0,Personal foul by J. Ingles (drawn by B. Lopez),,0,2
4,1,11:05.0,B. Lopez makes 2-pt jump shot from 13 ft (assist by J. Lin),,2,2
5,1,10:46.0,,G. Hill makes 3-pt jump shot from 25 ft,2,5
6,1,10:30.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by C. LeVert),,4,5
7,1,10:13.0,,D. Favors makes 2-pt dunk at rim (assist by G. Hill),4,7
8,1,9:58.0,Turnover by J. Lin (bad pass; steal by D. Favors),,4,7
9,1,9:41.0,,G. Hill makes 2-pt layup from 2 ft,4,9
10,1,9:24.0,B. Lopez misses 3-pt jump shot from 23 ft,,4,9
11,1,9:24.0,,Defensive rebound by D. Favors,4,9
12,1,9:16.0,,Shooting foul by J. Lin (drawn by G. Hill),4,9
13,1,9:16.0,,G. Hill makes free throw 1 of 2,4,10
14,1,9:16.0,,G. Hill makes free throw 2 of 2,4,11
15,1,9:03.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,4,11
16,1,9:02.0,,Defensive rebound by D. Favors,4,11
17,1,8:54.0,,Turnover by R. Gobert (3 sec),4,11
18,1,8:43.0,J. Lin misses 3-pt jump shot from 25 ft,,4,11
19,1,8:43.0,,Defensive rebound by G. Hill,4,11
20,1,8:34.0,,Shooting foul by R. Hollis-Jefferson (drawn by G. Hill),4,11
21,1,8:34.0,,G. Hill makes free throw 1 of 2,4,12
22,1,8:34.0,,G. Hill makes free throw 2 of 2,4,13
23,1,8:22.0,Turnover by B. Lopez (bad pass),,4,13
24,1,7:59.0,,D. Favors makes 2-pt jump shot from 7 ft,4,15
25,1,7:43.0,C. LeVert misses 3-pt jump shot from 25 ft,,4,15
26,1,7:42.0,,Defensive rebound by D. Favors,4,15
27,1,7:29.0,,J. Ingles misses 3-pt jump shot from 24 ft,4,15
28,1,7:29.0,Defensive rebound by C. LeVert,,4,15
29,1,7:17.0,R. Foye makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,7,15
30,1,7:04.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hill),7,17
31,1,7:03.0,Brooklyn full timeout,,7,17
32,1,7:03.0,S. Dinwiddie enters the game for J. Lin,,7,17
33,1,6:51.0,B. Lopez misses 2-pt hook shot from 8 ft,,7,17
34,1,6:50.0,,Defensive rebound by R. Gobert,7,17
35,1,6:41.0,,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),7,19
36,1,6:30.0,R. Foye makes 3-pt jump shot from 25 ft,,10,19
37,1,6:18.0,Violation by B. Lopez (kicked ball),,10,19
38,1,6:18.0,,D. Exum enters the game for G. Hill,10,19
39,1,6:18.0,,B. Diaw enters the game for D. Favors,10,19
40,1,6:13.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by B. Diaw),10,22
41,1,6:01.0,Personal foul by G. Hayward (drawn by R. Foye),,10,22
42,1,5:57.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by C. LeVert),,13,22
43,1,5:35.0,,B. Diaw misses 2-pt layup from 1 ft,13,22
44,1,5:34.0,Defensive rebound by B. Lopez,,13,22
45,1,5:25.0,B. Lopez misses 3-pt jump shot from 25 ft,,13,22
46,1,5:25.0,,Defensive rebound by J. Ingles,13,22
47,1,5:16.0,,Turnover by R. Gobert (traveling),13,22
48,1,5:16.0,S. Kilpatrick enters the game for R. Foye,,13,22
49,1,5:05.0,B. Lopez makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),,15,22
50,1,5:05.0,Shooting foul by D. Exum (drawn by B. Lopez),,15,22
51,1,5:05.0,,A. Burks enters the game for J. Ingles,15,22
52,1,5:05.0,J. Harris enters the game for C. LeVert,,15,22
53,1,5:05.0,T. Booker enters the game for R. Hollis-Jefferson,,15,22
54,1,5:05.0,B. Lopez makes free throw 1 of 1,,16,22
55,1,4:52.0,,D. Exum misses 3-pt jump shot from 25 ft,16,22
56,1,4:50.0,Defensive rebound by B. Lopez,,16,22
57,1,4:38.0,B. Lopez misses 2-pt jump shot from 10 ft (block by R. Gobert),,16,22
