,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:45.0,Turnover by M. Plumlee (lost ball; steal by J. Barea),,0,0
1,1,11:26.0,,N. Noel makes 2-pt layup at rim (assist by J. Barea),0,2
2,1,11:09.0,M. Plumlee misses 2-pt hook shot from 4 ft,,0,2
3,1,11:08.0,,Defensive rebound by N. Noel,0,2
4,1,10:53.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,0,2
5,1,10:52.0,Defensive rebound by M. Plumlee,,0,2
6,1,10:42.0,N. Jokić misses 2-pt jump shot from 4 ft (block by D. Nowitzki),,0,2
7,1,10:40.0,,Defensive rebound by D. Nowitzki,0,2
8,1,10:30.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,0,2
9,1,10:29.0,Defensive rebound by N. Jokić,,0,2
10,1,10:21.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,2
11,1,10:05.0,,D. Finney-Smith misses 3-pt jump shot from 24 ft,3,2
12,1,10:04.0,Defensive rebound by N. Jokić,,3,2
13,1,9:53.0,J. Murray makes 2-pt jump shot from 20 ft (assist by N. Jokić),,5,2
14,1,9:39.0,,J. Barea misses 3-pt jump shot from 26 ft,5,2
15,1,9:38.0,Defensive rebound by W. Chandler,,5,2
16,1,9:23.0,J. Murray misses 2-pt jump shot from 6 ft,,5,2
17,1,9:22.0,Offensive rebound by M. Plumlee,,5,2
18,1,9:22.0,M. Plumlee makes 2-pt layup from 1 ft,,7,2
19,1,9:06.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,7,2
20,1,9:05.0,Defensive rebound by N. Jokić,,7,2
21,1,8:56.0,W. Chandler misses 2-pt layup from 3 ft (block by D. Nowitzki),,7,2
22,1,8:53.0,Offensive rebound by W. Chandler,,7,2
23,1,8:49.0,M. Plumlee misses 2-pt layup at rim,,7,2
24,1,8:45.0,,Defensive rebound by D. Nowitzki,7,2
25,1,8:43.0,,N. Noel makes 2-pt layup from 1 ft (assist by J. Barea),7,4
26,1,8:38.0,Shooting foul by J. Barea (drawn by G. Harris),,7,4
27,1,8:38.0,G. Harris misses free throw 1 of 2,,7,4
28,1,8:38.0,Offensive rebound by Team,,7,4
29,1,8:38.0,G. Harris makes free throw 2 of 2,,8,4
30,1,8:23.0,,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),8,6
31,1,8:13.0,Turnover by J. Murray (bad pass; steal by N. Noel),,8,6
32,1,8:11.0,,N. Noel makes 2-pt dunk at rim,8,8
33,1,8:11.0,,Shooting foul by N. Jokić (drawn by N. Noel),8,8
34,1,8:11.0,,N. Noel misses free throw 1 of 1,8,8
35,1,8:10.0,Defensive rebound by N. Jokić,,8,8
36,1,7:55.0,Turnover by G. Harris (bad pass; steal by J. Barea),,8,8
37,1,7:48.0,,J. Barea misses 3-pt jump shot from 25 ft,8,8
38,1,7:47.0,,Offensive rebound by D. Finney-Smith,8,8
39,1,7:40.0,,Offensive foul by N. Noel (drawn by W. Chandler),8,8
40,1,7:40.0,,Turnover by N. Noel (offensive foul),8,8
41,1,7:32.0,Personal foul by D. Finney-Smith (drawn by W. Chandler),,8,8
42,1,7:28.0,N. Jokić misses 3-pt jump shot from 24 ft,,8,8
43,1,7:27.0,,Defensive rebound by D. Finney-Smith,8,8
44,1,7:17.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),8,11
45,1,7:03.0,G. Harris misses 3-pt jump shot from 26 ft,,8,11
46,1,7:01.0,,Defensive rebound by D. Finney-Smith,8,11
