,QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
0,1,11:47.0,,Violation by D. Liggins (kicked ball),0,0
1,1,11:37.0,Turnover by W. Chandler (lost ball; steal by L. James),,0,0
2,1,11:22.0,,D. Liggins misses 3-pt jump shot from 25 ft,0,0
3,1,11:21.0,Defensive rebound by Team,,0,0
4,1,11:05.0,D. Arthur misses 3-pt jump shot from 23 ft,,0,0
5,1,11:05.0,Offensive rebound by N. Jokić,,0,0
6,1,11:04.0,N. Jokić makes 2-pt layup from 1 ft,,2,0
7,1,10:39.0,,T. Thompson makes 2-pt layup from 1 ft (assist by L. James),2,2
8,1,10:22.0,G. Harris misses 2-pt jump shot from 16 ft,,2,2
9,1,10:21.0,,Defensive rebound by T. Thompson,2,2
10,1,10:14.0,,K. Love makes 2-pt hook shot from 7 ft (assist by L. James),2,4
11,1,9:50.0,N. Jokić makes 2-pt jump shot from 12 ft,,4,4
12,1,9:34.0,,L. James makes 2-pt layup from 1 ft,4,6
13,1,9:23.0,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),,7,6
14,1,9:18.0,,Turnover by K. Love (bad pass; steal by J. Nelson),7,6
15,1,9:12.0,Turnover by G. Harris (bad pass; steal by K. Irving),,7,6
16,1,9:05.0,,K. Love makes 3-pt jump shot from 26 ft (assist by D. Liggins),7,9
17,1,8:50.0,J. Nelson misses 3-pt jump shot from 28 ft,,7,9
18,1,8:49.0,,Defensive rebound by D. Liggins,7,9
19,1,8:45.0,,K. Irving makes 2-pt layup from 1 ft (assist by D. Liggins),7,11
20,1,8:24.0,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Nelson),,10,11
21,1,8:07.0,,K. Irving makes 2-pt jump shot from 19 ft,10,13
22,1,7:51.0,G. Harris makes 2-pt jump shot from 14 ft (assist by D. Arthur),,12,13
23,1,7:32.0,,Personal foul by J. Nelson (drawn by K. Irving),12,13
24,1,7:21.0,,K. Love misses 2-pt jump shot from 8 ft,12,13
25,1,7:20.0,,Offensive rebound by T. Thompson,12,13
26,1,7:19.0,,T. Thompson makes 2-pt dunk at rim,12,15
27,1,7:03.0,D. Arthur makes 3-pt jump shot from 24 ft (assist by J. Nelson),,15,15
28,1,6:43.0,,T. Thompson misses 2-pt hook shot from 7 ft,15,15
29,1,6:41.0,Defensive rebound by N. Jokić,,15,15
30,1,6:40.0,,Offensive charge foul by W. Chandler (drawn by L. James),15,15
31,1,6:40.0,Turnover by W. Chandler (offensive foul),,15,15
32,1,6:25.0,,L. James makes 2-pt layup from 3 ft,15,17
33,1,6:06.0,D. Arthur misses 3-pt jump shot from 24 ft,,15,17
34,1,6:06.0,,Defensive rebound by T. Thompson,15,17
35,1,5:47.0,,L. James misses 2-pt jump shot from 20 ft,15,17
36,1,5:46.0,,Offensive rebound by K. Love,15,17
37,1,5:43.0,,K. Love misses 2-pt layup from 2 ft (block by D. Arthur),15,17
38,1,5:42.0,Defensive rebound by G. Harris,,15,17
39,1,5:36.0,W. Chandler misses 3-pt jump shot from 25 ft,,15,17
40,1,5:35.0,Offensive rebound by D. Arthur,,15,17
41,1,5:32.0,Shooting foul by K. Irving (drawn by N. Jokić),,15,17
42,1,5:32.0,,Cleveland full timeout,15,17
43,1,5:32.0,N. Jokić misses free throw 1 of 2,,15,17
