,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BROOKLYN_ACTION,LA LAKERS_SCORE,BROOKLYN_SCORE
0,1,11:49.0,,Shooting foul by N. Young (drawn by S. Kilpatrick),0,0
1,1,11:49.0,,S. Kilpatrick makes free throw 1 of 2,0,1
2,1,11:49.0,,S. Kilpatrick makes free throw 2 of 2,0,2
3,1,11:33.0,T. Mozgov makes 2-pt dunk at rim (assist by D. Russell),,2,2
4,1,11:25.0,,Brooklyn full timeout,2,2
5,1,11:12.0,,B. Lopez misses 2-pt jump shot from 8 ft,2,2
6,1,11:10.0,Defensive rebound by T. Mozgov,,2,2
7,1,10:56.0,N. Young makes 2-pt jump shot from 18 ft,,4,2
8,1,10:32.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,4,2
9,1,10:31.0,,Offensive rebound by T. Booker,4,2
10,1,10:28.0,,B. Lopez makes 2-pt layup from 2 ft (assist by T. Booker),4,4
11,1,10:28.0,,Shooting foul by D. Russell (drawn by B. Lopez),4,4
12,1,10:28.0,,B. Lopez misses free throw 1 of 1,4,4
13,1,10:27.0,Defensive rebound by J. Randle,,4,4
14,1,10:13.0,N. Young misses 3-pt jump shot from 22 ft,,4,4
15,1,10:12.0,,Defensive rebound by T. Booker,4,4
16,1,10:03.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by T. Booker),4,7
17,1,9:52.0,D. Russell misses 3-pt jump shot from 25 ft,,4,7
18,1,9:51.0,,Defensive rebound by T. Booker,4,7
19,1,9:44.0,,Shooting foul by D. Russell (drawn by B. Bogdanović),4,7
20,1,9:44.0,,B. Bogdanović makes free throw 1 of 2,4,8
21,1,9:44.0,,B. Bogdanović makes free throw 2 of 2,4,9
22,1,9:29.0,N. Young makes 3-pt jump shot from 25 ft (assist by L. Deng),,7,9
23,1,9:15.0,,B. Lopez misses 3-pt jump shot from 25 ft,7,9
24,1,9:14.0,,Offensive rebound by T. Booker,7,9
25,1,9:11.0,,T. Booker misses 2-pt jump shot from 4 ft,7,9
26,1,9:10.0,Defensive rebound by T. Mozgov,,7,9
27,1,8:56.0,T. Mozgov misses 2-pt layup from 3 ft,,7,9
28,1,8:55.0,Offensive rebound by T. Mozgov,,7,9
29,1,8:53.0,T. Mozgov makes 2-pt layup from 1 ft,,9,9
30,1,8:49.0,Violation by L. Deng (kicked ball),,9,9
31,1,8:39.0,,I. Whitehead misses 2-pt jump shot from 14 ft,9,9
32,1,8:38.0,,Offensive rebound by I. Whitehead,9,9
33,1,8:34.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,9,9
34,1,8:33.0,Defensive rebound by T. Mozgov,,9,9
35,1,8:24.0,N. Young misses 2-pt jump shot from 19 ft,,9,9
36,1,8:23.0,,Defensive rebound by T. Booker,9,9
37,1,8:17.0,,T. Booker makes 2-pt layup from 2 ft,9,11
38,1,8:03.0,J. Randle makes 2-pt jump shot from 10 ft,,11,11
39,1,7:53.0,,T. Booker misses 2-pt jump shot from 18 ft,11,11
40,1,7:52.0,Defensive rebound by J. Randle,,11,11
41,1,7:42.0,N. Young misses 3-pt jump shot from 26 ft,,11,11
42,1,7:41.0,Offensive rebound by T. Mozgov,,11,11
43,1,7:35.0,L. Deng makes 2-pt layup from 1 ft,,13,11
44,1,7:18.0,,S. Kilpatrick misses 3-pt jump shot from 25 ft,13,11
45,1,7:17.0,Defensive rebound by L. Deng,,13,11
46,1,7:05.0,L. Deng misses 2-pt jump shot from 14 ft (block by T. Booker),,13,11
47,1,7:04.0,,Defensive rebound by Team,13,11
48,1,6:50.0,,S. Kilpatrick misses 2-pt layup from 3 ft (block by N. Young),13,11
49,1,6:48.0,Defensive rebound by L. Deng,,13,11
50,1,6:38.0,L. Deng misses 3-pt jump shot from 24 ft,,13,11
51,1,6:36.0,,Defensive rebound by S. Kilpatrick,13,11
52,1,6:34.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by S. Kilpatrick),13,13
53,1,6:12.0,J. Randle misses 2-pt jump shot from 19 ft,,13,13
54,1,6:11.0,Offensive rebound by L. Deng,,13,13
55,1,6:09.0,L. Deng makes 2-pt layup from 2 ft,,15,13
56,1,5:46.0,,I. Whitehead makes 2-pt jump shot from 6 ft,15,15
57,1,5:22.0,Shooting foul by B. Lopez (drawn by T. Mozgov),,15,15
58,1,5:22.0,T. Mozgov misses free throw 1 of 2,,15,15
59,1,5:22.0,Offensive rebound by Team,,15,15
60,1,5:22.0,,J. Harris enters the game for I. Whitehead,15,15
61,1,5:22.0,,A. Bennett enters the game for B. Lopez,15,15
62,1,5:22.0,J. Clarkson enters the game for N. Young,,15,15
63,1,5:22.0,B. Ingram enters the game for L. Deng,,15,15
64,1,5:22.0,T. Mozgov makes free throw 2 of 2,,16,15
65,1,5:13.0,,Shooting foul by D. Russell (drawn by S. Kilpatrick),16,15
66,1,5:13.0,,S. Kilpatrick makes free throw 1 of 2,16,16
67,1,5:13.0,L. Nance enters the game for T. Mozgov,,16,16
68,1,5:13.0,L. Williams enters the game for D. Russell,,16,16
69,1,5:13.0,,S. Kilpatrick makes free throw 2 of 2,16,17
70,1,4:58.0,J. Clarkson misses 2-pt jump shot from 19 ft,,16,17
71,1,4:56.0,,Defensive rebound by A. Bennett,16,17
72,1,4:39.0,,A. Bennett misses 2-pt layup from 1 ft (block by L. Nance),16,17
73,1,4:36.0,Defensive rebound by B. Ingram,,16,17
74,1,4:32.0,B. Ingram misses 3-pt jump shot from 26 ft,,16,17
75,1,4:31.0,,Defensive rebound by T. Booker,16,17
76,1,4:26.0,,Shooting foul by L. Williams (drawn by A. Bennett),16,17
77,1,4:26.0,,A. Bennett makes free throw 1 of 2,16,18
78,1,4:26.0,,S. Dinwiddie enters the game for S. Kilpatrick,16,18
79,1,4:26.0,,A. Bennett makes free throw 2 of 2,16,19
80,1,4:06.0,J. Randle makes 2-pt jump shot from 6 ft,,18,19
81,1,4:06.0,Shooting foul by T. Booker (drawn by J. Randle),,18,19
82,1,4:06.0,J. Randle makes free throw 1 of 1,,19,19
83,1,3:42.0,,S. Dinwiddie misses 3-pt jump shot from 27 ft,19,19
84,1,3:41.0,Defensive rebound by Team,,19,19
