,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
384,4,4:24.0,Memphis full timeout,,91,81
385,4,4:24.0,,J. Leuer enters the game for T. Harris,91,81
386,4,4:12.0,T. Daniels misses 2-pt jump shot from 18 ft,,91,81
387,4,4:12.0,,Defensive rebound by A. Drummond,91,81
388,4,4:00.0,,A. Drummond misses 2-pt layup from 1 ft (block by M. Gasol),91,81
389,4,3:58.0,Defensive rebound by M. Conley,,91,81
390,4,3:35.0,M. Gasol makes 2-pt jump shot from 16 ft,,93,81
391,4,3:20.0,,Turnover by R. Jackson (bad pass; steal by T. Daniels),93,81
392,4,3:00.0,M. Conley misses 2-pt jump shot from 6 ft,,93,81
393,4,3:00.0,,Defensive rebound by M. Morris,93,81
394,4,3:00.0,,Personal foul by J. Green (drawn by M. Morris),93,81
395,4,3:00.0,,M. Morris misses free throw 1 of 2,93,81
396,4,3:00.0,,Offensive rebound by Team,93,81
397,4,3:00.0,A. Harrison enters the game for J. Ennis,,93,81
398,4,3:00.0,,I. Smith enters the game for R. Jackson,93,81
399,4,3:00.0,,M. Morris makes free throw 2 of 2,93,82
400,4,2:41.0,M. Conley misses 3-pt jump shot from 26 ft,,93,82
401,4,2:40.0,,Defensive rebound by Team,93,82
402,4,2:28.0,,A. Drummond misses 2-pt dunk at rim,93,82
403,4,2:28.0,,Offensive rebound by A. Drummond,93,82
404,4,2:28.0,,Shooting foul by M. Gasol (drawn by A. Drummond),93,82
405,4,2:28.0,,A. Drummond misses free throw 1 of 2,93,82
406,4,2:28.0,,Offensive rebound by Team,93,82
407,4,2:28.0,,A. Drummond makes free throw 2 of 2,93,83
408,4,2:01.0,M. Gasol misses 2-pt layup from 2 ft,,93,83
409,4,2:00.0,Offensive rebound by J. Green,,93,83
410,4,1:57.0,J. Green misses 2-pt layup at rim,,93,83
411,4,1:55.0,,Defensive rebound by A. Drummond,93,83
412,4,1:55.0,,Turnover by K. Caldwell-Pope (traveling),93,83
413,4,1:35.0,M. Gasol makes 2-pt jump shot from 11 ft,,95,83
414,4,1:22.0,,M. Morris misses 2-pt jump shot from 18 ft,95,83
415,4,1:21.0,,Offensive rebound by A. Drummond,95,83
416,4,1:19.0,,A. Drummond makes 2-pt hook shot from 7 ft,95,85
417,4,1:15.0,Personal foul by M. Morris (drawn by A. Harrison),,95,85
418,4,1:03.0,Shooting foul by A. Drummond (drawn by J. Green),,95,85
419,4,1:03.0,J. Green makes free throw 1 of 2,,96,85
420,4,1:03.0,J. Green makes free throw 2 of 2,,97,85
421,4,0:56.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,97,85
422,4,0:55.0,Defensive rebound by A. Harrison,,97,85
423,4,0:36.0,Shooting foul by A. Drummond (drawn by M. Gasol),,97,85
424,4,0:36.0,M. Gasol misses free throw 1 of 2,,97,85
425,4,0:36.0,Offensive rebound by Team,,97,85
426,4,0:36.0,T. Williams enters the game for M. Conley,,97,85
427,4,0:36.0,M. Gasol makes free throw 2 of 2,,98,85
428,4,0:35.0,,Personal take foul by A. Harrison (drawn by I. Smith),98,85
429,4,0:35.0,,I. Smith misses free throw 1 of 2,98,85
430,4,0:35.0,,Offensive rebound by Team,98,85
431,4,0:35.0,J. Martin enters the game for M. Gasol,,98,85
432,4,0:35.0,,I. Smith makes free throw 2 of 2,98,86
433,4,0:17.0,T. Daniels misses 3-pt jump shot from 26 ft,,98,86
434,4,0:14.0,,Defensive rebound by A. Drummond,98,86
435,4,0:12.0,,Turnover by A. Drummond (bad pass),98,86
