,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
202,3,11:34.0,,Defensive rebound by K. Caldwell-Pope,53,44
203,3,11:26.0,,M. Morris misses 3-pt jump shot from 25 ft,53,44
204,3,11:26.0,Defensive rebound by M. Conley,,53,44
205,3,11:15.0,M. Conley makes 3-pt jump shot from 25 ft,,56,44
206,3,10:51.0,,A. Drummond makes 2-pt dunk at rim (assist by T. Harris),56,46
207,3,10:39.0,M. Conley misses 2-pt jump shot from 7 ft,,56,46
208,3,10:38.0,,Defensive rebound by T. Harris,56,46
209,3,10:29.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by T. Harris),56,49
210,3,10:05.0,M. Gasol makes 2-pt layup from 1 ft (assist by C. Parsons),,58,49
211,3,9:43.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by T. Harris),58,51
212,3,9:18.0,M. Conley misses 3-pt jump shot from 27 ft,,58,51
213,3,9:18.0,,Defensive rebound by M. Morris,58,51
214,3,9:02.0,,T. Harris misses 2-pt jump shot from 15 ft,58,51
215,3,8:59.0,,Offensive rebound by A. Drummond,58,51
216,3,8:57.0,,A. Drummond misses 2-pt layup from 2 ft (block by M. Gasol),58,51
217,3,8:57.0,,Offensive rebound by A. Drummond,58,51
218,3,8:57.0,,Shooting foul by T. Allen (drawn by A. Drummond),58,51
219,3,8:57.0,,A. Drummond makes free throw 1 of 2,58,52
220,3,8:57.0,,A. Drummond misses free throw 2 of 2,58,52
221,3,8:57.0,Defensive rebound by J. Green,,58,52
222,3,8:35.0,M. Gasol makes 2-pt dunk at rim (assist by J. Green),,60,52
223,3,8:11.0,,R. Jackson misses 2-pt layup at rim,60,52
224,3,8:11.0,,Offensive rebound by A. Drummond,60,52
225,3,8:11.0,,Shooting foul by M. Conley (drawn by A. Drummond),60,52
226,3,8:11.0,,A. Drummond makes free throw 1 of 2,60,53
227,3,8:11.0,,A. Drummond makes free throw 2 of 2,60,54
228,3,7:57.0,T. Allen misses 2-pt jump shot from 7 ft,,60,54
229,3,7:57.0,Offensive rebound by J. Green,,60,54
230,3,7:56.0,Turnover by J. Green (back court),,60,54
231,3,7:44.0,,M. Morris misses 2-pt jump shot from 15 ft,60,54
232,3,7:43.0,Defensive rebound by M. Gasol,,60,54
233,3,7:37.0,Personal foul by R. Jackson (drawn by M. Conley),,60,54
234,3,7:28.0,J. Green makes 3-pt jump shot from 27 ft (assist by M. Gasol),,63,54
235,3,7:08.0,,Shooting foul by M. Conley (drawn by M. Morris),63,54
236,3,7:08.0,,M. Morris makes free throw 1 of 2,63,55
237,3,7:08.0,J. Ennis enters the game for C. Parsons,,63,55
238,3,7:08.0,,M. Morris makes free throw 2 of 2,63,56
239,3,6:50.0,M. Conley misses 2-pt layup at rim,,63,56
240,3,6:50.0,,Defensive rebound by A. Drummond,63,56
241,3,6:41.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by R. Jackson),63,59
242,3,6:14.0,M. Gasol makes 2-pt jump shot from 14 ft,,65,59
243,3,5:57.0,,R. Jackson makes 2-pt layup at rim (assist by A. Drummond),65,61
244,3,5:40.0,Shooting foul by A. Drummond (drawn by M. Gasol),,65,61
245,3,5:40.0,,Detroit full timeout,65,61
246,3,5:40.0,M. Gasol makes free throw 1 of 2,,66,61
247,3,5:40.0,A. Harrison enters the game for M. Conley,,65,61
248,3,5:40.0,M. Gasol misses free throw 2 of 2,,66,61
249,3,5:39.0,,Defensive rebound by A. Drummond,66,61
250,3,5:15.0,,R. Jackson misses 3-pt jump shot from 25 ft,66,61
251,3,5:15.0,Defensive rebound by J. Green,,66,61
252,3,5:04.0,Offensive foul by T. Allen (drawn by M. Morris),,66,61
253,3,5:04.0,Turnover by T. Allen (offensive foul),,66,61
254,3,4:47.0,,T. Harris misses 2-pt layup from 1 ft,66,61
255,3,4:47.0,Defensive rebound by J. Ennis,,66,61
256,3,4:30.0,T. Allen misses 2-pt layup from 1 ft,,66,61
257,3,4:30.0,,Defensive rebound by M. Morris,66,61
258,3,4:21.0,,Turnover by M. Morris (bad pass; steal by J. Ennis),66,61
259,3,4:16.0,T. Allen makes 2-pt layup at rim (assist by J. Green),,68,61
260,3,4:02.0,,T. Harris misses 3-pt jump shot from 23 ft,68,61
261,3,4:01.0,Defensive rebound by J. Green,,68,61
262,3,3:54.0,Shooting foul by R. Jackson (drawn by A. Harrison),,68,61
263,3,3:54.0,A. Harrison makes free throw 1 of 2,,69,61
264,3,3:54.0,,I. Smith enters the game for R. Jackson,69,61
265,3,3:54.0,,J. Leuer enters the game for M. Morris,69,61
266,3,3:54.0,V. Carter enters the game for T. Allen,,69,61
267,3,3:54.0,A. Harrison makes free throw 2 of 2,,70,61
268,3,3:38.0,,J. Leuer misses 3-pt jump shot from 26 ft,70,61
269,3,3:37.0,Defensive rebound by M. Gasol,,70,61
270,3,3:24.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by J. Ennis),,72,61
271,3,3:24.0,,Detroit full timeout,72,61
272,3,3:10.0,,T. Harris misses 2-pt jump shot from 7 ft,72,61
273,3,3:09.0,Defensive rebound by J. Ennis,,72,61
274,3,2:56.0,J. Green misses 3-pt jump shot from 23 ft,,72,61
275,3,2:55.0,,Defensive rebound by I. Smith,72,61
276,3,2:47.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,72,61
277,3,2:47.0,Defensive rebound by J. Green,,72,61
278,3,2:33.0,Personal foul by J. Leuer (drawn by M. Gasol),,72,61
279,3,2:33.0,Z. Randolph enters the game for J. Green,,72,61
280,3,2:24.0,Shooting foul by I. Smith (drawn by A. Harrison),,72,61
281,3,2:24.0,A. Harrison makes free throw 1 of 2,,73,61
282,3,2:24.0,A. Harrison makes free throw 2 of 2,,74,61
