,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
0,1,11:40.0,D. Cousins misses 2-pt jump shot from 10 ft,,0,0
1,1,11:35.0,Offensive rebound by H. Thompson,,0,0
2,1,11:35.0,H. Thompson misses 2-pt layup from 2 ft,,0,0
3,1,11:30.0,,Defensive rebound by D. Russell,0,0
4,1,11:21.0,,D. Russell misses 3-pt jump shot from 25 ft,0,0
5,1,11:20.0,Defensive rebound by D. Cousins,,0,0
6,1,11:11.0,J. Holiday misses 2-pt layup from 2 ft,,0,0
7,1,11:08.0,,Defensive rebound by B. Ingram,0,0
8,1,10:56.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by D. Russell),0,3
9,1,10:38.0,S. Hill misses 3-pt jump shot from 26 ft,,0,3
10,1,10:37.0,,Defensive rebound by N. Young,0,3
11,1,10:35.0,,Turnover by D. Russell (lost ball),0,3
12,1,10:26.0,Shooting foul by T. Black (drawn by J. Holiday),,0,3
13,1,10:26.0,J. Holiday misses free throw 1 of 2,,0,3
14,1,10:26.0,Offensive rebound by Team,,0,3
15,1,10:26.0,J. Holiday makes free throw 2 of 2,,1,3
16,1,10:14.0,,J. Randle misses 2-pt jump shot from 21 ft,1,3
17,1,10:13.0,Defensive rebound by S. Hill,,1,3
18,1,10:04.0,A. Davis misses 2-pt jump shot from 20 ft,,1,3
19,1,10:03.0,,Defensive rebound by D. Russell,1,3
20,1,9:51.0,,D. Russell misses 2-pt jump shot from 20 ft,1,3
21,1,9:50.0,,Offensive rebound by T. Black,1,3
22,1,9:38.0,,B. Ingram misses 3-pt jump shot from 24 ft,1,3
23,1,9:37.0,Defensive rebound by S. Hill,,1,3
24,1,9:20.0,,Offensive charge foul by D. Cousins (drawn by T. Black),1,3
25,1,9:20.0,Turnover by D. Cousins (offensive foul),,1,3
26,1,9:08.0,,N. Young misses 3-pt jump shot from 25 ft,1,3
27,1,9:07.0,Defensive rebound by A. Davis,,1,3
28,1,8:56.0,D. Cousins makes 3-pt jump shot from 27 ft (assist by J. Holiday),,4,3
29,1,8:42.0,,J. Randle misses 2-pt jump shot from 5 ft,4,3
30,1,8:41.0,,Offensive rebound by T. Black,4,3
31,1,8:41.0,,T. Black misses 2-pt layup from 2 ft,4,3
32,1,8:39.0,,Offensive rebound by T. Black,4,3
33,1,8:38.0,,T. Black makes 2-pt hook shot from 7 ft,4,5
34,1,8:26.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,6,5
35,1,8:13.0,,B. Ingram misses 2-pt layup from 1 ft (block by A. Davis),6,5
36,1,8:13.0,,Offensive rebound by Team,6,5
37,1,8:11.0,,Turnover by D. Russell (bad pass; steal by H. Thompson),6,5
38,1,8:02.0,S. Hill misses 3-pt jump shot from 25 ft,,6,5
39,1,8:01.0,,Defensive rebound by J. Randle,6,5
40,1,7:52.0,,N. Young makes 2-pt dunk from 1 ft (assist by J. Randle),6,7
41,1,7:46.0,D. Cousins makes 2-pt layup from 1 ft (assist by J. Holiday),,8,7
42,1,7:42.0,,Turnover by D. Russell (bad pass),8,7
43,1,7:26.0,Shooting foul by T. Black (drawn by D. Cousins),,8,7
44,1,7:26.0,D. Cousins misses free throw 1 of 2,,8,7
45,1,7:26.0,Offensive rebound by Team,,8,7
46,1,7:26.0,,T. Mozgov enters the game for T. Black,8,7
47,1,7:26.0,D. Cousins makes free throw 2 of 2,,9,7
48,1,7:15.0,,Turnover by B. Ingram (bad pass; steal by H. Thompson),9,7
49,1,7:05.0,Shooting foul by T. Mozgov (drawn by A. Davis),,9,7
50,1,7:05.0,A. Davis makes free throw 1 of 2,,10,7
51,1,7:05.0,A. Davis misses free throw 2 of 2,,10,7
52,1,7:03.0,Offensive rebound by D. Cousins,,10,7
53,1,6:49.0,A. Davis misses 2-pt jump shot from 16 ft,,10,7
54,1,6:44.0,,Defensive rebound by T. Mozgov,10,7
55,1,6:29.0,,J. Randle makes 2-pt layup from 1 ft (assist by D. Russell),10,9
56,1,6:14.0,Shooting foul by T. Mozgov (drawn by A. Davis),,10,9
57,1,6:14.0,A. Davis misses free throw 1 of 2,,10,9
58,1,6:14.0,Offensive rebound by Team,,10,9
59,1,6:14.0,A. Davis makes free throw 2 of 2,,11,9
60,1,6:04.0,,D. Russell misses 3-pt jump shot from 25 ft,11,9
61,1,6:02.0,,Offensive rebound by J. Randle,11,9
62,1,5:57.0,,Shooting foul by H. Thompson (drawn by B. Ingram),11,9
63,1,5:57.0,,LA Lakers full timeout,11,9
64,1,5:57.0,,B. Ingram misses free throw 1 of 2,11,9
65,1,5:57.0,,Offensive rebound by Team,11,9
66,1,5:57.0,,B. Ingram misses free throw 2 of 2,11,9
67,1,5:56.0,Defensive rebound by D. Cousins,,11,9
68,1,5:37.0,D. Cousins misses 2-pt jump shot from 7 ft,,11,9
69,1,5:34.0,Offensive rebound by D. Cousins,,11,9
70,1,5:32.0,D. Cousins misses 2-pt layup from 1 ft,,11,9
71,1,5:28.0,Offensive rebound by D. Cousins,,11,9
72,1,5:19.0,J. Holiday misses 2-pt jump shot from 17 ft,,11,9
73,1,5:16.0,,Defensive rebound by J. Randle,11,9
74,1,4:53.0,,J. Randle misses 2-pt jump shot from 19 ft,11,9
75,1,4:52.0,,Offensive rebound by T. Mozgov,11,9
76,1,4:48.0,,D. Russell misses 2-pt layup from 2 ft,11,9
77,1,4:45.0,Defensive rebound by D. Cousins,,11,9
78,1,4:38.0,Turnover by D. Cousins (lost ball; steal by J. Randle),,11,9
79,1,4:33.0,,D. Russell makes 2-pt layup from 3 ft (assist by J. Randle),11,11
80,1,4:25.0,S. Hill misses 2-pt layup from 2 ft,,11,11
81,1,4:23.0,Offensive rebound by D. Cousins,,11,11
82,1,4:23.0,D. Cousins misses 2-pt layup from 1 ft,,11,11
83,1,4:21.0,,Defensive rebound by J. Randle,11,11
84,1,4:14.0,,N. Young makes 3-pt jump shot from 26 ft (assist by D. Russell),11,14
85,1,4:01.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),,14,14
86,1,3:40.0,,T. Mozgov makes 2-pt jump shot from 18 ft (assist by J. Randle),14,16
87,1,3:31.0,Shooting foul by N. Young (drawn by J. Holiday),,14,16
88,1,3:31.0,J. Holiday makes free throw 1 of 2,,15,16
89,1,3:31.0,A. Ajinça enters the game for D. Cousins,,15,16
90,1,3:31.0,E. Moore enters the game for H. Thompson,,15,16
91,1,3:31.0,,J. Clarkson enters the game for N. Young,15,16
92,1,3:31.0,,L. Nance enters the game for T. Mozgov,15,16
93,1,3:31.0,J. Holiday makes free throw 2 of 2,,16,16
94,1,3:11.0,,Turnover by B. Ingram (bad pass),16,16
95,1,3:01.0,J. Holiday makes 2-pt layup from 2 ft,,18,16
96,1,2:38.0,,D. Russell makes 2-pt jump shot from 4 ft (assist by B. Ingram),18,18
97,1,2:18.0,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),,20,18
98,1,2:02.0,,D. Russell misses 3-pt jump shot from 25 ft,20,18
99,1,2:01.0,,Offensive rebound by L. Nance,20,18
100,1,2:00.0,,L. Nance misses 2-pt layup from 1 ft,20,18
101,1,1:58.0,Defensive rebound by E. Moore,,20,18
