,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
0,1,11:43.0,M. Harrell makes 2-pt dunk from 2 ft (assist by J. Harden),,2,0
1,1,11:24.0,,Turnover by J. Teague (bad pass; steal by T. Ariza),2,0
2,1,11:10.0,M. Harrell misses 2-pt layup from 2 ft (block by P. George),,2,0
3,1,11:09.0,,Defensive rebound by C. Miles,2,0
4,1,11:02.0,,T. Young misses 3-pt jump shot from 24 ft,2,0
5,1,11:01.0,Defensive rebound by T. Ariza,,2,0
6,1,10:50.0,P. Beverley misses 2-pt jump shot from 5 ft,,2,0
7,1,10:49.0,Offensive rebound by M. Harrell,,2,0
8,1,10:49.0,M. Harrell misses 2-pt layup from 2 ft,,2,0
9,1,10:45.0,Offensive rebound by M. Harrell,,2,0
10,1,10:35.0,R. Anderson misses 2-pt jump shot from 14 ft,,2,0
11,1,10:35.0,,Defensive rebound by P. George,2,0
12,1,10:28.0,,C. Miles misses 3-pt jump shot from 27 ft,2,0
13,1,10:27.0,Defensive rebound by R. Anderson,,2,0
14,1,10:09.0,J. Harden misses 3-pt jump shot from 26 ft,,2,0
15,1,10:09.0,,Defensive rebound by M. Turner,2,0
16,1,9:58.0,,T. Young makes 2-pt layup from 3 ft (assist by J. Teague),2,2
17,1,9:52.0,Turnover by J. Harden (bad pass; steal by T. Young),,2,2
18,1,9:46.0,,P. George misses 3-pt jump shot from 24 ft,2,2
19,1,9:45.0,Defensive rebound by T. Ariza,,2,2
20,1,9:24.0,J. Harden misses 2-pt jump shot from 17 ft,,2,2
21,1,9:23.0,,Defensive rebound by M. Turner,2,2
22,1,9:11.0,,J. Teague makes 2-pt layup from 3 ft (assist by P. George),2,4
23,1,8:53.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,5,4
24,1,8:35.0,,M. Turner makes 2-pt layup from 4 ft,5,6
25,1,8:35.0,,Shooting foul by T. Ariza (drawn by M. Turner),5,6
26,1,8:35.0,,M. Turner makes free throw 1 of 1,5,7
27,1,8:19.0,R. Anderson makes 2-pt layup from 1 ft,,7,7
28,1,8:00.0,,M. Turner misses 2-pt layup from 4 ft,7,7
29,1,7:59.0,,Offensive rebound by T. Young,7,7
30,1,7:54.0,,P. George makes 3-pt jump shot from 24 ft (assist by T. Young),7,10
31,1,7:40.0,T. Ariza misses 2-pt layup from 2 ft,,7,10
32,1,7:39.0,Offensive rebound by M. Harrell,,7,10
33,1,7:35.0,Shooting foul by C. Miles (drawn by R. Anderson),,7,10
34,1,7:35.0,R. Anderson makes free throw 1 of 2,,8,10
35,1,7:35.0,R. Anderson makes free throw 2 of 2,,9,10
36,1,7:20.0,,Turnover by M. Turner (lost ball),9,10
37,1,7:04.0,Turnover by P. Beverley (lost ball),,9,10
