,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MEMPHIS_ACTION,MILWAUKEE_SCORE,MEMPHIS_SCORE
0,1,11:36.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by V. Carter),0,3
1,1,11:11.0,G. Antetokounmpo misses 2-pt jump shot from 22 ft,,0,3
2,1,11:10.0,,Defensive rebound by J. Green,0,3
3,1,10:57.0,,M. Conley misses 3-pt jump shot from 25 ft,0,3
4,1,10:56.0,,Offensive rebound by J. Green,0,3
5,1,10:51.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Green),0,6
6,1,10:29.0,T. Maker misses 2-pt jump shot from 14 ft,,0,6
7,1,10:29.0,,Defensive rebound by J. Green,0,6
8,1,10:21.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by V. Carter),0,8
9,1,10:00.0,T. Snell misses 3-pt jump shot from 24 ft,,0,8
10,1,9:59.0,,Defensive rebound by V. Carter,0,8
11,1,9:37.0,,T. Allen misses 2-pt jump shot from 20 ft,0,8
12,1,9:37.0,Defensive rebound by M. Dellavedova,,0,8
13,1,9:24.0,Shooting foul by M. Conley (drawn by K. Middleton),,0,8
14,1,9:24.0,K. Middleton makes free throw 1 of 2,,1,8
15,1,9:24.0,K. Middleton misses free throw 2 of 2,,1,8
16,1,9:23.0,,Defensive rebound by V. Carter,1,8
17,1,9:04.0,,M. Gasol misses 3-pt jump shot from 26 ft,1,8
18,1,9:03.0,Defensive rebound by M. Dellavedova,,1,8
19,1,8:59.0,Personal foul by J. Green (drawn by G. Antetokounmpo),,1,8
20,1,8:54.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by T. Maker),,4,8
21,1,8:37.0,,M. Conley misses 2-pt jump shot from 19 ft,4,8
22,1,8:36.0,Defensive rebound by G. Antetokounmpo,,4,8
23,1,8:30.0,G. Antetokounmpo makes 2-pt dunk at rim,,6,8
24,1,8:08.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by M. Gasol),6,11
25,1,7:57.0,M. Dellavedova makes 2-pt jump shot from 22 ft,,8,11
26,1,7:43.0,,T. Allen misses 2-pt jump shot from 3 ft (block by K. Middleton),8,11
27,1,7:41.0,Defensive rebound by K. Middleton,,8,11
28,1,7:33.0,T. Snell makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,11,11
29,1,7:24.0,,Memphis full timeout,11,11
30,1,7:24.0,G. Monroe enters the game for T. Maker,,11,11
31,1,7:12.0,,T. Allen makes 2-pt jump shot from 21 ft (assist by J. Green),11,13
32,1,6:53.0,Turnover by G. Monroe (bad pass; steal by M. Conley),,11,13
33,1,6:49.0,,M. Conley makes 2-pt layup from 1 ft,11,15
34,1,6:26.0,T. Snell makes 2-pt jump shot from 22 ft (assist by G. Antetokounmpo),,13,15
35,1,6:18.0,,Personal foul by G. Antetokounmpo (drawn by J. Green),13,15
36,1,6:18.0,M. Brogdon enters the game for M. Dellavedova,,13,15
37,1,6:09.0,,Turnover by M. Conley (bad pass; steal by G. Antetokounmpo),13,15
38,1,6:07.0,Shooting foul by V. Carter (drawn by G. Antetokounmpo),,13,15
39,1,6:07.0,G. Antetokounmpo makes free throw 1 of 2,,14,15
40,1,6:07.0,G. Antetokounmpo makes free throw 2 of 2,,15,15
41,1,5:48.0,,Turnover by M. Conley (bad pass; steal by T. Snell),15,15
42,1,5:28.0,T. Snell misses 2-pt layup from 2 ft,,15,15
43,1,5:28.0,,Defensive rebound by Team,15,15
44,1,5:28.0,,Memphis full timeout,15,15
45,1,5:28.0,J. Terry enters the game for K. Middleton,,15,15
46,1,5:10.0,,M. Gasol misses 2-pt hook shot from 10 ft,15,15
47,1,5:09.0,,Offensive rebound by J. Green,15,15
48,1,5:09.0,,J. Green misses 2-pt layup from 2 ft,15,15
49,1,5:08.0,,Offensive rebound by J. Green,15,15
50,1,5:08.0,,Shooting foul by G. Antetokounmpo (drawn by J. Green),15,15
51,1,5:08.0,,J. Green makes free throw 1 of 2,15,16
52,1,5:08.0,J. Henson enters the game for G. Antetokounmpo,,15,15
53,1,5:08.0,,A. Harrison enters the game for M. Conley,15,15
54,1,5:08.0,,J. Green makes free throw 2 of 2,15,17
55,1,4:49.0,Turnover by G. Monroe (lost ball; steal by V. Carter),,15,17
56,1,4:37.0,,J. Green misses 3-pt jump shot from 25 ft,15,17
57,1,4:35.0,,Offensive rebound by V. Carter,15,17
58,1,4:35.0,,V. Carter makes 2-pt layup from 1 ft,15,19
59,1,4:16.0,G. Monroe makes 2-pt hook shot from 4 ft,,17,19
60,1,4:05.0,,T. Allen makes 2-pt layup from 1 ft,17,21
61,1,4:05.0,,Shooting foul by J. Henson (drawn by T. Allen),17,21
62,1,4:05.0,,Z. Randolph enters the game for J. Green,17,21
63,1,4:05.0,,T. Allen makes free throw 1 of 1,17,22
64,1,3:46.0,Shooting foul by A. Harrison (drawn by J. Terry),,17,22
65,1,3:46.0,J. Terry makes free throw 1 of 2,,18,22
66,1,3:46.0,,T. Daniels enters the game for T. Allen,18,22
67,1,3:46.0,J. Terry makes free throw 2 of 2,,19,22
68,1,3:36.0,,V. Carter makes 3-pt jump shot from 25 ft,19,25
69,1,3:13.0,G. Monroe misses 2-pt jump shot from 22 ft,,19,25
70,1,3:13.0,,Defensive rebound by Team,19,25
71,1,3:02.0,,Turnover by V. Carter (lost ball; steal by T. Snell),19,25
72,1,2:55.0,T. Snell makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,22,25
73,1,2:41.0,,Shooting foul by M. Brogdon (drawn by A. Harrison),22,25
74,1,2:41.0,Milwaukee full timeout,,22,25
75,1,2:41.0,,A. Harrison makes free throw 1 of 2,22,26
76,1,2:41.0,,J. Ennis enters the game for V. Carter,22,25
77,1,2:41.0,,A. Harrison misses free throw 2 of 2,22,26
78,1,2:40.0,Defensive rebound by J. Henson,,22,26
79,1,2:21.0,G. Monroe misses 2-pt layup from 1 ft,,22,26
80,1,2:19.0,Offensive rebound by J. Henson,,22,26
