,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:43.0,C. Lee misses 2-pt jump shot from 20 ft,,0,0
1,1,11:43.0,,Defensive rebound by K. Lowry,0,0
2,1,11:21.0,,D. DeRozan misses 2-pt jump shot from 18 ft,0,0
3,1,11:20.0,Defensive rebound by C. Anthony,,0,0
4,1,11:10.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by D. Rose),,2,0
5,1,10:57.0,,Shooting block foul by C. Lee (drawn by D. DeRozan),2,0
6,1,10:57.0,,D. DeRozan misses free throw 1 of 2,2,0
7,1,10:57.0,,Offensive rebound by Team,2,0
8,1,10:57.0,,D. DeRozan makes free throw 2 of 2,2,1
9,1,10:50.0,Turnover by C. Lee (dbl dribble),,2,1
10,1,10:35.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,2,3
11,1,10:18.0,C. Anthony misses 2-pt jump shot from 19 ft,,2,3
12,1,10:17.0,,Defensive rebound by J. Valančiūnas,2,3
13,1,10:08.0,,D. DeRozan misses 2-pt jump shot from 9 ft,2,3
14,1,10:07.0,Defensive rebound by K. Porziņģis,,2,3
15,1,9:50.0,J. Noah misses 2-pt layup from 3 ft,,2,3
16,1,9:49.0,Offensive rebound by D. Rose,,2,3
17,1,9:46.0,D. Rose makes 2-pt layup from 2 ft,,4,3
18,1,9:27.0,,D. DeRozan makes 2-pt jump shot from 14 ft,4,5
19,1,9:14.0,D. Rose misses 2-pt layup from 2 ft,,4,5
20,1,9:14.0,Offensive rebound by J. Noah,,4,5
21,1,9:12.0,J. Noah misses 2-pt layup from 3 ft,,4,5
22,1,9:11.0,,Defensive rebound by D. DeRozan,4,5
23,1,8:57.0,,J. Valančiūnas misses 2-pt jump shot from 12 ft,4,5
24,1,8:56.0,Defensive rebound by C. Anthony,,4,5
25,1,8:40.0,K. Porziņģis makes 2-pt dunk at rim (assist by C. Anthony),,6,5
26,1,8:20.0,,N. Powell misses 2-pt jump shot from 20 ft,6,5
27,1,8:19.0,Defensive rebound by C. Lee,,6,5
28,1,8:03.0,C. Anthony makes 2-pt jump shot from 7 ft,,8,5
29,1,7:48.0,,D. DeRozan misses 2-pt jump shot from 13 ft,8,5
30,1,7:47.0,Defensive rebound by J. Noah,,8,5
31,1,7:38.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,8,5
32,1,7:38.0,,Defensive rebound by J. Valančiūnas,8,5
33,1,7:31.0,,Offensive foul by J. Valančiūnas (drawn by J. Noah),8,5
34,1,7:31.0,,Turnover by J. Valančiūnas (offensive foul),8,5
35,1,7:17.0,Turnover by C. Lee (bad pass; steal by J. Valančiūnas),,8,5
36,1,7:07.0,,K. Lowry makes 2-pt layup from 3 ft (assist by D. DeRozan),8,7
37,1,6:54.0,C. Anthony misses 2-pt jump shot from 12 ft,,8,7
38,1,6:54.0,Offensive rebound by K. Porziņģis,,8,7
39,1,6:50.0,K. Porziņģis makes 2-pt dunk at rim,,10,7
40,1,6:37.0,,D. DeRozan misses 2-pt jump shot from 11 ft,10,7
41,1,6:37.0,Defensive rebound by C. Lee,,10,7
42,1,6:35.0,Personal foul by D. DeRozan (drawn by C. Lee),,10,7
43,1,6:29.0,J. Noah misses 2-pt jump shot from 20 ft,,10,7
44,1,6:28.0,,Defensive rebound by J. Valančiūnas,10,7
45,1,6:18.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by D. DeRozan),10,10
46,1,6:08.0,Personal foul by P. Siakam (drawn by K. Porziņģis),,10,10
47,1,6:03.0,Turnover by K. Porziņģis (traveling),,10,10
48,1,5:54.0,,Turnover by J. Valančiūnas (lost ball; steal by J. Noah),10,10
49,1,5:48.0,C. Lee misses 3-pt jump shot from 25 ft,,10,10
50,1,5:48.0,Offensive rebound by D. Rose,,10,10
51,1,5:45.0,D. Rose misses 2-pt layup from 3 ft (block by J. Valančiūnas),,10,10
52,1,5:44.0,,Defensive rebound by N. Powell,10,10
53,1,5:39.0,,N. Powell misses 2-pt layup from 1 ft,10,10
54,1,5:39.0,,Offensive rebound by D. DeRozan,10,10
55,1,5:36.0,,D. DeRozan makes 2-pt dunk at rim,10,12
56,1,5:17.0,D. Rose makes 2-pt layup from 2 ft,,12,12
57,1,5:01.0,,K. Lowry misses 3-pt jump shot from 27 ft,12,12
58,1,5:01.0,Defensive rebound by C. Anthony,,12,12
59,1,4:53.0,C. Anthony misses 2-pt jump shot from 18 ft,,12,12
60,1,4:52.0,,Defensive rebound by Team,12,12
61,1,4:52.0,,Toronto full timeout,12,12
62,1,4:44.0,,Offensive foul by K. Lowry (drawn by D. Rose),12,12
63,1,4:44.0,,Turnover by K. Lowry (offensive foul),12,12
64,1,4:24.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,12,12
65,1,4:23.0,,Defensive rebound by J. Valančiūnas,12,12
66,1,4:17.0,,K. Lowry makes 2-pt layup from 3 ft,12,14
67,1,4:06.0,C. Lee makes 3-pt jump shot from 23 ft,,15,14
68,1,3:56.0,,D. DeRozan makes 2-pt jump shot from 5 ft,15,16
69,1,3:45.0,D. Rose makes 2-pt layup from 2 ft,,17,16
70,1,3:35.0,,Shooting foul by K. Porziņģis (drawn by J. Valančiūnas),17,16
71,1,3:35.0,,J. Valančiūnas makes free throw 1 of 2,17,17
72,1,3:35.0,L. Thomas enters the game for K. Porziņģis,,17,17
73,1,3:35.0,,P. Patterson enters the game for P. Siakam,17,17
74,1,3:35.0,,J. Valančiūnas makes free throw 2 of 2,17,18
75,1,3:23.0,L. Thomas misses 3-pt jump shot from 24 ft,,17,18
76,1,3:22.0,Offensive rebound by J. Noah,,17,18
77,1,3:19.0,J. Noah misses 2-pt layup at rim,,17,18
78,1,3:19.0,,Defensive rebound by J. Valančiūnas,17,18
79,1,3:13.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by K. Lowry),17,20
80,1,3:00.0,C. Anthony makes 2-pt jump shot from 16 ft,,19,20
81,1,2:47.0,,K. Lowry misses 2-pt jump shot from 8 ft,19,20
82,1,2:46.0,Defensive rebound by D. Rose,,19,20
83,1,2:42.0,C. Lee makes 3-pt jump shot from 24 ft (assist by D. Rose),,22,20
84,1,2:18.0,,K. Lowry makes 2-pt jump shot from 16 ft,22,22
85,1,1:57.0,Shooting foul by J. Valančiūnas (drawn by C. Anthony),,22,22
86,1,1:57.0,New York full timeout,,22,22
87,1,1:57.0,C. Anthony makes free throw 1 of 2,,23,22
88,1,1:57.0,,L. Nogueira enters the game for J. Valančiūnas,22,22
89,1,1:57.0,,C. Joseph enters the game for K. Lowry,22,22
90,1,1:57.0,W. Hernangómez enters the game for J. Noah,,23,22
91,1,1:57.0,C. Anthony misses free throw 2 of 2,,23,22
92,1,1:56.0,,Defensive rebound by P. Patterson,23,22
93,1,1:34.0,,C. Joseph misses 3-pt jump shot from 24 ft,23,22
94,1,1:33.0,Defensive rebound by C. Lee,,23,22
95,1,1:21.0,Turnover by D. Rose (bad pass; steal by P. Patterson),,23,22
