,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW ORLEANS_ACTION,PHILADELPHIA_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,G. Henderson misses 2-pt layup from 2 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Ajinça,0,0
2,1,11:30.0,,A. Ajinça makes 2-pt jump shot from 15 ft (assist by T. Frazier),0,2
3,1,11:17.0,J. Embiid misses 2-pt jump shot from 5 ft,,0,2
4,1,11:16.0,Offensive rebound by R. Covington,,0,2
5,1,10:56.0,J. Embiid misses 3-pt jump shot from 26 ft,,0,2
6,1,10:55.0,,Defensive rebound by T. Frazier,0,2
7,1,10:43.0,,T. Frazier makes 2-pt layup from 2 ft,0,4
8,1,10:30.0,S. Rodríguez makes 3-pt jump shot from 27 ft (assist by E. İlyasova),,3,4
9,1,10:16.0,,A. Ajinça misses 2-pt jump shot from 21 ft,3,4
10,1,10:15.0,Defensive rebound by G. Henderson,,3,4
11,1,10:03.0,S. Rodríguez misses 3-pt jump shot from 26 ft,,3,4
12,1,10:01.0,Offensive rebound by J. Embiid,,3,4
13,1,9:59.0,E. İlyasova misses 3-pt jump shot from 25 ft,,3,4
14,1,9:58.0,Offensive rebound by Team,,3,4
15,1,9:58.0,,Loose ball foul by A. Ajinça (drawn by J. Embiid),3,4
16,1,9:43.0,Shooting foul by A. Ajinça (drawn by E. İlyasova),,3,4
17,1,9:43.0,E. İlyasova makes free throw 1 of 2,,4,4
18,1,9:43.0,,Ö. Aşık enters the game for A. Ajinça,4,4
19,1,9:43.0,E. İlyasova makes free throw 2 of 2,,5,4
20,1,9:28.0,,Turnover by T. Frazier (bad pass; steal by E. İlyasova),5,4
21,1,9:21.0,S. Rodríguez makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,8,4
22,1,9:03.0,,A. Davis misses 2-pt layup from 2 ft (block by J. Embiid),8,4
23,1,9:01.0,Defensive rebound by G. Henderson,,8,4
24,1,8:57.0,Turnover by G. Henderson (lost ball; steal by Ö. Aşık),,8,4
25,1,8:48.0,,Offensive foul by A. Davis (drawn by J. Embiid),8,4
26,1,8:48.0,,Turnover by A. Davis (offensive foul),8,4
27,1,8:43.0,Personal foul by T. Frazier (drawn by S. Rodríguez),,8,4
28,1,8:28.0,J. Embiid misses 2-pt jump shot from 17 ft,,8,4
29,1,8:28.0,,Defensive rebound by Ö. Aşık,8,4
30,1,8:20.0,,Ö. Aşık makes 2-pt dunk at rim (assist by S. Hill),8,6
31,1,7:59.0,R. Covington misses 3-pt jump shot from 25 ft,,8,6
32,1,7:58.0,,Defensive rebound by S. Hill,8,6
33,1,7:49.0,,A. Davis makes 2-pt jump shot from 16 ft (assist by T. Frazier),8,8
34,1,7:35.0,S. Rodríguez misses 2-pt layup from 2 ft,,8,8
35,1,7:34.0,,Defensive rebound by A. Davis,8,8
36,1,7:26.0,,Turnover by A. Davis (bad pass),8,8
37,1,7:16.0,Shooting foul by T. Frazier (drawn by J. Embiid),,8,8
38,1,7:16.0,J. Embiid makes free throw 1 of 2,,9,8
39,1,7:16.0,,L. Galloway enters the game for T. Frazier,9,8
40,1,7:16.0,J. Embiid makes free throw 2 of 2,,10,8
41,1,7:03.0,,A. Davis misses 2-pt jump shot from 20 ft,10,8
42,1,7:03.0,Defensive rebound by S. Rodríguez,,10,8
43,1,6:58.0,E. İlyasova makes 2-pt dunk at rim (assist by S. Rodríguez),,12,8
44,1,6:43.0,,B. Hield misses 2-pt jump shot from 15 ft,12,8
45,1,6:42.0,Defensive rebound by S. Rodríguez,,12,8
46,1,6:36.0,Turnover by E. İlyasova (3 sec),,12,8
47,1,6:36.0,D. Šarić enters the game for R. Covington,,12,8
48,1,6:27.0,,B. Hield misses 2-pt layup from 2 ft,12,8
49,1,6:27.0,,Offensive rebound by Team,12,8
50,1,6:27.0,Loose ball foul by S. Rodríguez (drawn by Ö. Aşık),,12,8
51,1,6:21.0,,Personal foul by G. Henderson (drawn by A. Davis),12,8
52,1,6:13.0,,Shooting foul by J. Embiid (drawn by A. Davis),12,8
53,1,6:13.0,,A. Davis misses free throw 1 of 2,12,8
54,1,6:13.0,,Offensive rebound by Team,12,8
55,1,6:13.0,,A. Davis makes free throw 2 of 2,12,9
56,1,6:06.0,E. İlyasova makes 2-pt layup from 2 ft (assist by S. Rodríguez),,14,9
57,1,5:55.0,,Shooting foul by E. İlyasova (drawn by A. Davis),14,9
58,1,5:55.0,,New Orleans full timeout,14,9
59,1,5:55.0,,A. Davis makes free throw 1 of 2,14,10
60,1,5:55.0,N. Stauskas enters the game for G. Henderson,,14,9
61,1,5:55.0,,A. Davis makes free throw 2 of 2,14,11
62,1,5:48.0,Personal foul by Ö. Aşık (drawn by J. Embiid),,14,11
63,1,5:48.0,J. Embiid makes free throw 1 of 2,,15,11
64,1,5:48.0,J. Embiid makes free throw 2 of 2,,16,11
65,1,5:35.0,R. Holmes enters the game for J. Embiid,,16,11
66,1,5:28.0,,L. Galloway makes 2-pt jump shot from 17 ft,16,13
67,1,5:16.0,E. İlyasova makes 2-pt jump shot from 22 ft (assist by N. Stauskas),,18,13
68,1,5:08.0,,L. Galloway misses 2-pt layup from 3 ft,18,13
69,1,5:08.0,Defensive rebound by R. Holmes,,18,13
70,1,5:01.0,E. İlyasova makes 2-pt jump shot from 16 ft (assist by S. Rodríguez),,20,13
71,1,4:43.0,,S. Hill misses 2-pt layup from 2 ft,20,13
72,1,4:40.0,,Offensive rebound by Ö. Aşık,20,13
73,1,4:39.0,,Ö. Aşık makes 2-pt layup from 2 ft,20,15
74,1,4:39.0,,Shooting foul by R. Holmes (drawn by Ö. Aşık),20,15
