,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:36.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,0,0
1,1,11:35.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:12.0,,G. Dragić misses 3-pt jump shot from 24 ft,0,0
3,1,11:11.0,,Offensive rebound by L. Babbitt,0,0
4,1,11:01.0,,R. McGruder misses 3-pt jump shot from 24 ft,0,0
5,1,11:00.0,Defensive rebound by M. Dellavedova,,0,0
6,1,10:54.0,Personal foul by L. Babbitt (drawn by G. Antetokounmpo),,0,0
7,1,10:44.0,J. Henson makes 2-pt hook shot from 9 ft (assist by T. Snell),,2,0
8,1,10:33.0,,Personal foul by J. Henson (drawn by L. Babbitt),2,0
9,1,10:22.0,,D. Waiters makes 2-pt layup from 1 ft,2,2
10,1,10:00.0,M. Dellavedova makes 2-pt jump shot from 10 ft,,4,2
11,1,9:34.0,,L. Babbitt misses 2-pt jump shot from 9 ft,4,2
12,1,9:33.0,,Offensive rebound by H. Whiteside,4,2
13,1,9:32.0,,H. Whiteside makes 2-pt dunk at rim,4,4
14,1,9:25.0,Personal foul by R. McGruder (drawn by T. Snell),,4,4
15,1,9:21.0,Shooting foul by H. Whiteside (drawn by T. Maker),,4,4
16,1,9:21.0,T. Maker makes free throw 1 of 2,,5,4
17,1,9:21.0,T. Maker makes free throw 2 of 2,,6,4
18,1,9:10.0,,D. Waiters misses 3-pt jump shot from 25 ft,6,4
19,1,9:09.0,Defensive rebound by J. Henson,,6,4
20,1,8:58.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,9,4
21,1,8:31.0,,Shooting foul by T. Snell (drawn by D. Waiters),9,4
22,1,8:31.0,,D. Waiters makes free throw 1 of 2,9,5
23,1,8:31.0,,D. Waiters misses free throw 2 of 2,9,5
24,1,8:30.0,Defensive rebound by J. Henson,,9,5
25,1,8:07.0,M. Dellavedova misses 2-pt layup from 2 ft,,9,5
26,1,8:06.0,,Defensive rebound by H. Whiteside,9,5
27,1,7:59.0,,G. Dragić misses 2-pt layup from 1 ft,9,5
28,1,7:58.0,,Offensive rebound by Team,9,5
