,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
0,1,11:36.0,,H. Whiteside misses 2-pt hook shot from 8 ft,0,0
1,1,11:35.0,Defensive rebound by Z. Pachulia,,0,0
2,1,11:24.0,Personal foul by G. Dragić (drawn by D. Green),,0,0
3,1,11:18.0,K. Thompson misses 2-pt jump shot from 16 ft,,0,0
4,1,11:17.0,,Defensive rebound by H. Whiteside,0,0
5,1,11:02.0,,H. Whiteside makes 2-pt hook shot from 6 ft (assist by L. Babbitt),0,2
6,1,10:46.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,2
7,1,10:45.0,,Defensive rebound by L. Babbitt,0,2
8,1,10:34.0,,G. Dragić makes 2-pt jump shot from 10 ft,0,4
9,1,10:23.0,S. Curry makes 3-pt jump shot from 25 ft,,3,4
10,1,10:04.0,,D. Waiters misses 2-pt jump shot from 9 ft,3,4
11,1,10:03.0,Defensive rebound by Z. Pachulia,,3,4
12,1,9:55.0,S. Curry misses 3-pt jump shot from 24 ft,,3,4
13,1,9:54.0,,Defensive rebound by G. Dragić,3,4
14,1,9:46.0,,G. Dragić makes 2-pt jump shot from 16 ft,3,6
15,1,9:31.0,S. Curry misses 2-pt layup from 2 ft,,3,6
16,1,9:30.0,,Defensive rebound by L. Babbitt,3,6
17,1,9:20.0,,L. Babbitt makes 3-pt jump shot from 25 ft (assist by G. Dragić),3,9
18,1,9:02.0,K. Thompson makes 2-pt layup from 2 ft (assist by K. Durant),,5,9
19,1,8:50.0,,Shooting foul by K. Thompson (drawn by G. Dragić),5,9
20,1,8:50.0,,G. Dragić makes free throw 1 of 3,5,10
21,1,8:50.0,,G. Dragić misses free throw 2 of 3,5,10
22,1,8:50.0,,Offensive rebound by Team,5,10
23,1,8:50.0,,G. Dragić makes free throw 3 of 3,5,11
24,1,8:39.0,K. Durant misses 2-pt jump shot from 15 ft,,5,11
25,1,8:38.0,Offensive rebound by Z. Pachulia,,5,11
26,1,8:37.0,Z. Pachulia misses 2-pt layup from 1 ft,,5,11
27,1,8:36.0,Offensive rebound by Team,,5,11
28,1,8:35.0,,Loose ball foul by L. Babbitt (drawn by Z. Pachulia),5,11
29,1,8:27.0,K. Durant makes 2-pt layup from 1 ft,,7,11
30,1,8:07.0,,G. Dragić misses 2-pt jump shot from 12 ft,7,11
31,1,8:06.0,Defensive rebound by K. Thompson,,7,11
32,1,7:51.0,D. Green misses 3-pt jump shot from 25 ft,,7,11
33,1,7:50.0,,Defensive rebound by R. McGruder,7,11
34,1,7:42.0,,H. Whiteside misses 2-pt jump shot from 20 ft,7,11
35,1,7:41.0,Defensive rebound by D. Green,,7,11
36,1,7:31.0,S. Curry misses 2-pt layup from 1 ft,,7,11
37,1,7:30.0,,Defensive rebound by H. Whiteside,7,11
38,1,7:23.0,,H. Whiteside misses 2-pt hook shot from 9 ft,7,11
39,1,7:22.0,Defensive rebound by S. Curry,,7,11
40,1,7:12.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,7,11
41,1,7:11.0,,Defensive rebound by L. Babbitt,7,11
42,1,6:52.0,,Turnover by G. Dragić (traveling),7,11
43,1,6:52.0,,J. Johnson enters the game for L. Babbitt,7,11
44,1,6:41.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,9,11
45,1,6:19.0,,R. McGruder misses 3-pt jump shot from 25 ft,9,11
46,1,6:18.0,,Offensive rebound by Team,9,11
47,1,6:17.0,Loose ball foul by K. Thompson (drawn by H. Whiteside),,9,11
48,1,6:17.0,,W. Ellington enters the game for G. Dragić,9,11
49,1,6:17.0,I. Clark enters the game for K. Thompson,,9,11
50,1,6:13.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by W. Ellington),9,14
51,1,5:58.0,Shooting foul by H. Whiteside (drawn by Z. Pachulia),,9,14
52,1,5:58.0,,Miami full timeout,9,14
53,1,5:58.0,Z. Pachulia makes free throw 1 of 2,,10,14
54,1,5:58.0,Z. Pachulia misses free throw 2 of 2,,10,14
55,1,5:57.0,,Defensive rebound by R. McGruder,10,14
56,1,5:45.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by D. Waiters),10,17
57,1,5:33.0,S. Curry makes 3-pt jump shot from 24 ft,,13,17
58,1,5:19.0,J. McGee enters the game for Z. Pachulia,,13,17
59,1,5:10.0,,W. Ellington misses 3-pt jump shot from 25 ft,13,17
60,1,5:09.0,Defensive rebound by J. McGee,,13,17
61,1,5:01.0,J. McGee makes 2-pt hook shot from 8 ft (assist by D. Green),,15,17
62,1,4:48.0,,Def 3 sec tech foul by J. McGee,15,17
63,1,4:48.0,,W. Ellington makes technical free throw,15,18
64,1,4:48.0,,W. Reed enters the game for H. Whiteside,15,18
65,1,4:48.0,P. McCaw enters the game for D. Green,,15,18
66,1,4:36.0,,D. Waiters makes 2-pt jump shot from 22 ft,15,20
67,1,4:11.0,J. McGee misses 2-pt layup from 2 ft (block by W. Reed),,15,20
68,1,4:10.0,Offensive rebound by Team,,15,20
69,1,4:07.0,I. Clark misses 2-pt layup from 2 ft,,15,20
70,1,4:06.0,,Defensive rebound by W. Reed,15,20
71,1,3:53.0,,D. Waiters makes 2-pt jump shot from 19 ft,15,22
72,1,3:42.0,S. Curry misses 2-pt jump shot from 17 ft,,15,22
73,1,3:41.0,,Defensive rebound by W. Reed,15,22
74,1,3:39.0,,W. Reed makes 2-pt dunk at rim (assist by J. Johnson),15,24
75,1,3:39.0,Golden State full timeout,,15,24
76,1,3:32.0,Personal foul by J. Johnson (drawn by K. Durant),,15,24
77,1,3:24.0,I. Clark makes 2-pt layup from 1 ft (assist by K. Durant),,17,24
78,1,3:02.0,,W. Reed makes 2-pt dunk at rim (assist by D. Waiters),17,26
79,1,2:53.0,J. McGee makes 2-pt dunk at rim (assist by S. Curry),,19,26
80,1,2:53.0,Shooting foul by W. Reed (drawn by J. McGee),,19,26
81,1,2:53.0,J. McGee misses free throw 1 of 1,,19,26
82,1,2:52.0,,Defensive rebound by W. Reed,19,26
83,1,2:28.0,,R. McGruder misses 2-pt layup from 2 ft,19,26
84,1,2:27.0,Defensive rebound by S. Curry,,19,26
85,1,2:23.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,21,26
86,1,2:06.0,,Turnover by D. Waiters (bad pass; steal by I. Clark),21,26
87,1,1:52.0,Turnover by K. Durant (lost ball; steal by W. Ellington),,21,26
88,1,1:49.0,,Shooting foul by S. Curry (drawn by R. McGruder),21,26
89,1,1:49.0,,R. McGruder misses free throw 1 of 2,21,26
90,1,1:49.0,,Offensive rebound by Team,21,26
91,1,1:49.0,,R. McGruder misses free throw 2 of 2,21,26
92,1,1:49.0,,G. Dragić enters the game for D. Waiters,21,26
93,1,1:49.0,D. Green enters the game for K. Durant,,21,26
94,1,1:48.0,Defensive rebound by J. McGee,,21,26
95,1,1:33.0,D. Green makes 2-pt layup from 2 ft (assist by J. McGee),,23,26
96,1,1:21.0,,Turnover by R. McGruder (lost ball),23,26
97,1,1:21.0,,L. Babbitt enters the game for R. McGruder,23,26
98,1,1:10.0,J. McGee makes 2-pt dunk at rim (assist by S. Curry),,25,26
99,1,0:58.0,,J. Johnson makes 2-pt dunk at rim (assist by W. Reed),25,28
100,1,0:49.0,S. Curry misses 3-pt jump shot from 25 ft,,25,28
101,1,0:48.0,,Defensive rebound by Team,25,28
102,1,0:32.0,,G. Dragić misses 2-pt jump shot from 15 ft,25,28
103,1,0:31.0,Defensive rebound by S. Curry,,25,28
104,1,0:27.0,S. Curry makes 3-pt jump shot from 25 ft,,28,28
105,1,0:09.0,,G. Dragić misses 3-pt jump shot from 24 ft,28,28
106,1,0:08.0,Defensive rebound by J. McGee,,28,28
107,1,0:00.0,S. Curry makes 2-pt jump shot from 9 ft,,30,28
108,2,12:00.0,Violation by Team (jump ball),,30,28
109,2,11:46.0,K. Thompson makes 2-pt jump shot from 12 ft (assist by S. Livingston),,32,28
110,2,11:27.0,,W. Ellington misses 3-pt jump shot from 25 ft,32,28
111,2,11:26.0,Defensive rebound by Team,,32,28
112,2,11:12.0,J. McGee makes 2-pt layup from 1 ft (assist by K. Thompson),,34,28
113,2,10:58.0,,J. Johnson makes 2-pt jump shot from 3 ft,34,30
114,2,10:50.0,D. Green misses 3-pt jump shot from 26 ft,,34,30
115,2,10:49.0,Offensive rebound by J. McGee,,34,30
116,2,10:46.0,P. McCaw misses 3-pt jump shot from 24 ft,,34,30
117,2,10:45.0,,Defensive rebound by H. Whiteside,34,30
118,2,10:26.0,,J. Johnson misses 3-pt jump shot from 25 ft,34,30
119,2,10:25.0,Defensive rebound by K. Thompson,,34,30
120,2,10:19.0,K. Thompson misses 3-pt jump shot from 26 ft,,34,30
121,2,10:18.0,,Defensive rebound by J. Johnson,34,30
122,2,10:05.0,,H. Whiteside makes 2-pt layup from 3 ft (assist by J. Johnson),34,32
123,2,10:05.0,,Shooting foul by S. Livingston (drawn by H. Whiteside),34,32
124,2,10:05.0,,O. White enters the game for J. Johnson,34,32
125,2,10:05.0,Z. Pachulia enters the game for J. McGee,,34,32
126,2,10:05.0,,H. Whiteside makes free throw 1 of 1,34,33
127,2,9:46.0,Turnover by S. Livingston (bad pass; steal by H. Whiteside),,34,33
128,2,9:29.0,,G. Dragić misses 2-pt jump shot from 6 ft,34,33
129,2,9:28.0,,Offensive rebound by G. Dragić,34,33
130,2,9:21.0,,W. Ellington misses 3-pt jump shot from 24 ft,34,33
131,2,9:20.0,Defensive rebound by K. Thompson,,34,33
132,2,9:09.0,Personal foul by H. Whiteside (drawn by Z. Pachulia),,34,33
133,2,9:01.0,S. Livingston misses 2-pt jump shot from 12 ft,,34,33
134,2,9:00.0,Offensive rebound by Team,,34,33
135,2,8:49.0,K. Thompson misses 2-pt jump shot from 16 ft,,34,33
136,2,8:48.0,Offensive rebound by Team,,34,33
