,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PHILADELPHIA_ACTION,GOLDEN STATE_SCORE,PHILADELPHIA_SCORE
0,1,11:48.0,,D. Šarić misses 2-pt dunk at rim,0,0
1,1,11:47.0,Defensive rebound by D. Green,,0,0
2,1,11:40.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,0
3,1,11:37.0,Offensive rebound by S. Curry,,0,0
4,1,11:32.0,Shooting foul by T. McConnell (drawn by S. Curry),,0,0
5,1,11:32.0,S. Curry makes free throw 1 of 3,,1,0
6,1,11:32.0,S. Curry makes free throw 2 of 3,,2,0
7,1,11:32.0,S. Curry makes free throw 3 of 3,,3,0
8,1,11:15.0,,Turnover by J. Okafor (lost ball; steal by Z. Pachulia),3,0
9,1,11:05.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,5,0
10,1,10:51.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by D. Šarić),5,3
11,1,10:31.0,Shooting foul by R. Covington (drawn by Z. Pachulia),,5,3
12,1,10:31.0,Z. Pachulia makes free throw 1 of 2,,6,3
13,1,10:31.0,Z. Pachulia makes free throw 2 of 2,,7,3
14,1,10:16.0,,G. Henderson makes 3-pt jump shot from 23 ft (assist by D. Šarić),7,6
15,1,10:16.0,,Shooting foul by D. Green (drawn by G. Henderson),7,6
16,1,10:16.0,,G. Henderson makes free throw 1 of 1,7,7
17,1,10:10.0,S. Curry misses 3-pt jump shot from 25 ft,,7,7
18,1,10:09.0,,Defensive rebound by Team,7,7
19,1,9:47.0,,Offensive foul by J. Okafor (drawn by Z. Pachulia),7,7
20,1,9:47.0,,Turnover by J. Okafor (offensive foul),7,7
21,1,9:29.0,S. Curry makes 2-pt layup from 1 ft (assist by D. Green),,9,7
22,1,9:10.0,,D. Šarić misses 3-pt jump shot from 25 ft,9,7
23,1,9:08.0,Defensive rebound by K. Durant,,9,7
24,1,9:02.0,Turnover by K. Durant (lost ball; steal by R. Covington),,9,7
25,1,8:57.0,,J. Okafor makes 2-pt layup from 1 ft (assist by G. Henderson),9,9
26,1,8:44.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by Z. Pachulia),,11,9
27,1,8:26.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Okafor),11,11
28,1,8:12.0,Z. Pachulia makes 2-pt jump shot from 4 ft (assist by K. Thompson),,13,11
29,1,7:54.0,,T. McConnell misses 2-pt jump shot from 17 ft,13,11
30,1,7:53.0,Defensive rebound by Z. Pachulia,,13,11
31,1,7:47.0,K. Durant makes 2-pt jump shot from 4 ft,,15,11
32,1,7:32.0,,T. McConnell makes 2-pt jump shot from 8 ft,15,13
33,1,7:21.0,Shooting foul by T. McConnell (drawn by D. Green),,15,13
34,1,7:21.0,D. Green makes free throw 1 of 2,,16,13
35,1,7:21.0,,S. Rodríguez enters the game for T. McConnell,16,13
36,1,7:21.0,,N. Stauskas enters the game for G. Henderson,16,13
37,1,7:21.0,D. Green makes free throw 2 of 2,,17,13
38,1,7:05.0,,J. Okafor makes 2-pt dunk at rim,17,15
39,1,6:54.0,Z. Pachulia makes 2-pt dunk at rim (assist by K. Durant),,19,15
40,1,6:31.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by R. Covington),19,18
41,1,6:13.0,Shooting foul by J. Okafor (drawn by Z. Pachulia),,19,18
42,1,6:13.0,Z. Pachulia makes free throw 1 of 2,,20,18
43,1,6:13.0,Z. Pachulia misses free throw 2 of 2,,20,18
44,1,6:13.0,,R. Holmes enters the game for J. Okafor,20,18
45,1,6:11.0,Offensive rebound by K. Durant,,20,18
46,1,6:07.0,D. Green misses 3-pt jump shot from 26 ft,,20,18
47,1,6:04.0,Offensive rebound by K. Thompson,,20,18
48,1,5:58.0,K. Thompson misses 3-pt jump shot from 25 ft,,20,18
49,1,5:57.0,,Defensive rebound by R. Covington,20,18
50,1,5:47.0,,S. Rodríguez makes 3-pt jump shot from 25 ft (assist by D. Šarić),20,21
51,1,5:36.0,D. Green makes 2-pt dunk at rim (assist by S. Curry),,22,21
52,1,5:36.0,,Philadelphia full timeout,22,21
53,1,5:36.0,,T. Luwawu-Cabarrot enters the game for D. Šarić,22,21
54,1,5:36.0,A. Iguodala enters the game for D. Green,,22,21
55,1,5:36.0,J. McGee enters the game for Z. Pachulia,,22,21
56,1,5:27.0,,R. Holmes makes 2-pt dunk at rim (assist by S. Rodríguez),22,23
57,1,5:12.0,Turnover by K. Durant (bad pass; steal by R. Holmes),,22,23
58,1,4:59.0,,R. Holmes misses 2-pt jump shot from 18 ft,22,23
59,1,4:58.0,Defensive rebound by K. Durant,,22,23
60,1,4:46.0,K. Thompson misses 2-pt jump shot from 20 ft,,22,23
61,1,4:45.0,,Defensive rebound by S. Rodríguez,22,23
62,1,4:37.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft (block by K. Durant),22,23
63,1,4:35.0,Defensive rebound by S. Curry,,22,23
64,1,4:30.0,S. Curry misses 3-pt jump shot from 27 ft,,22,23
65,1,4:27.0,,Defensive rebound by S. Rodríguez,22,23
66,1,4:22.0,,S. Rodríguez makes 2-pt layup from 1 ft,22,25
67,1,4:09.0,K. Durant makes 2-pt dunk at rim,,24,25
68,1,3:57.0,,S. Rodríguez makes 2-pt layup from 1 ft (assist by R. Holmes),24,27
69,1,3:46.0,J. McGee misses 2-pt layup from 1 ft,,24,27
70,1,3:45.0,,Defensive rebound by R. Holmes,24,27
71,1,3:34.0,,Shooting block foul by J. McGee (drawn by T. Luwawu-Cabarrot),24,27
72,1,3:34.0,,T. Luwawu-Cabarrot makes free throw 1 of 2,24,28
73,1,3:34.0,,D. Šarić enters the game for R. Covington,24,28
74,1,3:34.0,P. McCaw enters the game for K. Thompson,,24,28
75,1,3:34.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,24,29
76,1,3:19.0,J. McGee makes 2-pt dunk at rim (assist by S. Curry),,26,29
77,1,3:08.0,,S. Rodríguez misses 2-pt layup from 1 ft (block by A. Iguodala),26,29
78,1,3:06.0,Defensive rebound by S. Curry,,26,29
79,1,3:02.0,Golden State full timeout,,26,29
