,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA CLIPPERS_ACTION,CHARLOTTE_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by B. Griffin),0,2
1,1,11:16.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,0,2
2,1,11:15.0,,Defensive rebound by D. Jordan,0,2
3,1,10:57.0,,B. Griffin misses 2-pt jump shot from 19 ft,0,2
4,1,10:56.0,Defensive rebound by M. Kidd-Gilchrist,,0,2
5,1,10:48.0,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,3,2
6,1,10:34.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by C. Paul),3,4
7,1,10:18.0,Personal foul by B. Griffin (drawn by M. Williams),,3,4
8,1,10:09.0,Turnover by N. Batum (bad pass; steal by L. Mbah a Moute),,3,4
9,1,10:01.0,,C. Paul misses 2-pt jump shot from 18 ft,3,4
10,1,9:57.0,Defensive rebound by F. Kaminsky,,3,4
11,1,9:50.0,K. Walker makes 2-pt jump shot from 19 ft,,5,4
12,1,9:42.0,,C. Paul makes 3-pt jump shot from 25 ft,5,7
13,1,9:19.0,F. Kaminsky misses 2-pt jump shot from 14 ft,,5,7
14,1,9:16.0,,Defensive rebound by D. Jordan,5,7
15,1,9:10.0,,B. Griffin makes 2-pt hook shot from 2 ft (assist by C. Paul),5,9
16,1,8:53.0,K. Walker misses 2-pt layup from 1 ft (block by D. Jordan),,5,9
17,1,8:52.0,,Defensive rebound by C. Paul,5,9
18,1,8:48.0,,Personal foul by F. Kaminsky (drawn by C. Paul),5,9
19,1,8:41.0,,J. Redick makes 2-pt jump shot from 18 ft (assist by B. Griffin),5,11
20,1,8:25.0,N. Batum misses 3-pt jump shot from 24 ft,,5,11
21,1,8:24.0,,Defensive rebound by C. Paul,5,11
22,1,8:17.0,,D. Jordan makes 2-pt hook shot from 3 ft (assist by C. Paul),5,13
23,1,8:11.0,Charlotte full timeout,,5,13
24,1,7:58.0,N. Batum misses 3-pt jump shot from 25 ft,,5,13
25,1,7:58.0,,Defensive rebound by C. Paul,5,13
26,1,7:53.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),5,15
27,1,7:32.0,K. Walker makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,8,15
