,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
0,1,11:46.0,T. Parker misses 2-pt jump shot from 9 ft (block by J. Teague),,0,0
1,1,11:45.0,,Defensive rebound by P. George,0,0
2,1,11:33.0,,K. Séraphin misses 2-pt jump shot from 18 ft,0,0
3,1,11:33.0,Defensive rebound by K. Leonard,,0,0
4,1,11:12.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,3,0
5,1,10:54.0,,M. Turner makes 3-pt jump shot from 25 ft (assist by G. Robinson),3,3
6,1,10:39.0,L. Aldridge misses 2-pt jump shot from 18 ft,,3,3
7,1,10:39.0,,Defensive rebound by M. Turner,3,3
8,1,10:14.0,,K. Séraphin misses 3-pt jump shot from 25 ft,3,3
9,1,10:13.0,Defensive rebound by D. Green,,3,3
10,1,9:51.0,T. Parker misses 2-pt jump shot from 12 ft,,3,3
11,1,9:51.0,Offensive rebound by L. Aldridge,,3,3
12,1,9:49.0,L. Aldridge misses 2-pt layup from 2 ft,,3,3
13,1,9:46.0,,Defensive rebound by K. Séraphin,3,3
14,1,9:37.0,,Turnover by K. Séraphin (bad pass; steal by K. Leonard),3,3
15,1,9:31.0,D. Green misses 3-pt jump shot from 24 ft,,3,3
16,1,9:31.0,,Defensive rebound by M. Turner,3,3
17,1,9:17.0,,K. Séraphin makes 2-pt hook shot from 12 ft,3,5
18,1,9:07.0,T. Parker misses 2-pt jump shot from 5 ft,,3,5
19,1,9:05.0,Offensive rebound by D. Dedmon,,3,5
20,1,9:05.0,D. Dedmon makes 2-pt layup from 3 ft,,5,5
21,1,8:54.0,,G. Robinson misses 3-pt jump shot from 25 ft,5,5
22,1,8:53.0,Defensive rebound by T. Parker,,5,5
23,1,8:41.0,K. Leonard makes 2-pt jump shot from 17 ft,,7,5
24,1,8:33.0,,P. George misses 2-pt jump shot from 19 ft,7,5
25,1,8:31.0,,Offensive rebound by G. Robinson,7,5
26,1,8:27.0,,Turnover by P. George (lost ball; steal by D. Green),7,5
27,1,8:23.0,D. Green makes 2-pt layup from 2 ft,,9,5
28,1,8:23.0,,Indiana full timeout,9,5
29,1,8:07.0,,K. Séraphin makes 2-pt layup from 2 ft (assist by M. Turner),9,7
