,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,TORONTO_ACTION,SAN ANTONIO_SCORE,TORONTO_SCORE
0,1,11:39.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,0,0
1,1,11:39.0,Defensive rebound by Team,,0,0
2,1,11:39.0,Personal foul by J. Sullinger (drawn by K. Anderson),,0,0
3,1,11:06.0,D. Murray misses 2-pt layup from 1 ft,,0,0
4,1,11:05.0,,Defensive rebound by J. Valančiūnas,0,0
5,1,11:01.0,,K. Lowry misses 2-pt jump shot from 7 ft (block by D. Green),0,0
6,1,10:58.0,Defensive rebound by L. Aldridge,,0,0
7,1,10:48.0,L. Aldridge makes 2-pt jump shot from 16 ft,,2,0
8,1,10:27.0,,Shooting foul by D. Murray (drawn by K. Lowry),2,0
9,1,10:27.0,,K. Lowry makes free throw 1 of 2,2,1
10,1,10:27.0,,K. Lowry makes free throw 2 of 2,2,2
11,1,10:12.0,D. Murray misses 2-pt jump shot from 4 ft (block by K. Lowry),,2,2
12,1,10:12.0,Offensive rebound by Team,,2,2
13,1,10:07.0,D. Lee misses 2-pt jump shot from 21 ft,,2,2
14,1,10:06.0,,Defensive rebound by D. Carroll,2,2
15,1,9:49.0,,J. Sullinger misses 2-pt jump shot from 10 ft,2,2
16,1,9:49.0,Defensive rebound by D. Green,,2,2
17,1,9:43.0,D. Lee makes 2-pt layup at rim (assist by K. Anderson),,4,2
18,1,9:27.0,,Turnover by K. Lowry (bad pass; steal by D. Green),4,2
19,1,9:19.0,D. Lee makes 2-pt layup from 2 ft (assist by D. Murray),,6,2
20,1,8:55.0,,J. Sullinger misses 2-pt hook shot from 8 ft,6,2
21,1,8:54.0,Defensive rebound by D. Lee,,6,2
22,1,8:42.0,D. Lee makes 2-pt dunk at rim (assist by L. Aldridge),,8,2
23,1,8:42.0,,Toronto full timeout,8,2
24,1,8:31.0,,Def 3 sec tech foul by L. Aldridge,8,2
25,1,8:31.0,,K. Lowry makes technical free throw,8,3
26,1,8:19.0,,N. Powell misses 3-pt jump shot from 26 ft,8,3
27,1,8:19.0,Defensive rebound by L. Aldridge,,8,3
28,1,8:12.0,Turnover by D. Murray (bad pass; steal by N. Powell),,8,3
29,1,8:08.0,,N. Powell makes 2-pt dunk at rim,8,5
30,1,7:50.0,Shooting foul by J. Valančiūnas (drawn by D. Lee),,8,5
31,1,7:50.0,D. Lee makes free throw 1 of 2,,9,5
32,1,7:50.0,D. Lee makes free throw 2 of 2,,10,5
33,1,7:30.0,,J. Valančiūnas misses 2-pt jump shot from 15 ft,10,5
34,1,7:30.0,Defensive rebound by L. Aldridge,,10,5
35,1,7:22.0,D. Murray misses 2-pt jump shot from 12 ft,,10,5
36,1,7:22.0,,Defensive rebound by J. Sullinger,10,5
37,1,7:14.0,,Shooting foul by L. Aldridge (drawn by D. Carroll),10,5
38,1,7:14.0,,D. Carroll makes free throw 1 of 2,10,6
39,1,7:14.0,P. Mills enters the game for D. Murray,,10,6
40,1,7:14.0,,D. Carroll makes free throw 2 of 2,10,7
41,1,6:54.0,D. Green misses 3-pt jump shot from 25 ft,,10,7
42,1,6:54.0,,Defensive rebound by Team,10,7
43,1,6:34.0,,K. Lowry misses 2-pt jump shot from 13 ft,10,7
44,1,6:34.0,,Offensive rebound by J. Sullinger,10,7
45,1,6:31.0,,J. Sullinger misses 2-pt layup from 3 ft (block by D. Green),10,7
46,1,6:28.0,,Offensive rebound by J. Valančiūnas,10,7
47,1,6:24.0,,J. Valančiūnas makes 2-pt layup from 3 ft,10,9
48,1,6:14.0,K. Anderson misses 2-pt jump shot from 22 ft,,10,9
49,1,6:14.0,Offensive rebound by L. Aldridge,,10,9
50,1,6:10.0,Personal foul by N. Powell,,10,9
51,1,6:10.0,M. Ginóbili enters the game for D. Green,,10,9
52,1,6:10.0,D. Dedmon enters the game for D. Lee,,10,9
53,1,6:01.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by D. Dedmon),,12,9
54,1,5:39.0,,D. Carroll misses 2-pt hook shot from 10 ft,12,9
55,1,5:38.0,Defensive rebound by K. Anderson,,12,9
56,1,5:26.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,12,9
57,1,5:25.0,,Defensive rebound by J. Valančiūnas,12,9
58,1,5:21.0,,Personal foul by P. Mills,12,9
59,1,5:21.0,,K. Lowry makes free throw 1 of 3,12,10
60,1,5:21.0,,K. Lowry makes free throw 2 of 3,12,11
61,1,5:21.0,,L. Nogueira enters the game for J. Sullinger,12,11
62,1,5:21.0,,K. Lowry makes free throw 3 of 3,12,12
63,1,5:07.0,L. Aldridge misses 2-pt jump shot from 10 ft,,12,12
64,1,5:06.0,,Defensive rebound by K. Lowry,12,12
65,1,4:51.0,,K. Lowry misses 2-pt jump shot from 9 ft,12,12
66,1,4:51.0,Defensive rebound by L. Aldridge,,12,12
67,1,4:36.0,P. Mills makes 2-pt jump shot from 14 ft (assist by D. Dedmon),,14,12
68,1,4:16.0,D. Bertāns enters the game for K. Anderson,,14,12
69,1,4:16.0,,P. Patterson enters the game for J. Valančiūnas,14,12
70,1,4:12.0,,D. Carroll misses 3-pt jump shot from 25 ft,14,12
71,1,4:10.0,Defensive rebound by D. Dedmon,,14,12
72,1,3:58.0,L. Aldridge makes 2-pt jump shot from 9 ft,,16,12
73,1,3:39.0,,K. Lowry makes 2-pt layup from 1 ft,16,14
74,1,3:39.0,,Shooting foul by D. Dedmon (drawn by K. Lowry),16,14
75,1,3:39.0,D. Green enters the game for L. Aldridge,,16,14
76,1,3:39.0,,T. Ross enters the game for D. Carroll,16,14
77,1,3:39.0,,K. Lowry makes free throw 1 of 1,16,15
78,1,3:27.0,M. Ginóbili misses 2-pt layup from 3 ft (block by L. Nogueira),,16,15
79,1,3:25.0,Offensive rebound by Team,,16,15
80,1,3:18.0,M. Ginóbili misses 2-pt layup from 2 ft,,16,15
81,1,3:16.0,Offensive rebound by D. Dedmon,,16,15
82,1,3:16.0,D. Dedmon makes 2-pt layup from 2 ft,,18,15
83,1,3:00.0,,N. Powell misses 2-pt layup from 1 ft,18,15
84,1,2:59.0,Defensive rebound by D. Bertāns,,18,15
85,1,2:48.0,P. Mills makes 2-pt layup from 2 ft,,20,15
86,1,2:37.0,,K. Lowry makes 2-pt jump shot from 7 ft,20,17
87,1,2:26.0,Shooting foul by L. Nogueira (drawn by D. Dedmon),,20,17
88,1,2:26.0,San Antonio full timeout,,20,17
89,1,2:26.0,D. Dedmon makes free throw 1 of 2,,21,17
90,1,2:26.0,,C. Joseph enters the game for K. Lowry,20,17
91,1,2:26.0,D. Dedmon makes free throw 2 of 2,,22,17
92,1,2:12.0,,Turnover by T. Ross (lost ball),22,17
93,1,2:02.0,Turnover by P. Mills (lost ball; steal by C. Joseph),,22,17
94,1,1:53.0,,N. Powell makes 2-pt layup from 2 ft (assist by C. Joseph),22,19
95,1,1:41.0,D. Bertāns makes 3-pt jump shot from 25 ft,,25,19
96,1,1:37.0,,Turnover by T. Ross (bad pass; steal by P. Mills),25,19
97,1,1:32.0,P. Mills makes 2-pt layup at rim,,27,19
98,1,1:14.0,,N. Powell makes 2-pt layup from 1 ft,27,21
99,1,1:00.0,Turnover by M. Ginóbili (lost ball; steal by T. Ross),,27,21
100,1,0:57.0,,N. Powell makes 2-pt dunk at rim,27,23
101,1,0:46.0,D. Bertāns makes 2-pt jump shot from 9 ft,,29,23
102,1,0:33.0,,C. Joseph makes 2-pt jump shot from 22 ft,29,25
103,1,0:15.0,D. Bertāns misses 3-pt jump shot from 26 ft,,29,25
104,1,0:15.0,,Defensive rebound by N. Powell,29,25
105,2,11:44.0,D. Dedmon makes 2-pt hook shot from 4 ft,,31,25
106,2,11:29.0,,Turnover by K. Lowry (lost ball; steal by M. Ginóbili),31,25
107,2,11:21.0,M. Ginóbili makes 3-pt jump shot from 25 ft (assist by D. Green),,34,25
108,2,11:05.0,,T. Ross makes 2-pt jump shot from 20 ft,34,27
109,2,10:50.0,M. Ginóbili makes 2-pt jump shot from 21 ft,,36,27
110,2,10:35.0,,Turnover by K. Lowry (lost ball),36,27
111,2,10:35.0,K. Anderson enters the game for P. Mills,,36,27
112,2,10:35.0,D. Murray enters the game for M. Ginóbili,,36,27
113,2,10:35.0,B. Forbes enters the game for D. Green,,36,27
114,2,10:24.0,K. Anderson misses 2-pt jump shot from 16 ft,,36,27
115,2,10:20.0,,Defensive rebound by C. Joseph,36,27
116,2,10:11.0,,P. Patterson makes 2-pt jump shot from 16 ft,36,29
117,2,10:02.0,B. Forbes makes 2-pt jump shot from 14 ft (assist by D. Murray),,38,29
118,2,9:38.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by L. Nogueira),38,32
119,2,9:38.0,San Antonio full timeout,,38,32
120,2,9:38.0,L. Aldridge enters the game for D. Dedmon,,38,32
121,2,9:38.0,D. Lee enters the game for D. Bertāns,,38,32
122,2,9:17.0,L. Aldridge misses 2-pt jump shot from 19 ft,,38,32
123,2,9:14.0,,Defensive rebound by P. Patterson,38,32
124,2,9:10.0,,Shooting foul by B. Forbes (drawn by K. Lowry),38,32
125,2,9:10.0,,K. Lowry misses free throw 1 of 3,38,32
126,2,9:10.0,,Offensive rebound by Team,38,32
