,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
0,1,11:48.0,,Turnover by K. Love (lost ball; steal by J. Green),0,0
1,1,11:36.0,Turnover by T. Williams (bad pass),,0,0
2,1,11:22.0,,J. Smith misses 3-pt jump shot from 25 ft,0,0
3,1,11:22.0,Defensive rebound by A. Harrison,,0,0
4,1,11:12.0,A. Harrison makes 2-pt jump shot from 20 ft,,2,0
5,1,10:54.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
6,1,10:53.0,Defensive rebound by T. Allen,,2,0
7,1,10:44.0,J. Green misses 3-pt jump shot from 25 ft,,2,0
8,1,10:44.0,,Defensive rebound by T. Thompson,2,0
9,1,10:40.0,,Turnover by L. James (bad pass; steal by J. Green),2,0
10,1,10:24.0,T. Williams misses 2-pt jump shot from 21 ft,,2,0
11,1,10:23.0,,Defensive rebound by K. Love,2,0
12,1,10:08.0,,L. James misses 2-pt jump shot from 6 ft,2,0
13,1,10:06.0,,Offensive rebound by T. Thompson,2,0
14,1,10:06.0,,T. Thompson makes 2-pt layup from 1 ft,2,2
15,1,9:50.0,T. Allen misses 2-pt jump shot from 22 ft,,2,2
16,1,9:50.0,Offensive rebound by Z. Randolph,,2,2
17,1,9:41.0,Turnover by A. Harrison (bad pass),,2,2
18,1,9:29.0,,K. Love misses 2-pt jump shot from 7 ft,2,2
19,1,9:25.0,Defensive rebound by Z. Randolph,,2,2
20,1,9:14.0,Z. Randolph misses 2-pt jump shot from 19 ft,,2,2
21,1,9:14.0,,Defensive rebound by D. Liggins,2,2
22,1,9:06.0,,Personal foul by T. Allen (drawn by T. Thompson),2,2
23,1,8:59.0,,Shooting foul by T. Williams (drawn by K. Love),2,2
24,1,8:59.0,,K. Love makes free throw 1 of 2,2,3
25,1,8:59.0,,K. Love makes free throw 2 of 2,2,4
26,1,8:41.0,T. Allen makes 2-pt layup from 2 ft,,4,4
27,1,8:23.0,,Turnover by K. Love (lost ball; steal by Z. Randolph),4,4
28,1,8:19.0,Turnover by T. Williams (lost ball; steal by D. Liggins),,4,4
29,1,8:10.0,,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),4,7
30,1,7:49.0,T. Williams makes 2-pt layup from 1 ft,,6,7
31,1,7:37.0,,L. James makes 2-pt layup from 2 ft (assist by K. Love),6,9
32,1,7:18.0,T. Allen makes 2-pt jump shot from 11 ft (assist by J. Green),,8,9
