,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
79,1,3:22.0,,P. George makes 2-pt dunk from 2 ft (assist by T. Young),17,17
80,1,3:02.0,M. Dellavedova misses 2-pt jump shot from 6 ft,,17,17
81,1,3:02.0,Offensive rebound by M. Dellavedova,,17,17
82,1,2:58.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,17,17
83,1,2:57.0,,Defensive rebound by K. Séraphin,17,17
84,1,2:40.0,,K. Séraphin makes 2-pt jump shot from 6 ft (assist by L. Stephenson),17,19
85,1,2:15.0,M. Dellavedova misses 3-pt jump shot from 26 ft,,17,19
86,1,2:15.0,,Defensive rebound by P. George,17,19
87,1,2:10.0,,Turnover by P. George (lost ball),17,19
88,1,2:10.0,Milwaukee full timeout,,17,19
89,1,2:10.0,K. Middleton enters the game for T. Snell,,17,19
90,1,2:10.0,G. Payton enters the game for M. Dellavedova,,17,19
91,1,2:10.0,,A. Brooks enters the game for J. Teague,17,19
92,1,2:10.0,,C. Miles enters the game for T. Young,17,19
93,1,1:56.0,J. Terry misses 2-pt layup from 3 ft,,17,19
94,1,1:54.0,,Defensive rebound by C. Miles,17,19
95,1,1:34.0,,L. Stephenson makes 2-pt jump shot from 13 ft,17,21
96,1,1:12.0,G. Payton misses 3-pt jump shot from 25 ft,,17,21
97,1,1:11.0,Offensive rebound by G. Antetokounmpo,,17,21
98,1,1:05.0,G. Monroe misses 2-pt layup from 3 ft,,17,21
99,1,1:04.0,,Defensive rebound by A. Brooks,17,21
100,1,1:04.0,,Personal foul by G. Monroe (drawn by A. Brooks),17,21
101,1,1:04.0,,A. Brooks makes free throw 1 of 2,17,22
102,1,1:04.0,,A. Brooks makes free throw 2 of 2,17,23
103,1,0:54.0,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by G. Payton),,19,23
104,1,0:34.0,,K. Séraphin misses 2-pt hook shot from 9 ft,19,23
105,1,0:33.0,Defensive rebound by G. Monroe,,19,23
106,1,0:29.0,Turnover by K. Middleton (lost ball; steal by L. Stephenson),,19,23
107,1,0:25.0,,Shooting foul by G. Antetokounmpo (drawn by P. George),19,23
