,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:34.0,J. Lin misses 2-pt jump shot from 16 ft,,0,0
1,1,11:31.0,,Defensive rebound by L. Thomas,0,0
2,1,11:14.0,,C. Anthony misses 2-pt jump shot from 15 ft,0,0
3,1,11:13.0,Defensive rebound by J. Lin,,0,0
4,1,11:05.0,C. LeVert makes 2-pt jump shot from 18 ft,,2,0
5,1,10:47.0,,D. Rose misses 2-pt jump shot from 5 ft,2,0
6,1,10:45.0,Defensive rebound by B. Lopez,,2,0
7,1,10:40.0,R. Hollis-Jefferson makes 2-pt jump shot from 12 ft,,4,0
8,1,10:17.0,,Turnover by W. Hernangómez (offensive foul),4,0
9,1,10:17.0,,Offensive foul by W. Hernangómez (drawn by J. Lin),4,0
10,1,10:09.0,Shooting foul by D. Rose (drawn by J. Lin),,4,0
11,1,10:09.0,J. Lin makes free throw 1 of 2,,5,0
12,1,10:09.0,J. Lin makes free throw 2 of 2,,6,0
13,1,9:53.0,,W. Hernangómez makes 2-pt jump shot from 6 ft (assist by C. Lee),6,2
14,1,9:29.0,J. Lin makes 2-pt layup from 1 ft,,8,2
15,1,9:17.0,,C. Lee makes 2-pt jump shot from 6 ft (assist by D. Rose),8,4
16,1,9:05.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by J. Lin),,10,4
17,1,8:51.0,,C. Anthony makes 2-pt jump shot from 12 ft,10,6
18,1,8:40.0,J. Lin misses 3-pt jump shot from 26 ft,,10,6
19,1,8:38.0,Offensive rebound by R. Hollis-Jefferson,,10,6
20,1,8:36.0,J. Lin misses 3-pt jump shot from 26 ft,,10,6
21,1,8:33.0,,Defensive rebound by W. Hernangómez,10,6
22,1,8:23.0,,C. Lee makes 2-pt jump shot from 9 ft (assist by D. Rose),10,8
23,1,8:04.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,10,8
24,1,8:02.0,Offensive rebound by R. Hollis-Jefferson,,10,8
25,1,8:02.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,10,8
26,1,8:01.0,,Defensive rebound by C. Anthony,10,8
27,1,7:52.0,,Shooting foul by R. Hollis-Jefferson (drawn by C. Anthony),10,8
28,1,7:52.0,,C. Anthony makes free throw 1 of 3,10,9
29,1,7:52.0,,C. Anthony makes free throw 2 of 3,10,10
30,1,7:52.0,,C. Anthony makes free throw 3 of 3,10,11
31,1,7:39.0,R. Foye misses 3-pt jump shot from 25 ft,,10,11
32,1,7:37.0,,Defensive rebound by L. Thomas,10,11
33,1,7:23.0,,Shooting foul by R. Foye (drawn by C. Anthony),10,11
34,1,7:23.0,,C. Anthony makes free throw 1 of 2,10,12
35,1,7:23.0,,C. Anthony makes free throw 2 of 2,10,13
36,1,7:12.0,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,,10,13
37,1,7:10.0,,Defensive rebound by L. Thomas,10,13
38,1,7:05.0,,D. Rose makes 2-pt layup from 3 ft,10,15
39,1,6:48.0,B. Lopez makes 2-pt dunk at rim,,12,15
40,1,6:30.0,,D. Rose makes 2-pt jump shot from 16 ft (assist by C. Anthony),12,17
41,1,6:29.0,Brooklyn full timeout,,12,17
42,1,6:29.0,I. Whitehead enters the game for C. LeVert,,12,17
43,1,6:29.0,K. McDaniels enters the game for R. Foye,,12,17
44,1,6:14.0,B. Lopez misses 2-pt jump shot from 24 ft,,12,17
45,1,6:12.0,Offensive rebound by R. Hollis-Jefferson,,12,17
46,1,6:12.0,R. Hollis-Jefferson makes 2-pt layup at rim,,14,17
47,1,5:55.0,,W. Hernangómez misses 2-pt hook shot from 3 ft,14,17
48,1,5:52.0,,Offensive rebound by L. Thomas,14,17
49,1,5:45.0,,C. Anthony misses 3-pt jump shot from 22 ft,14,17
50,1,5:43.0,Defensive rebound by R. Hollis-Jefferson,,14,17
51,1,5:38.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by B. Lopez),,16,17
52,1,5:22.0,,D. Rose makes 2-pt jump shot from 16 ft,16,19
53,1,5:06.0,I. Whitehead makes 2-pt layup from 1 ft,,18,19
54,1,4:53.0,,C. Lee misses 2-pt jump shot from 24 ft,18,19
55,1,4:51.0,Defensive rebound by B. Lopez,,18,19
56,1,4:41.0,B. Lopez makes 2-pt layup from 2 ft (assist by J. Lin),,20,19
57,1,4:17.0,,C. Anthony misses 2-pt jump shot from 14 ft,20,19
58,1,4:15.0,Defensive rebound by J. Lin,,20,19
59,1,4:04.0,J. Lin misses 3-pt jump shot from 25 ft,,20,19
60,1,4:02.0,,Defensive rebound by L. Thomas,20,19
61,1,3:54.0,,Shooting foul by I. Whitehead (drawn by L. Thomas),20,19
62,1,3:54.0,,L. Thomas makes free throw 1 of 2,20,20
63,1,3:54.0,,R. Baker enters the game for C. Lee,20,20
64,1,3:54.0,Q. Acy enters the game for R. Hollis-Jefferson,,20,20
65,1,3:54.0,J. Hamilton enters the game for B. Lopez,,20,20
66,1,3:54.0,S. Dinwiddie enters the game for J. Lin,,20,20
67,1,3:54.0,,L. Thomas makes free throw 2 of 2,20,21
68,1,3:39.0,K. McDaniels misses 2-pt layup from 2 ft,,20,21
69,1,3:37.0,,Defensive rebound by C. Anthony,20,21
70,1,3:21.0,,D. Rose makes 2-pt layup from 2 ft,20,23
71,1,3:05.0,Shooting foul by R. Baker (drawn by Q. Acy),,20,23
72,1,3:05.0,Q. Acy makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,22,23
73,1,3:05.0,,C. Randle enters the game for L. Thomas,22,23
74,1,3:05.0,,J. Holiday enters the game for W. Hernangómez,22,23
75,1,3:05.0,,K. O'Quinn enters the game for D. Rose,22,23
76,1,3:05.0,Q. Acy makes free throw 1 of 1,,23,23
77,1,2:51.0,,New York full timeout,23,23
78,1,2:41.0,,C. Anthony misses 2-pt jump shot from 18 ft,23,23
79,1,2:39.0,Defensive rebound by K. McDaniels,,23,23
80,1,2:25.0,K. McDaniels misses 3-pt jump shot from 25 ft,,23,23
81,1,2:23.0,Offensive rebound by J. Hamilton,,23,23
82,1,2:14.0,J. Hamilton makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,26,23
83,1,2:04.0,,Personal foul by K. McDaniels (drawn by J. Holiday),26,23
84,1,1:57.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by C. Anthony),26,26
85,1,1:38.0,Turnover by K. McDaniels (lost ball; steal by K. O'Quinn),,26,26
86,1,1:34.0,,R. Baker makes 2-pt layup from 2 ft,26,28
87,1,1:24.0,Turnover by S. Dinwiddie (bad pass; steal by C. Randle),,26,28
88,1,1:09.0,,K. O'Quinn misses 2-pt jump shot from 14 ft,26,28
89,1,1:07.0,,Offensive rebound by Team,26,28
90,1,1:07.0,,Flagrant foul type 1 by J. Hamilton (drawn by K. O'Quinn),26,28
91,1,1:07.0,,K. O'Quinn makes flagrant free throw 1 of 2,26,29
92,1,1:07.0,,K. O'Quinn makes flagrant free throw 2 of 2,26,30
93,1,0:56.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by C. Randle),26,33
94,1,0:46.0,Personal foul by K. O'Quinn (drawn by S. Dinwiddie),,26,33
95,1,0:37.0,Q. Acy misses 2-pt layup from 2 ft,,26,33
