,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:41.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,3,0
1,1,11:23.0,,A. Wiggins makes 2-pt layup from 3 ft,3,2
2,1,11:06.0,K. Durant misses 2-pt jump shot from 19 ft,,3,2
3,1,11:05.0,,Defensive rebound by Z. LaVine,3,2
4,1,10:46.0,,G. Dieng makes 2-pt jump shot from 4 ft (assist by K. Towns),3,4
5,1,10:30.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,6,4
6,1,10:17.0,,Personal foul by K. Looney (drawn by K. Towns),6,4
7,1,10:13.0,Violation by D. Green (kicked ball),,6,4
8,1,10:05.0,,Turnover by K. Towns (bad pass; steal by D. Green),6,4
9,1,9:56.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,9,4
10,1,9:40.0,,K. Towns misses 2-pt hook shot from 9 ft,9,4
11,1,9:39.0,,Offensive rebound by R. Rubio,9,4
12,1,9:36.0,,Z. LaVine misses 3-pt jump shot from 23 ft,9,4
13,1,9:36.0,Defensive rebound by Team,,9,4
14,1,9:36.0,,Loose ball foul by K. Towns (drawn by K. Looney),9,4
15,1,9:17.0,K. Durant misses 2-pt jump shot from 6 ft,,9,4
16,1,9:15.0,Offensive rebound by K. Thompson,,9,4
17,1,9:13.0,K. Thompson misses 2-pt jump shot from 5 ft,,9,4
18,1,9:12.0,,Defensive rebound by K. Towns,9,4
19,1,8:55.0,,A. Wiggins makes 2-pt jump shot from 21 ft,9,6
20,1,8:40.0,K. Durant misses 2-pt jump shot from 4 ft,,9,6
21,1,8:39.0,,Defensive rebound by K. Towns,9,6
22,1,8:32.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),9,8
23,1,8:17.0,Turnover by K. Looney (3 sec),,9,8
24,1,8:01.0,,Turnover by R. Rubio (bad pass; steal by K. Looney),9,8
25,1,7:51.0,S. Curry misses 3-pt jump shot from 25 ft,,9,8
26,1,7:50.0,,Defensive rebound by K. Towns,9,8
27,1,7:31.0,,Shooting foul by K. Looney (drawn by A. Wiggins),9,8
28,1,7:31.0,,A. Wiggins makes free throw 1 of 2,9,9
29,1,7:31.0,,A. Wiggins misses free throw 2 of 2,9,9
