,QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
0,1,11:51.0,Turnover by B. Diaw (bad pass),,0,0
1,1,11:34.0,,K. Durant misses 2-pt jump shot from 15 ft,0,0
2,1,11:33.0,Defensive rebound by B. Diaw,,0,0
3,1,11:16.0,G. Hayward misses 2-pt jump shot from 14 ft,,0,0
4,1,11:16.0,,Defensive rebound by D. Green,0,0
5,1,11:02.0,,Z. Pachulia misses 2-pt layup from 2 ft,0,0
6,1,11:02.0,Defensive rebound by R. Hood,,0,0
7,1,10:40.0,R. Hood misses 3-pt jump shot from 26 ft,,0,0
8,1,10:39.0,,Defensive rebound by Z. Pachulia,0,0
9,1,10:27.0,,Turnover by D. Green (bad pass),0,0
10,1,10:07.0,R. Gobert misses 2-pt hook shot from 7 ft,,0,0
11,1,10:07.0,,Defensive rebound by K. Durant,0,0
12,1,9:49.0,,D. Green misses 3-pt jump shot from 22 ft,0,0
13,1,9:49.0,Defensive rebound by B. Diaw,,0,0
14,1,9:40.0,B. Diaw misses 2-pt jump shot from 19 ft,,0,0
15,1,9:39.0,,Defensive rebound by K. Thompson,0,0
16,1,9:24.0,,D. Green misses 3-pt jump shot from 26 ft,0,0
17,1,9:23.0,Defensive rebound by R. Gobert,,0,0
18,1,9:16.0,Utah full timeout,,0,0
19,1,9:16.0,J. Ingles enters the game for R. Hood,,0,0
20,1,9:10.0,,Violation by S. Curry (kicked ball),0,0
21,1,9:03.0,J. Ingles misses 3-pt jump shot from 26 ft,,0,0
22,1,9:02.0,,Defensive rebound by Z. Pachulia,0,0
23,1,8:49.0,,K. Durant misses 3-pt jump shot from 26 ft,0,0
24,1,8:49.0,Defensive rebound by J. Ingles,,0,0
25,1,8:40.0,G. Hayward misses 3-pt jump shot from 25 ft,,0,0
26,1,8:40.0,,Defensive rebound by D. Green,0,0
27,1,8:34.0,,Shooting foul by D. Exum (drawn by S. Curry),0,0
28,1,8:34.0,,S. Curry makes free throw 1 of 2,0,1
29,1,8:34.0,,S. Curry makes free throw 2 of 2,0,2
30,1,8:24.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,2,2
31,1,8:13.0,,S. Curry misses 2-pt jump shot from 20 ft,2,2
32,1,8:12.0,Defensive rebound by R. Gobert,,2,2
33,1,8:01.0,B. Diaw misses 2-pt jump shot from 22 ft,,2,2
34,1,7:59.0,,Defensive rebound by K. Durant,2,2
35,1,7:53.0,,K. Durant makes 2-pt dunk at rim,2,4
36,1,7:48.0,Turnover by R. Gobert (bad pass; steal by S. Curry),,2,4
37,1,7:45.0,,S. Curry misses 3-pt jump shot from 23 ft,2,4
38,1,7:42.0,Defensive rebound by G. Hayward,,2,4
39,1,7:38.0,B. Diaw misses 2-pt jump shot from 18 ft,,2,4
40,1,7:38.0,,Defensive rebound by D. Green,2,4
41,1,7:31.0,,D. Green misses 2-pt layup from 1 ft,2,4
42,1,7:31.0,Defensive rebound by R. Gobert,,2,4
43,1,7:30.0,,J. McGee enters the game for Z. Pachulia,2,4
44,1,7:19.0,G. Hayward misses 3-pt jump shot from 25 ft,,2,4
45,1,7:18.0,Offensive rebound by G. Hayward,,2,4
46,1,6:59.0,G. Hayward misses 3-pt jump shot from 24 ft,,2,4
47,1,6:58.0,,Defensive rebound by K. Durant,2,4
48,1,6:47.0,,D. Green misses 2-pt jump shot from 10 ft,2,4
49,1,6:45.0,Defensive rebound by J. Ingles,,2,4
50,1,6:40.0,T. Lyles enters the game for B. Diaw,,2,4
51,1,6:40.0,S. Mack enters the game for D. Exum,,2,4
52,1,6:36.0,T. Lyles misses 2-pt jump shot from 16 ft,,2,4
53,1,6:36.0,,Defensive rebound by S. Curry,2,4
54,1,6:26.0,,K. Thompson misses 2-pt jump shot from 9 ft,2,4
55,1,6:26.0,Defensive rebound by R. Gobert,,2,4
56,1,6:15.0,S. Mack misses 3-pt jump shot from 27 ft,,2,4
57,1,6:15.0,,Defensive rebound by J. McGee,2,4
58,1,6:08.0,,J. McGee misses 2-pt layup from 1 ft,2,4
59,1,6:08.0,Defensive rebound by Team,,2,4
