,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,M. Harkless misses 2-pt jump shot from 5 ft,,0,0
1,1,11:39.0,,Defensive rebound by S. Curry,0,0
2,1,11:22.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),0,3
3,1,10:58.0,C. McCollum misses 3-pt jump shot from 25 ft,,0,3
4,1,10:56.0,Offensive rebound by M. Plumlee,,0,3
5,1,10:56.0,M. Plumlee makes 2-pt dunk at rim,,2,3
6,1,10:49.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),2,6
7,1,10:36.0,A. Aminu misses 3-pt jump shot from 25 ft,,2,6
8,1,10:34.0,,Defensive rebound by S. Curry,2,6
9,1,10:24.0,,K. Thompson misses 2-pt jump shot from 12 ft,2,6
10,1,10:23.0,Defensive rebound by A. Aminu,,2,6
11,1,10:14.0,M. Plumlee makes 2-pt dunk at rim (assist by A. Crabbe),,4,6
12,1,10:03.0,,Turnover by Z. Pachulia (lost ball; steal by M. Plumlee),4,6
13,1,10:01.0,Shooting foul by K. Durant (drawn by A. Crabbe),,4,6
14,1,10:01.0,A. Crabbe makes free throw 1 of 3,,5,6
15,1,10:01.0,A. Crabbe makes free throw 2 of 3,,6,6
16,1,10:01.0,A. Crabbe makes free throw 3 of 3,,7,6
17,1,9:42.0,,D. Green makes 3-pt jump shot from 27 ft (assist by S. Curry),7,9
18,1,9:29.0,Turnover by A. Aminu (lost ball; steal by D. Green),,7,9
19,1,9:29.0,,Personal foul by A. Aminu (drawn by D. Green),7,9
20,1,9:16.0,,K. Durant makes 3-pt jump shot from 23 ft (assist by S. Curry),7,12
21,1,9:02.0,C. McCollum misses 2-pt jump shot from 4 ft (block by K. Thompson),,7,12
22,1,9:00.0,,Defensive rebound by Z. Pachulia,7,12
23,1,8:55.0,,S. Curry misses 3-pt jump shot from 28 ft,7,12
24,1,8:54.0,Defensive rebound by M. Plumlee,,7,12
25,1,8:45.0,M. Plumlee misses 2-pt jump shot from 4 ft (block by Z. Pachulia),,7,12
26,1,8:44.0,,Defensive rebound by D. Green,7,12
27,1,8:42.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by D. Green),7,14
28,1,8:23.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by C. McCollum),,10,14
29,1,8:13.0,,Personal foul by M. Harkless (drawn by D. Green),10,14
30,1,7:59.0,,Z. Pachulia makes 2-pt layup from 2 ft,10,16
31,1,7:51.0,Shooting foul by K. Thompson (drawn by C. McCollum),,10,16
32,1,7:51.0,C. McCollum makes free throw 1 of 2,,11,16
33,1,7:51.0,C. McCollum makes free throw 2 of 2,,12,16
34,1,7:37.0,,Z. Pachulia misses 2-pt jump shot from 3 ft,12,16
35,1,7:37.0,,Offensive rebound by D. Green,12,16
36,1,7:35.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),12,18
37,1,7:19.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by A. Aminu),,15,18
38,1,7:13.0,,Shooting block foul by M. Plumlee (drawn by Z. Pachulia),15,18
