,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,TORONTO_ACTION,MEMPHIS_SCORE,TORONTO_SCORE
0,1,11:42.0,M. Gasol misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Lowry,0,0
2,1,11:28.0,,J. Valančiūnas misses 2-pt dunk at rim,0,0
3,1,11:28.0,Defensive rebound by A. Harrison,,0,0
4,1,11:17.0,T. Allen makes 2-pt jump shot from 21 ft (assist by A. Harrison),,2,0
5,1,10:54.0,,Turnover by D. DeRozan (lost ball; steal by A. Harrison),2,0
6,1,10:53.0,Turnover by A. Harrison (bad pass),,2,0
7,1,10:42.0,,Offensive foul by J. Valančiūnas (drawn by T. Allen),2,0
8,1,10:42.0,,Turnover by J. Valančiūnas (offensive foul),2,0
9,1,10:28.0,T. Williams misses 3-pt jump shot from 26 ft,,2,0
10,1,10:27.0,Offensive rebound by Team,,2,0
11,1,10:26.0,Shooting foul by P. Siakam (drawn by J. Green),,2,0
12,1,10:26.0,J. Green misses free throw 1 of 2,,2,0
13,1,10:26.0,Offensive rebound by Team,,2,0
14,1,10:26.0,J. Green makes free throw 2 of 2,,3,0
15,1,10:06.0,,D. Carroll misses 3-pt jump shot from 25 ft,3,0
16,1,10:05.0,Defensive rebound by M. Gasol,,3,0
17,1,9:57.0,J. Green makes 2-pt layup from 2 ft (assist by T. Allen),,5,0
18,1,9:39.0,,K. Lowry makes 2-pt layup from 1 ft,5,2
19,1,9:39.0,,Shooting foul by T. Williams (drawn by K. Lowry),5,2
20,1,9:39.0,,K. Lowry makes free throw 1 of 1,5,3
21,1,9:25.0,J. Green misses 3-pt jump shot from 24 ft,,5,3
22,1,9:24.0,,Defensive rebound by D. DeRozan,5,3
23,1,9:11.0,,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by D. DeRozan),5,5
24,1,8:58.0,A. Harrison makes 3-pt jump shot from 27 ft,,8,5
25,1,8:40.0,,D. Carroll misses 2-pt jump shot from 5 ft (block by J. Green),8,5
26,1,8:38.0,,Offensive rebound by P. Siakam,8,5
27,1,8:35.0,,P. Siakam makes 2-pt jump shot from 12 ft,8,7
28,1,8:15.0,T. Williams makes 2-pt jump shot from 21 ft,,10,7
29,1,8:08.0,,Shooting foul by A. Harrison (drawn by K. Lowry),10,7
30,1,8:08.0,,K. Lowry makes free throw 1 of 2,10,8
31,1,8:08.0,,K. Lowry makes free throw 2 of 2,10,9
32,1,7:45.0,T. Williams makes 2-pt hook shot from 5 ft,,12,9
33,1,7:45.0,Shooting foul by D. Carroll (drawn by T. Williams),,12,9
34,1,7:45.0,T. Williams makes free throw 1 of 1,,13,9
35,1,7:26.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by K. Lowry),13,12
36,1,7:02.0,M. Gasol misses 3-pt jump shot from 25 ft,,13,12
37,1,7:02.0,,Defensive rebound by D. DeRozan,13,12
38,1,6:54.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),13,15
39,1,6:40.0,Turnover by T. Allen (lost ball; steal by K. Lowry),,13,15
40,1,6:33.0,,D. Carroll misses 3-pt jump shot from 26 ft,13,15
41,1,6:33.0,Defensive rebound by Team,,13,15
42,1,6:20.0,M. Gasol makes 2-pt jump shot from 8 ft,,15,15
43,1,6:00.0,,Turnover by J. Valančiūnas (bad pass; steal by T. Allen),15,15
44,1,5:54.0,T. Williams makes 2-pt dunk at rim (assist by T. Allen),,17,15
45,1,5:53.0,Violation by Team (jump ball),,17,15
46,1,5:49.0,,Toronto full timeout,17,15
47,1,5:49.0,W. Baldwin enters the game for A. Harrison,,17,15
48,1,5:43.0,,P. Siakam makes 2-pt layup from 2 ft (assist by D. Carroll),17,17
49,1,5:24.0,M. Gasol makes 2-pt hook shot from 8 ft,,19,17
50,1,5:05.0,,Turnover by D. DeRozan (bad pass; steal by T. Williams),19,17
51,1,4:57.0,Turnover by T. Williams (bad pass; steal by J. Valančiūnas),,19,17
52,1,4:44.0,,Personal foul by T. Williams (drawn by K. Lowry),19,17
53,1,4:44.0,J. Martin enters the game for T. Williams,,19,17
