,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:43.0,A. Wiggins misses 3-pt jump shot from 27 ft,,0,0
1,1,11:43.0,,Defensive rebound by I. Shumpert,0,0
2,1,11:27.0,,C. Frye misses 3-pt jump shot from 25 ft,0,0
3,1,11:26.0,Defensive rebound by R. Rubio,,0,0
4,1,11:14.0,Shooting foul by I. Shumpert (drawn by R. Rubio),,0,0
5,1,11:14.0,R. Rubio makes free throw 1 of 2,,1,0
6,1,11:14.0,R. Rubio makes free throw 2 of 2,,2,0
7,1,11:00.0,,L. James misses 2-pt jump shot from 16 ft,2,0
8,1,10:59.0,Defensive rebound by K. Towns,,2,0
9,1,10:48.0,Z. LaVine makes 2-pt jump shot from 19 ft,,4,0
10,1,10:23.0,,K. Irving misses 2-pt jump shot from 4 ft,4,0
11,1,10:20.0,Defensive rebound by G. Dieng,,4,0
12,1,10:08.0,K. Towns makes 2-pt jump shot from 10 ft (assist by R. Rubio),,6,0
13,1,9:58.0,,L. James makes 2-pt layup at rim,6,2
14,1,9:44.0,K. Towns makes 2-pt jump shot from 8 ft (assist by R. Rubio),,8,2
15,1,9:20.0,,K. Irving misses 2-pt jump shot from 11 ft,8,2
16,1,9:19.0,Defensive rebound by G. Dieng,,8,2
17,1,9:12.0,K. Towns makes 2-pt dunk at rim (assist by Z. LaVine),,10,2
18,1,9:12.0,,Cleveland full timeout,10,2
19,1,9:00.0,,C. Frye makes 2-pt jump shot from 7 ft (assist by K. Irving),10,4
20,1,9:00.0,,Shooting foul by A. Wiggins (drawn by C. Frye),10,4
21,1,9:00.0,,C. Frye makes free throw 1 of 1,10,5
22,1,8:47.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,12,5
23,1,8:27.0,,C. Frye misses 3-pt jump shot from 26 ft,12,5
24,1,8:26.0,Defensive rebound by Z. LaVine,,12,5
25,1,8:16.0,Z. LaVine misses 3-pt jump shot from 25 ft,,12,5
26,1,8:16.0,,Defensive rebound by L. James,12,5
27,1,8:00.0,,K. Irving misses 3-pt jump shot from 25 ft,12,5
28,1,7:59.0,,Offensive rebound by T. Thompson,12,5
29,1,7:52.0,,C. Frye makes 2-pt jump shot from 11 ft (assist by K. Irving),12,7
30,1,7:34.0,A. Wiggins makes 2-pt jump shot from 18 ft,,14,7
31,1,7:11.0,,K. Irving misses 2-pt jump shot from 9 ft,14,7
32,1,7:09.0,Defensive rebound by K. Towns,,14,7
33,1,7:08.0,Z. LaVine misses 2-pt layup from 1 ft (block by I. Shumpert),,14,7
34,1,7:08.0,,Defensive rebound by I. Shumpert,14,7
35,1,7:06.0,,Technical foul by K. Irving,14,7
36,1,7:06.0,R. Rubio makes technical free throw,,15,7
37,1,6:59.0,,Shooting foul by G. Dieng (drawn by L. James),15,7
38,1,6:59.0,,L. James misses free throw 1 of 2,15,7
39,1,6:59.0,,Offensive rebound by Team,15,7
40,1,6:59.0,,L. James makes free throw 2 of 2,15,8
41,1,6:52.0,Turnover by R. Rubio (bad pass; steal by K. Irving),,15,8
42,1,6:46.0,,K. Irving makes 2-pt dunk at rim,15,10
43,1,6:31.0,K. Towns misses 2-pt jump shot from 10 ft,,15,10
44,1,6:30.0,,Defensive rebound by C. Frye,15,10
45,1,6:24.0,,L. James makes 2-pt layup at rim,15,12
46,1,6:08.0,A. Wiggins makes 2-pt jump shot from 18 ft,,17,12
47,1,5:53.0,,L. James makes 2-pt layup at rim,17,14
48,1,5:36.0,Z. LaVine misses 3-pt jump shot from 26 ft,,17,14
49,1,5:36.0,Offensive rebound by G. Dieng,,17,14
50,1,5:28.0,Z. LaVine makes 2-pt layup from 2 ft (assist by G. Dieng),,19,14
51,1,5:16.0,,T. Thompson makes 2-pt jump shot from 5 ft (assist by K. Irving),19,16
52,1,4:59.0,K. Towns makes 3-pt jump shot from 25 ft (assist by R. Rubio),,22,16
53,1,4:44.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),22,18
54,1,4:29.0,Turnover by K. Towns (bad pass),,22,18
55,1,4:29.0,S. Muhammad enters the game for Z. LaVine,,22,18
56,1,4:17.0,,I. Shumpert makes 3-pt jump shot from 23 ft (assist by C. Frye),22,21
57,1,3:58.0,S. Muhammad makes 2-pt jump shot from 10 ft (assist by R. Rubio),,24,21
58,1,3:48.0,,K. Irving makes 3-pt jump shot from 25 ft,24,24
59,1,3:31.0,Minnesota full timeout,,24,24
60,1,3:31.0,,R. Jefferson enters the game for L. James,24,24
61,1,3:26.0,A. Wiggins misses 2-pt jump shot from 17 ft,,24,24
62,1,3:23.0,,Defensive rebound by R. Jefferson,24,24
63,1,3:15.0,,I. Shumpert makes 3-pt jump shot from 24 ft (assist by K. Irving),24,27
64,1,2:58.0,Turnover by A. Wiggins (lost ball; steal by I. Shumpert),,24,27
65,1,2:53.0,,R. Jefferson misses 2-pt layup from 1 ft,24,27
66,1,2:53.0,,Offensive rebound by K. Irving,24,27
67,1,2:53.0,,K. Irving misses 2-pt layup from 1 ft,24,27
68,1,2:52.0,Defensive rebound by A. Wiggins,,24,27
69,1,2:46.0,G. Dieng makes 2-pt dunk at rim (assist by S. Muhammad),,26,27
70,1,2:23.0,,Personal foul by R. Rubio (drawn by T. Thompson),26,27
71,1,2:23.0,Z. LaVine enters the game for A. Wiggins,,26,27
72,1,2:23.0,,K. Korver enters the game for I. Shumpert,26,27
73,1,2:15.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),26,29
74,1,1:59.0,R. Rubio makes 2-pt jump shot from 11 ft,,28,29
75,1,1:50.0,,K. Irving makes 2-pt jump shot from 15 ft,28,31
76,1,1:34.0,R. Rubio makes 2-pt jump shot from 19 ft,,30,31
77,1,1:19.0,,C. Frye misses 3-pt jump shot from 25 ft,30,31
78,1,1:18.0,Defensive rebound by G. Dieng,,30,31
79,1,1:07.0,K. Towns misses 2-pt hook shot from 12 ft,,30,31
80,1,1:06.0,,Defensive rebound by C. Frye,30,31
81,1,0:56.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Irving),30,34
82,1,0:42.0,G. Dieng misses 2-pt layup at rim,,30,34
83,1,0:39.0,Offensive rebound by K. Towns,,30,34
84,1,0:39.0,K. Towns misses 2-pt layup at rim (block by C. Frye),,30,34
85,1,0:38.0,,Defensive rebound by T. Thompson,30,34
86,1,0:36.0,,R. Jefferson makes 2-pt dunk at rim (assist by K. Irving),30,36
87,1,0:32.0,R. Rubio makes 2-pt jump shot from 20 ft,,32,36
88,1,0:10.0,,K. Irving misses 2-pt jump shot from 19 ft,32,36
89,1,0:10.0,Defensive rebound by Team,,32,36
90,1,0:10.0,N. Bjelica enters the game for K. Towns,,32,36
91,1,0:10.0,,J. Jones enters the game for C. Frye,32,36
92,1,0:05.0,Personal foul by K. Korver (drawn by Z. LaVine),,32,36
93,1,0:00.0,Z. LaVine misses 2-pt layup from 3 ft (block by T. Thompson),,32,36
94,1,0:00.0,Offensive rebound by Team,,32,36
95,2,11:55.0,,Shooting foul by Z. LaVine (drawn by L. James),32,36
96,2,11:55.0,,L. James misses free throw 1 of 2,32,36
97,2,11:55.0,,Offensive rebound by Team,32,36
98,2,11:55.0,,L. James makes free throw 2 of 2,32,37
99,2,11:46.0,Turnover by K. Dunn (bad pass; steal by L. James),,32,37
100,2,11:41.0,,L. James makes 2-pt dunk at rim,32,39
101,2,11:17.0,N. Bjelica misses 2-pt jump shot from 7 ft (block by J. Jones),,32,39
102,2,11:16.0,,Defensive rebound by R. Jefferson,32,39
103,2,11:08.0,,J. Jones misses 3-pt jump shot from 26 ft,32,39
104,2,11:08.0,Defensive rebound by C. Aldrich,,32,39
105,2,10:51.0,S. Muhammad misses 2-pt jump shot from 20 ft,,32,39
106,2,10:50.0,,Defensive rebound by L. James,32,39
107,2,10:36.0,,Shooting foul by C. Aldrich (drawn by L. James),32,39
108,2,10:36.0,,L. James makes free throw 1 of 2,32,40
109,2,10:36.0,,L. James misses free throw 2 of 2,32,40
110,2,10:35.0,Defensive rebound by Z. LaVine,,32,40
111,2,10:18.0,C. Aldrich misses 2-pt jump shot from 6 ft,,32,40
112,2,10:16.0,Offensive rebound by S. Muhammad,,32,40
113,2,10:16.0,S. Muhammad makes 2-pt dunk at rim,,34,40
114,2,10:02.0,,K. Korver misses 3-pt jump shot from 30 ft,34,40
115,2,10:01.0,Defensive rebound by S. Muhammad,,34,40
116,2,9:46.0,Z. LaVine misses 2-pt jump shot from 8 ft,,34,40
117,2,9:45.0,Offensive rebound by C. Aldrich,,34,40
118,2,9:39.0,Z. LaVine misses 3-pt jump shot from 28 ft,,34,40
119,2,9:38.0,,Defensive rebound by J. Jones,34,40
120,2,9:27.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Jones),34,43
121,2,9:17.0,Minnesota full timeout,,34,43
122,2,9:17.0,G. Dieng enters the game for Z. LaVine,,34,43
123,2,9:17.0,A. Wiggins enters the game for C. Aldrich,,34,43
124,2,9:07.0,A. Wiggins makes 2-pt layup from 1 ft,,36,43
125,2,8:49.0,,Personal foul by G. Dieng (drawn by L. James),36,43
126,2,8:40.0,,Turnover by K. Felder (lost ball; steal by N. Bjelica),36,43
127,2,8:39.0,Personal foul by J. Jones (drawn by N. Bjelica),,36,43
128,2,8:27.0,Turnover by K. Dunn (lost ball),,36,43
129,2,8:14.0,,J. Jones makes 2-pt jump shot from 21 ft (assist by L. James),36,45
130,2,8:03.0,S. Muhammad makes 3-pt jump shot from 25 ft (assist by G. Dieng),,39,45
131,2,7:50.0,,Personal foul by N. Bjelica (drawn by J. Jones),39,45
132,2,7:50.0,K. Towns enters the game for G. Dieng,,39,45
