,QUARTER,TIME_REMAINING,TORONTO_ACTION,BROOKLYN_ACTION,TORONTO_SCORE,BROOKLYN_SCORE
0,1,11:33.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by C. Joseph),,3,0
1,1,11:18.0,,B. Lopez misses 2-pt hook shot from 6 ft,3,0
2,1,11:16.0,Defensive rebound by D. DeRozan,,3,0
3,1,11:07.0,D. DeRozan misses 2-pt jump shot from 5 ft,,3,0
4,1,11:06.0,,Defensive rebound by B. Lopez,3,0
5,1,10:57.0,,T. Booker misses 3-pt jump shot from 23 ft,3,0
6,1,10:56.0,Defensive rebound by D. DeRozan,,3,0
7,1,10:42.0,C. Joseph makes 2-pt jump shot from 13 ft,,5,0
8,1,10:21.0,,B. Lopez misses 2-pt hook shot from 7 ft,5,0
9,1,10:20.0,Defensive rebound by C. Joseph,,5,0
10,1,10:03.0,L. Nogueira makes 3-pt jump shot from 25 ft (assist by C. Joseph),,8,0
11,1,9:50.0,,S. Dinwiddie misses 2-pt jump shot from 11 ft,8,0
12,1,9:49.0,Defensive rebound by D. DeRozan,,8,0
13,1,9:49.0,Personal foul by T. Booker (drawn by D. DeRozan),,8,0
14,1,9:34.0,D. DeRozan makes 2-pt jump shot from 13 ft,,10,0
15,1,9:34.0,Shooting foul by B. Bogdanović (drawn by D. DeRozan),,10,0
16,1,9:34.0,D. DeRozan makes free throw 1 of 1,,11,0
17,1,9:21.0,,B. Lopez misses 3-pt jump shot from 23 ft,11,0
18,1,9:20.0,,Offensive rebound by T. Booker,11,0
19,1,9:19.0,,T. Booker makes 2-pt layup from 1 ft,11,2
20,1,8:55.0,D. Carroll misses 2-pt jump shot from 7 ft,,11,2
21,1,8:54.0,Offensive rebound by J. Valančiūnas,,11,2
22,1,8:53.0,J. Valančiūnas misses 2-pt layup from 3 ft,,11,2
23,1,8:52.0,Offensive rebound by D. Carroll,,11,2
24,1,8:51.0,D. Carroll misses 2-pt jump shot from 5 ft,,11,2
25,1,8:50.0,Offensive rebound by Team,,11,2
26,1,8:41.0,D. DeRozan misses 2-pt jump shot from 16 ft,,11,2
27,1,8:40.0,Offensive rebound by L. Nogueira,,11,2
28,1,8:39.0,L. Nogueira misses 2-pt layup from 2 ft,,11,2
29,1,8:37.0,,Defensive rebound by B. Bogdanović,11,2
30,1,8:24.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),11,5
31,1,8:12.0,Turnover by C. Joseph (bad pass; steal by J. Harris),,11,5
32,1,8:07.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by S. Dinwiddie),11,7
33,1,7:47.0,D. Carroll misses 2-pt jump shot from 7 ft,,11,7
34,1,7:46.0,,Defensive rebound by T. Booker,11,7
35,1,7:41.0,,T. Booker misses 2-pt layup from 1 ft,11,7
36,1,7:38.0,Defensive rebound by L. Nogueira,,11,7
37,1,7:29.0,C. Joseph misses 3-pt jump shot from 25 ft,,11,7
38,1,7:28.0,,Defensive rebound by B. Bogdanović,11,7
