,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:42.0,,N. Vučević misses 2-pt jump shot from 6 ft (block by A. Len),0,0
1,1,11:40.0,Defensive rebound by D. Booker,,0,0
2,1,11:20.0,Shooting foul by E. Fournier (drawn by A. Len),,0,0
3,1,11:20.0,A. Len makes free throw 1 of 2,,1,0
4,1,11:20.0,A. Len makes free throw 2 of 2,,2,0
5,1,11:09.0,,E. Payton makes 2-pt layup from 2 ft,2,2
6,1,10:52.0,B. Knight misses 3-pt jump shot from 24 ft,,2,2
7,1,10:51.0,,Defensive rebound by S. Ibaka,2,2
8,1,10:48.0,,E. Fournier makes 2-pt layup from 2 ft (assist by E. Payton),2,4
9,1,10:41.0,Turnover by A. Len (bad pass; steal by E. Payton),,2,4
10,1,10:36.0,,E. Fournier misses 3-pt jump shot from 23 ft,2,4
11,1,10:34.0,Defensive rebound by E. Bledsoe,,2,4
12,1,10:31.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,2,4
13,1,10:30.0,,Defensive rebound by Team,2,4
14,1,10:17.0,,J. Green misses 2-pt jump shot from 9 ft,2,4
15,1,10:16.0,Defensive rebound by E. Bledsoe,,2,4
16,1,10:09.0,D. Booker misses 3-pt jump shot from 26 ft,,2,4
17,1,10:09.0,,Defensive rebound by Team,2,4
18,1,9:58.0,,S. Ibaka misses 2-pt jump shot from 20 ft,2,4
19,1,9:57.0,Defensive rebound by A. Len,,2,4
20,1,9:45.0,B. Knight misses 2-pt jump shot from 9 ft,,2,4
21,1,9:44.0,,Defensive rebound by S. Ibaka,2,4
22,1,9:28.0,,N. Vučević makes 2-pt jump shot from 15 ft,2,6
23,1,9:05.0,Def 3 sec tech foul by N. Vučević,,2,6
24,1,9:05.0,E. Bledsoe misses technical free throw,,2,6
25,1,9:05.0,Offensive rebound by Team,,2,6
26,1,8:54.0,A. Len makes 2-pt layup from 1 ft (assist by D. Booker),,4,6
27,1,8:40.0,,E. Payton misses 2-pt jump shot from 6 ft,4,6
28,1,8:38.0,Defensive rebound by A. Len,,4,6
29,1,8:33.0,M. Chriss makes 2-pt dunk at rim (assist by B. Knight),,6,6
30,1,8:14.0,,Turnover by E. Payton (bad pass; steal by E. Bledsoe),6,6
31,1,8:06.0,D. Booker makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),,9,6
32,1,8:06.0,,Orlando full timeout,9,6
33,1,7:50.0,,Shooting foul by M. Chriss (drawn by J. Green),9,6
34,1,7:50.0,,J. Green makes free throw 1 of 2,9,7
35,1,7:50.0,,J. Green makes free throw 2 of 2,9,8
36,1,7:37.0,M. Chriss makes 2-pt jump shot from 21 ft (assist by E. Bledsoe),,11,8
37,1,7:13.0,,E. Fournier makes 2-pt layup from 2 ft,11,10
38,1,6:53.0,Turnover by B. Knight (lost ball; steal by J. Green),,11,10
39,1,6:49.0,,E. Payton makes 2-pt jump shot from 5 ft,11,12
40,1,6:49.0,,Shooting foul by M. Chriss (drawn by E. Payton),11,12
41,1,6:49.0,J. Dudley enters the game for M. Chriss,,11,12
42,1,6:49.0,,E. Payton makes free throw 1 of 1,11,13
43,1,6:25.0,B. Knight makes 3-pt jump shot from 25 ft (assist by J. Dudley),,14,13
44,1,6:10.0,,Personal foul by B. Knight (drawn by E. Fournier),14,13
45,1,5:58.0,,N. Vučević misses 2-pt jump shot from 16 ft,14,13
46,1,5:57.0,Defensive rebound by E. Bledsoe,,14,13
47,1,5:50.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,14,13
48,1,5:49.0,Offensive rebound by A. Len,,14,13
49,1,5:46.0,A. Len misses 2-pt hook shot from 4 ft,,14,13
50,1,5:44.0,,Defensive rebound by J. Green,14,13
51,1,5:39.0,,N. Vučević misses 2-pt layup from 2 ft,14,13
52,1,5:37.0,Defensive rebound by J. Dudley,,14,13
53,1,5:28.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,14,13
54,1,5:27.0,,Defensive rebound by N. Vučević,14,13
55,1,5:24.0,Offensive charge foul by E. Payton (drawn by E. Bledsoe),,14,13
56,1,5:24.0,,Turnover by E. Payton (offensive foul),14,13
57,1,5:13.0,B. Knight makes 2-pt jump shot from 18 ft,,16,13
58,1,4:50.0,,J. Green misses 2-pt jump shot from 21 ft,16,13
59,1,4:49.0,Defensive rebound by A. Len,,16,13
60,1,4:37.0,D. Booker misses 2-pt jump shot from 11 ft,,16,13
61,1,4:36.0,,Defensive rebound by N. Vučević,16,13
62,1,4:25.0,,N. Vučević makes 2-pt layup from 1 ft (assist by J. Green),16,15
63,1,4:12.0,Offensive foul by B. Knight (drawn by E. Fournier),,16,15
64,1,4:12.0,Turnover by B. Knight (offensive foul),,16,15
65,1,4:12.0,,A. Gordon enters the game for J. Green,16,15
66,1,4:12.0,,B. Biyombo enters the game for N. Vučević,16,15
67,1,4:12.0,P. Tucker enters the game for B. Knight,,16,15
68,1,4:02.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),16,18
69,1,3:40.0,E. Bledsoe makes 2-pt layup from 3 ft,,18,18
70,1,3:22.0,,E. Fournier misses 2-pt jump shot from 6 ft,18,18
71,1,3:20.0,,Offensive rebound by E. Fournier,18,18
72,1,3:20.0,,E. Fournier misses 2-pt jump shot from 4 ft (block by A. Len),18,18
73,1,3:20.0,,Offensive rebound by Team,18,18
74,1,3:09.0,,A. Gordon misses 3-pt jump shot from 26 ft,18,18
75,1,3:08.0,Defensive rebound by J. Dudley,,18,18
76,1,2:59.0,A. Len makes 2-pt hook shot from 5 ft,,20,18
77,1,2:45.0,,E. Payton misses 2-pt layup from 1 ft,20,18
78,1,2:43.0,,Offensive rebound by E. Payton,20,18
79,1,2:28.0,,E. Payton misses 2-pt layup from 2 ft,20,18
80,1,2:25.0,Defensive rebound by D. Booker,,20,18
81,1,2:16.0,E. Bledsoe misses 2-pt layup from 1 ft,,20,18
82,1,2:14.0,Offensive rebound by A. Len,,20,18
83,1,2:13.0,A. Len misses 2-pt layup from 2 ft,,20,18
