,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
0,1,11:39.0,Loose ball foul by D. Finney-Smith (drawn by T. Sefolosha),,0,0
1,1,11:34.0,,Offensive foul by D. Howard (drawn by D. Nowitzki),0,0
2,1,11:34.0,,Turnover by D. Howard (offensive foul),0,0
3,1,11:18.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,0,0
4,1,11:17.0,,Defensive rebound by D. Howard,0,0
5,1,11:00.0,,Turnover by P. Millsap (bad pass; steal by H. Barnes),0,0
6,1,10:48.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,0,0
7,1,10:46.0,,Defensive rebound by D. Howard,0,0
8,1,10:22.0,,P. Millsap misses 2-pt jump shot from 21 ft,0,0
9,1,10:22.0,,Offensive rebound by Team,0,0
10,1,10:22.0,,Turnover by Team (shot clock),0,0
11,1,10:11.0,Turnover by D. Finney-Smith (traveling),,0,0
12,1,10:00.0,,Personal foul by D. Nowitzki (drawn by D. Howard),0,0
13,1,9:55.0,,Shooting foul by D. Finney-Smith (drawn by D. Howard),0,0
14,1,9:55.0,,D. Howard misses free throw 1 of 2,0,0
15,1,9:55.0,,Offensive rebound by Team,0,0
16,1,9:55.0,N. Noel enters the game for D. Finney-Smith,,0,0
17,1,9:55.0,,D. Howard makes free throw 2 of 2,0,1
18,1,9:42.0,N. Noel misses 2-pt jump shot from 18 ft,,0,1
19,1,9:40.0,,Defensive rebound by T. Sefolosha,0,1
20,1,9:30.0,,D. Howard makes 2-pt layup from 3 ft (assist by P. Millsap),0,3
21,1,9:13.0,N. Noel misses 2-pt dunk from 1 ft (block by P. Millsap),,0,3
22,1,9:11.0,Offensive rebound by D. Nowitzki,,0,3
23,1,9:10.0,D. Nowitzki makes 2-pt layup at rim,,2,3
24,1,9:05.0,,Personal foul by N. Noel (drawn by D. Howard),2,3
25,1,8:56.0,,K. Bazemore misses 2-pt jump shot from 22 ft,2,3
26,1,8:54.0,Defensive rebound by D. Nowitzki,,2,3
27,1,8:45.0,S. Curry makes 2-pt jump shot from 7 ft,,4,3
28,1,8:30.0,,D. Howard makes 2-pt dunk at rim (assist by T. Sefolosha),4,5
29,1,8:01.0,H. Barnes misses 3-pt jump shot from 23 ft,,4,5
30,1,8:00.0,,Defensive rebound by D. Howard,4,5
31,1,7:52.0,,K. Bazemore makes 2-pt layup from 1 ft,4,7
32,1,7:30.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,4,7
33,1,7:29.0,,Defensive rebound by D. Schröder,4,7
34,1,7:25.0,,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),4,9
35,1,7:24.0,Dallas full timeout,,4,9
36,1,7:09.0,S. Curry makes 2-pt jump shot from 11 ft,,6,9
37,1,6:55.0,,D. Schröder misses 2-pt jump shot from 18 ft,6,9
38,1,6:52.0,,Offensive rebound by D. Howard,6,9
39,1,6:52.0,,D. Howard makes 2-pt layup from 1 ft,6,11
40,1,6:41.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by S. Curry),,8,11
41,1,6:27.0,,P. Millsap misses 2-pt jump shot from 13 ft,8,11
42,1,6:25.0,Defensive rebound by D. Nowitzki,,8,11
43,1,6:14.0,S. Curry makes 3-pt jump shot from 24 ft (assist by Y. Ferrell),,11,11
44,1,6:01.0,,T. Sefolosha makes 2-pt layup from 1 ft (assist by D. Howard),11,13
45,1,5:52.0,Def 3 sec tech foul by D. Howard,,11,13
46,1,5:52.0,D. Nowitzki makes technical free throw,,12,13
47,1,5:52.0,,T. Hardaway enters the game for K. Bazemore,12,13
48,1,5:52.0,N. Brussino enters the game for D. Nowitzki,,12,13
