,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,CHARLOTTE_ACTION,SAN ANTONIO_SCORE,CHARLOTTE_SCORE
0,1,11:47.0,L. Aldridge misses 2-pt jump shot from 18 ft,,0,0
1,1,11:46.0,,Defensive rebound by M. Williams,0,0
2,1,11:26.0,,K. Walker misses 2-pt layup from 3 ft (block by D. Green),0,0
3,1,11:24.0,,Offensive rebound by K. Walker,0,0
4,1,11:18.0,,R. Hibbert misses 2-pt jump shot from 14 ft,0,0
5,1,11:17.0,Defensive rebound by K. Leonard,,0,0
6,1,11:01.0,D. Green makes 2-pt layup at rim (assist by P. Gasol),,2,0
7,1,10:48.0,,Turnover by N. Batum (bad pass; steal by P. Gasol),2,0
8,1,10:41.0,T. Parker makes 2-pt jump shot from 6 ft,,4,0
9,1,10:19.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,4,0
10,1,10:18.0,Defensive rebound by K. Leonard,,4,0
11,1,9:57.0,D. Green misses 2-pt jump shot from 8 ft (block by M. Williams),,4,0
12,1,9:55.0,Offensive rebound by D. Green,,4,0
13,1,9:53.0,D. Green misses 2-pt layup from 1 ft,,4,0
14,1,9:52.0,,Defensive rebound by N. Batum,4,0
15,1,9:43.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 6 ft (assist by M. Williams),4,2
16,1,9:30.0,K. Leonard misses 3-pt jump shot from 27 ft,,4,2
17,1,9:29.0,,Defensive rebound by K. Walker,4,2
18,1,9:20.0,,R. Hibbert makes 2-pt dunk at rim (assist by K. Walker),4,4
19,1,9:03.0,T. Parker misses 2-pt layup from 1 ft,,4,4
20,1,9:02.0,,Defensive rebound by K. Walker,4,4
21,1,8:56.0,,M. Kidd-Gilchrist makes 2-pt layup from 3 ft (assist by K. Walker),4,6
22,1,8:38.0,K. Leonard makes 2-pt layup from 2 ft,,6,6
23,1,8:19.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by R. Hibbert),6,9
24,1,8:00.0,D. Green misses 3-pt jump shot from 27 ft,,6,9
25,1,7:59.0,Offensive rebound by P. Gasol,,6,9
26,1,7:48.0,P. Gasol makes 3-pt jump shot from 27 ft (assist by T. Parker),,9,9
27,1,7:26.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,9,9
28,1,7:24.0,,Offensive rebound by M. Williams,9,9
29,1,7:17.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,9,9
30,1,7:15.0,Defensive rebound by P. Gasol,,9,9
31,1,7:01.0,L. Aldridge makes 2-pt hook shot from 8 ft (assist by P. Gasol),,11,9
32,1,6:51.0,,K. Walker misses 2-pt jump shot from 11 ft,11,9
33,1,6:49.0,,Offensive rebound by K. Walker,11,9
34,1,6:44.0,,K. Walker makes 3-pt jump shot from 23 ft,11,12
35,1,6:32.0,Personal foul by M. Kidd-Gilchrist (drawn by K. Leonard),,11,12
36,1,6:23.0,K. Leonard misses 2-pt jump shot from 4 ft (block by M. Kidd-Gilchrist),,11,12
37,1,6:20.0,,Defensive rebound by M. Kidd-Gilchrist,11,12
38,1,6:09.0,,N. Batum misses 2-pt jump shot from 12 ft,11,12
39,1,6:08.0,Defensive rebound by P. Gasol,,11,12
40,1,5:51.0,Shooting foul by R. Hibbert (drawn by L. Aldridge),,11,12
41,1,5:51.0,,Charlotte full timeout,11,12
42,1,5:51.0,L. Aldridge makes free throw 1 of 2,,12,12
43,1,5:51.0,M. Ginóbili enters the game for D. Green,,11,12
44,1,5:51.0,P. Mills enters the game for T. Parker,,11,12
45,1,5:51.0,L. Aldridge makes free throw 2 of 2,,13,12
46,1,5:34.0,,R. Hibbert makes 2-pt jump shot from 12 ft (assist by N. Batum),13,14
47,1,5:15.0,D. Lee enters the game for P. Gasol,,13,14
48,1,5:10.0,M. Ginóbili misses 2-pt jump shot from 6 ft,,13,14
49,1,5:09.0,,Defensive rebound by N. Batum,13,14
50,1,5:02.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),13,16
51,1,4:36.0,K. Leonard makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),,16,16
52,1,4:18.0,,N. Batum makes 3-pt jump shot from 26 ft (assist by M. Kidd-Gilchrist),16,19
53,1,3:55.0,Shooting foul by K. Walker (drawn by P. Mills),,16,19
54,1,3:55.0,P. Mills makes free throw 1 of 3,,17,19
55,1,3:55.0,P. Mills makes free throw 2 of 3,,18,19
56,1,3:55.0,,F. Kaminsky enters the game for M. Williams,18,19
57,1,3:55.0,,S. Hawes enters the game for R. Hibbert,18,19
58,1,3:55.0,,M. Belinelli enters the game for N. Batum,18,19
59,1,3:55.0,J. Simmons enters the game for K. Leonard,,18,19
60,1,3:55.0,P. Mills makes free throw 3 of 3,,19,19
61,1,3:43.0,,S. Hawes misses 2-pt jump shot from 5 ft,19,19
62,1,3:39.0,Defensive rebound by D. Lee,,19,19
63,1,3:32.0,L. Aldridge makes 2-pt jump shot from 20 ft (assist by P. Mills),,21,19
64,1,3:21.0,,Personal foul by P. Mills,21,19
65,1,3:14.0,,K. Walker makes 3-pt jump shot from 27 ft,21,22
66,1,3:00.0,P. Mills makes 2-pt layup from 1 ft (assist by D. Lee),,23,22
